query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0072	261	282	13	0.046	0.05	GO:0007059	BP	12	chromosome segregation	1	ZFP207,DSCC1,AKAP8,CHMP4C,SYCP1,SFPQ,CDCA8,MAU2,ZW10,CEP63,INO80,BUB1B,CENPH
2	1	TRUE	0.0193	1223	282	33	0.117	0.027	GO:0007049	BP	12	cell cycle	1	DYNLT1C,CHFR,ZFP207,BIRC5,E2F7,MDM1,DSCC1,SON,AKAP8,USP16,CCNT2,CHMP4C,CCNL1,SYCP1,SFPQ,CDCA8,CCNL2,FLNA,NEK1,MAU2,ZW10,CEP63,FANCA,STARD9,INO80,PKD2,CEP135,DNA2,BUB1B,TARDBP,CENPH,MDM4,CSPP1
3	1	TRUE	0.0193	872	282	26	0.092	0.03	GO:0022402	BP	12	cell cycle process	2	DYNLT1C,CHFR,ZFP207,BIRC5,E2F7,MDM1,DSCC1,SON,AKAP8,CHMP4C,SYCP1,SFPQ,CDCA8,FLNA,MAU2,ZW10,CEP63,FANCA,STARD9,INO80,PKD2,CEP135,DNA2,BUB1B,MDM4,CSPP1
4	1	TRUE	0.00531	215	282	12	0.043	0.056	GO:0098813	BP	12	nuclear chromosome segregation	3	ZFP207,DSCC1,AKAP8,CHMP4C,SYCP1,SFPQ,CDCA8,MAU2,ZW10,CEP63,INO80,BUB1B
5	1	TRUE	0.0435	655	282	20	0.071	0.031	GO:0000278	BP	12	mitotic cell cycle	2	DYNLT1C,CHFR,ZFP207,BIRC5,E2F7,DSCC1,SON,AKAP8,USP16,CHMP4C,CDCA8,FLNA,NEK1,MAU2,ZW10,INO80,PKD2,DNA2,BUB1B,CENPH
6	1	TRUE	0.0407	508	282	17	0.06	0.033	GO:1903047	BP	12	mitotic cell cycle process	3	DYNLT1C,CHFR,ZFP207,BIRC5,E2F7,DSCC1,SON,AKAP8,CHMP4C,CDCA8,FLNA,MAU2,ZW10,INO80,PKD2,DNA2,BUB1B
7	1	TRUE	0.0257	2942	282	63	0.223	0.021	GO:0006996	BP	12	organelle organization	1	RAF1,DYNLT1C,DDB2,BAZ1B,BRD8,PEX1,HPS5,ZFP207,BIRC5,MDM1,IL9R,GFM2,TTLL8,DSCC1,BRWD1,SON,PAXBP1,AKAP8,FYCO1,FLNB,USP16,GPR35,DCLRE1C,CHMP4C,CCDC39,SYCP1,RNF20,UNC13B,ATP8B5,HOOK1,SFPQ,CDCA8,SMG1,ARHGAP17,OPHN1,FLNA,NEK1,MAU2,ZW10,CEP63,FANCA,SPG11,STARD9,INO80,OGT,CEP135,DNA2,HOOK3,PPFIA1,2410089E03RIK,BUB1B,AICDA,SH3PXD2B,TET2,YEATS2,TARDBP,STX3,ZMYM6,CENPH,KDM5D,MDN1,SCLT1,USP49
8	1	TRUE	0.0439	382	282	14	0.05	0.037	GO:0048285	BP	12	organelle fission	2	ZFP207,BIRC5,DSCC1,AKAP8,CHMP4C,SYCP1,CDCA8,FLNA,MAU2,ZW10,CEP63,FANCA,INO80,BUB1B
9	1	TRUE	0.0231	342	282	14	0.05	0.041	GO:0000280	BP	12	nuclear division	3	ZFP207,BIRC5,DSCC1,AKAP8,CHMP4C,SYCP1,CDCA8,FLNA,MAU2,ZW10,CEP63,FANCA,INO80,BUB1B
10	1	TRUE	0.0135	207	282	11	0.039	0.053	GO:0140014	BP	12	mitotic nuclear division	4	ZFP207,BIRC5,DSCC1,AKAP8,CHMP4C,CDCA8,FLNA,MAU2,ZW10,INO80,BUB1B
