name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
R-HSA-72172	mRNA Splicing	191	14	5.32	7.12	3.5e-07	3.9e-05	6.18	3.22	11
R-HSA-72163	mRNA Splicing - Major Pathway	183	13	5.15	6.7	1.3e-06	7.5e-05	5.93	3.01	10.8
R-HSA-72203	Processing of Capped Intron-Containing Pre-mRNA	243	14	4.18	5.93	6.1e-06	0.00023	4.75	2.49	8.44
R-HSA-68877	Mitotic Prometaphase	199	11	4.01	5.07	9.2e-05	0.0024	4.46	2.14	8.44
R-HSA-73894	DNA Repair	315	14	3.22	4.74	0.00011	0.0024	3.59	1.88	6.35
R-HSA-72187	mRNA 3'-end processing	58	6	7.51	5.87	0.00014	0.0026	8.58	2.96	20.5
R-HSA-109688	Cleavage of Growing Transcript in the Termination Region 	67	6	6.5	5.34	0.00031	0.0039	7.31	2.54	17.3
R-HSA-73856	RNA Polymerase II Transcription Termination	67	6	6.5	5.34	0.00031	0.0039	7.31	2.54	17.3
R-HSA-141424	Amplification of signal from the kinetochores	96	7	5.29	4.99	0.00035	0.0039	5.87	2.25	12.9
R-HSA-141444	Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal	96	7	5.29	4.99	0.00035	0.0039	5.87	2.25	12.9
R-HSA-6807505	RNA polymerase II transcribes snRNA genes	74	6	5.88	4.98	0.00053	0.0054	6.55	2.28	15.4
R-HSA-69618	Mitotic Spindle Checkpoint	112	7	4.53	4.45	0.00088	0.0082	4.97	1.91	10.9
R-HSA-1640170	Cell Cycle	607	18	2.15	3.46	0.0017	0.014	2.36	1.35	3.93
R-HSA-5620912	Anchoring of the basal body to the plasma membrane	97	6	4.49	4.08	0.0022	0.015	4.89	1.72	11.3
R-HSA-2500257	Resolution of Sister Chromatid Cohesion	127	7	4	4.02	0.0018	0.015	4.34	1.68	9.48
R-HSA-5693532	DNA Double-Strand Break Repair	165	8	3.52	3.86	0.002	0.015	3.81	1.58	7.91
R-HSA-69620	Cell Cycle Checkpoints	292	11	2.73	3.55	0.0023	0.015	2.96	1.42	5.55
R-HSA-68886	M Phase	391	13	2.41	3.37	0.0028	0.018	2.61	1.34	4.69
R-HSA-159236	Transport of Mature mRNA derived from an Intron-Containing Transcript	74	5	4.9	3.98	0.0035	0.019	5.34	1.65	13.4
R-HSA-5663220	RHO GTPases Activate Formins	141	7	3.6	3.68	0.0033	0.019	3.88	1.5	8.45
R-HSA-8953854	Metabolism of RNA	646	18	2.02	3.17	0.0033	0.019	2.21	1.26	3.67
R-HSA-6803529	FGFR2 alternative splicing	26	3	8.37	4.45	0.0053	0.027	9.51	1.81	32.1
R-HSA-72202	Transport of Mature Transcript to Cytoplasm	83	5	4.37	3.65	0.0057	0.028	4.72	1.47	11.8
R-HSA-5617833	Cilium Assembly	201	8	2.89	3.2	0.0066	0.029	3.09	1.29	6.39
R-HSA-69278	Cell Cycle, Mitotic	531	15	2.05	2.94	0.0063	0.029	2.21	1.19	3.83
R-HSA-5693538	Homology Directed Repair	137	6	3.18	3.03	0.012	0.05	3.38	1.2	7.75
