name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
R-HSA-199991	Membrane Trafficking	599	15	4.11	6.15	2e-06	0.00013	5.23	2.69	9.61
R-HSA-5653656	Vesicle-mediated transport	631	15	3.9	5.9	3.9e-06	0.00013	4.94	2.55	9.07
R-HSA-5339562	Uptake and actions of bacterial toxins	31	4	21.2	8.81	3.5e-05	0.00075	25.7	6.34	77.5
R-HSA-977441	GABA A receptor activation	13	3	37.9	10.4	5.9e-05	0.00096	51.3	8.84	206
R-HSA-8856828	Clathrin-mediated endocytosis	140	6	7.03	5.63	2e-04	0.0026	7.99	2.76	19
R-HSA-2871809	FCERI mediated Ca+2 mobilization	29	3	17	6.75	7e-04	0.0076	19.7	3.72	67.1
R-HSA-199992	trans-Golgi Network Vesicle Budding	72	4	9.12	5.41	0.00094	0.0076	10.2	2.61	28.7
R-HSA-421837	Clathrin derived vesicle budding	72	4	9.12	5.41	0.00094	0.0076	10.2	2.61	28.7
R-HSA-432720	Lysosome Vesicle Biogenesis	35	3	14.1	6.06	0.0012	0.0079	16	3.05	53.5
R-HSA-8856688	Golgi-to-ER retrograde transport	134	5	6.12	4.68	0.0013	0.0079	6.79	2.09	17.2
R-HSA-112316	Neuronal System	356	8	3.69	4.04	0.0013	0.0079	4.16	1.7	8.91
R-HSA-112315	Transmission across Chemical Synapses	224	6	4.4	4.03	0.0023	0.013	4.87	1.69	11.5
R-HSA-6811440	Retrograde transport at the Trans-Golgi-Network	46	3	10.7	5.17	0.0027	0.014	11.9	2.3	38.9
R-HSA-6811434	COPI-dependent Golgi-to-ER retrograde traffic	100	4	6.57	4.38	0.0032	0.014	7.2	1.86	20.1
R-HSA-8856825	Cargo recognition for clathrin-mediated endocytosis	100	4	6.57	4.38	0.0032	0.014	7.2	1.86	20.1
R-HSA-5578775	Ion homeostasis	54	3	9.12	4.68	0.0043	0.016	10	1.95	32.5
R-HSA-4086398	Ca2+ pathway	55	3	8.95	4.63	0.0045	0.016	9.84	1.91	31.8
R-HSA-977443	GABA receptor activation	55	3	8.95	4.63	0.0045	0.016	9.84	1.91	31.8
R-HSA-432722	Golgi Associated Vesicle Biogenesis	56	3	8.79	4.58	0.0047	0.016	9.65	1.88	31.2
R-HSA-8873719	RAB geranylgeranylation	64	3	7.69	4.21	0.0069	0.021	8.38	1.64	26.9
R-HSA-2454202	Fc epsilon receptor (FCERI) signaling	126	4	5.21	3.72	0.0072	0.021	5.65	1.47	15.6
R-HSA-6811442	Intra-Golgi and retrograde Golgi-to-ER traffic	200	5	4.1	3.47	0.0073	0.021	4.47	1.38	11.2
R-HSA-5576891	Cardiac conduction	139	4	4.72	3.46	0.01	0.028	5.1	1.33	14.1
R-HSA-195258	RHO GTPase Effectors	313	6	3.15	3.02	0.012	0.032	3.43	1.2	8.03
R-HSA-1168372	Downstream signaling events of B Cell Receptor (BCR)	80	3	6.16	3.62	0.013	0.033	6.63	1.3	21.1
R-HSA-112314	Neurotransmitter receptors and postsynaptic signal transmission	154	4	4.26	3.2	0.014	0.036	4.58	1.19	12.6
R-HSA-8876198	RAB GEFs exchange GTP for GDP on RABs	90	3	5.47	3.34	0.017	0.042	5.86	1.15	18.6
R-HSA-5607764	CLEC7A (Dectin-1) signaling	96	3	5.13	3.18	0.021	0.048	5.48	1.08	17.3
