query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0479	6	214	2	0.009	0.333	GO:0090662	BP	45	ATP hydrolysis coupled transmembrane transport	1	ATP6V1E1,ATP6V0B
2	1	TRUE	0.0479	6	214	2	0.009	0.333	GO:0099131	BP	45	ATP hydrolysis coupled ion transmembrane transport	2	ATP6V1E1,ATP6V0B
3	1	TRUE	0.0479	6	214	2	0.009	0.333	GO:0099132	BP	45	ATP hydrolysis coupled cation transmembrane transport	1	ATP6V1E1,ATP6V0B
4	1	TRUE	0.0479	6	214	2	0.009	0.333	GO:0015991	BP	45	ATP hydrolysis coupled proton transport	2	ATP6V1E1,ATP6V0B
5	1	TRUE	0.00604	4896	214	79	0.369	0.016	GO:0071840	BP	47	cellular component organization or biogenesis	1	CCM2,CHMP1A,NHP2,IFT20,PEX6,TOMM40L,TOR2A,PPP2CB,NPRL2,RAC3,RRP7A,BAIAP2L2,PEX3,YEATS4,1810043G02RIK,WDPCP,PFN4,RGCC,CBY1,NUBP1,BOP1,FOPNL,1110004E09RIK,RSPH9,BYSL,ATP6V0C,TAF11,DYNC2LI1,TMEM138,OTUB1,VPS51,WDR45B,HRAS,NOP16,ITM2C,TOR1A,TIMM10,TBC1D20,RAE1,PEX11B,STMN1,SH3BGRL3,DNAJB6,RILPL2,ARPC3,POLE4,CHCHD6,PEX11A,CORO1A,LCMT1,CETN2,DCTN6,TXNL4B,NIP7,PIN1,NUDT16,NOC4L,BRK1,CHCHD4,GTF2H5,TBC1D10A,ATG101,DCTPP1,WDR74,EID2,ARF1,IBA57,GRWD1,ATPIF1,IMMP2L,H2AFJ,POP5,KLK8,HTRA2,ITPA,DNLZ,BRMS1,RNF8,CCDC85B
6	1	TRUE	5.05e-05	2242	214	51	0.238	0.023	GO:0044085	BP	47	cellular component biogenesis	2	CHMP1A,NHP2,IFT20,TOR2A,NPRL2,RAC3,RRP7A,BAIAP2L2,1810043G02RIK,WDPCP,PFN4,RGCC,CBY1,NUBP1,BOP1,FOPNL,RSPH9,BYSL,TAF11,DYNC2LI1,TMEM138,WDR45B,HRAS,NOP16,TOR1A,TBC1D20,PEX11B,STMN1,DNAJB6,RILPL2,ARPC3,CORO1A,LCMT1,CETN2,TXNL4B,NIP7,NUDT16,NOC4L,BRK1,GTF2H5,ATG101,DCTPP1,WDR74,EID2,ARF1,IBA57,GRWD1,ATPIF1,IMMP2L,POP5,HTRA2
7	1	TRUE	0.0222	345	214	12	0.056	0.035	GO:0022613	BP	47	ribonucleoprotein complex biogenesis	3	NHP2,RRP7A,BOP1,BYSL,NOP16,TXNL4B,NIP7,NUDT16,NOC4L,GTF2H5,WDR74,POP5
8	1	TRUE	0.00535	228	214	11	0.051	0.048	GO:0042254	BP	47	ribosome biogenesis	4	NHP2,RRP7A,BOP1,BYSL,NOP16,NIP7,NUDT16,NOC4L,GTF2H5,WDR74,POP5
9	1	TRUE	0.0417	74	214	5	0.023	0.068	GO:0042273	BP	47	ribosomal large subunit biogenesis	4	NHP2,BOP1,NOP16,NIP7,WDR74
10	1	TRUE	0.041	337	214	11	0.051	0.033	GO:0034660	BP	47	ncRNA metabolic process	1	NHP2,RRP7A,BOP1,BYSL,HRAS,GATB,POP7,NUDT16,NOC4L,GTF2H5,POP5
11	1	TRUE	0.0316	177	214	8	0.037	0.045	GO:0016072	BP	47	rRNA metabolic process	2	NHP2,RRP7A,BOP1,BYSL,NUDT16,NOC4L,GTF2H5,POP5
12	1	TRUE	0.041	676	214	17	0.079	0.025	GO:0044087	BP	47	regulation of cellular component biogenesis	1	CHMP1A,IFT20,NPRL2,BAIAP2L2,WDPCP,PFN4,RGCC,DYNC2LI1,HRAS,STMN1,DNAJB6,ARPC3,CORO1A,LCMT1,NUDT16,BRK1,ARF1
13	1	TRUE	0.0359	4756	214	72	0.336	0.015	GO:0016043	BP	47	cellular component organization	1	CCM2,CHMP1A,IFT20,PEX6,TOMM40L,TOR2A,PPP2CB,NPRL2,RAC3,RRP7A,BAIAP2L2,PEX3,YEATS4,1810043G02RIK,WDPCP,PFN4,RGCC,CBY1,NUBP1,BOP1,FOPNL,1110004E09RIK,RSPH9,ATP6V0C,TAF11,DYNC2LI1,TMEM138,OTUB1,VPS51,WDR45B,HRAS,ITM2C,TOR1A,TIMM10,TBC1D20,RAE1,PEX11B,STMN1,SH3BGRL3,DNAJB6,RILPL2,ARPC3,POLE4,CHCHD6,PEX11A,CORO1A,LCMT1,CETN2,DCTN6,TXNL4B,PIN1,NUDT16,BRK1,CHCHD4,GTF2H5,TBC1D10A,ATG101,DCTPP1,EID2,ARF1,IBA57,GRWD1,ATPIF1,IMMP2L,H2AFJ,KLK8,HTRA2,ITPA,DNLZ,BRMS1,RNF8,CCDC85B
14	1	TRUE	0.000247	2942	214	59	0.276	0.02	GO:0006996	BP	47	organelle organization	2	CHMP1A,IFT20,PEX6,TOMM40L,PPP2CB,NPRL2,RAC3,RRP7A,BAIAP2L2,PEX3,YEATS4,1810043G02RIK,WDPCP,PFN4,RGCC,CBY1,NUBP1,BOP1,FOPNL,RSPH9,ATP6V0C,DYNC2LI1,TMEM138,OTUB1,VPS51,WDR45B,HRAS,TOR1A,TIMM10,TBC1D20,RAE1,PEX11B,STMN1,SH3BGRL3,DNAJB6,RILPL2,ARPC3,POLE4,CHCHD6,PEX11A,CORO1A,LCMT1,CETN2,DCTN6,NUDT16,BRK1,CHCHD4,TBC1D10A,ATG101,ARF1,GRWD1,ATPIF1,IMMP2L,H2AFJ,HTRA2,ITPA,DNLZ,BRMS1,RNF8
15	1	TRUE	0.018	30	214	4	0.019	0.133	GO:0007031	BP	47	peroxisome organization	3	PEX6,PEX3,PEX11B,PEX11A
16	1	TRUE	0.00318	2068	214	43	0.201	0.021	GO:0022607	BP	47	cellular component assembly	2	CHMP1A,IFT20,TOR2A,NPRL2,RAC3,RRP7A,BAIAP2L2,1810043G02RIK,WDPCP,PFN4,RGCC,CBY1,NUBP1,BOP1,FOPNL,RSPH9,TAF11,DYNC2LI1,TMEM138,WDR45B,HRAS,TOR1A,TBC1D20,PEX11B,STMN1,DNAJB6,RILPL2,ARPC3,CORO1A,LCMT1,CETN2,TXNL4B,BRK1,GTF2H5,ATG101,DCTPP1,EID2,ARF1,IBA57,GRWD1,ATPIF1,IMMP2L,HTRA2
