query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.00423	229	197	11	0.056	0.048	GO:0050808	BP	117	synapse organization	1	CACNB4,ALS2,DAB2IP,CACNA1A,ZC4H2,DACT1,PCDHB4,PCDHB20,PCDHB15,PCDHB11,SYNDIG1
2	1	TRUE	0.0417	105	197	6	0.03	0.057	GO:0035637	BP	68	multicellular organismal signaling	1	CACNB4,SCN1B,MEF2A,CACNA1A,GRIK2,SCN2B
3	1	TRUE	0.0412	17	197	3	0.015	0.176	GO:0007214	BP	122	gamma-aminobutyric acid signaling pathway	1	CACNB4,GABRG2,CACNA1A
4	1	TRUE	0.00423	1739	197	36	0.183	0.021	GO:0007399	BP	92	nervous system development	1	SEMA4F,NFIX,SLC1A3,RNF112,ALDH1A3,YWHAH,SCN1B,ADCY1,RBFOX3,NPTX1,ALS2,DAB2IP,MMP24,PLPP3,TMEM57,CRMP1,CDK16,CACNA1A,NEUROD1,ZC4H2,GDPD5,PLK5,SOCS7,CABLES1,CNR1,DACT1,PCDHB4,PCDHB20,PCDHB15,FOXO3,PCDHB11,GPR173,BTBD3,SYNE2,SYNDIG1,PCDHGB2
5	1	TRUE	0.047	1261	197	25	0.127	0.02	GO:0022008	BP	92	neurogenesis	2	SEMA4F,NFIX,SLC1A3,RNF112,YWHAH,SCN1B,ADCY1,NPTX1,ALS2,DAB2IP,MMP24,PLPP3,CRMP1,CDK16,CACNA1A,NEUROD1,ZC4H2,GDPD5,PLK5,SOCS7,CNR1,DACT1,GPR173,BTBD3,SYNE2
6	1	TRUE	0.0099	308	197	12	0.061	0.039	GO:0042391	BP	22	regulation of membrane potential	1	GABRA1,CACNB4,YWHAH,SCN1B,GRIA1,RIMS3,ATP1A1,CACNA1A,AKAP7,KCNK12,GRIK2,SCN2B
7	1	TRUE	0.0404	101	197	6	0.03	0.059	GO:0001508	BP	22	action potential	2	CACNB4,YWHAH,SCN1B,CACNA1A,GRIK2,SCN2B
8	1	TRUE	0.0291	34	197	4	0.02	0.118	GO:0086010	BP	22	membrane depolarization during action potential	1	YWHAH,SCN1B,CACNA1A,SCN2B
9	1	TRUE	4.52e-06	1034	197	33	0.168	0.032	GO:0007267	BP	131	cell-cell signaling	1	SLC1A3,MCU,CACNB4,CADPS2,SCN1B,LIN7A,GABRG2,GRIA1,SYBU,ALS2,DAB2IP,LIN7C,PLPP3,CDK16,PORCN,ARHGEF7,CAR7,RIMS3,CACNA1A,NEUROD1,NOTUM,TMEM64,CNR1,DACT1,AMER3,PCDHB4,PCDHB20,PCDHB15,FOXO3,PCDHB11,USP46,GRIK2,PCDHGB2
10	1	TRUE	0.000144	424	197	18	0.091	0.042	GO:0099536	BP	131	synaptic signaling	2	SLC1A3,CACNB4,CADPS2,LIN7A,GABRG2,GRIA1,ALS2,LIN7C,CAR7,RIMS3,CACNA1A,CNR1,PCDHB4,PCDHB20,PCDHB15,PCDHB11,USP46,GRIK2
11	1	TRUE	0.000144	424	197	18	0.091	0.042	GO:0099537	BP	131	trans-synaptic signaling	3	SLC1A3,CACNB4,CADPS2,LIN7A,GABRG2,GRIA1,ALS2,LIN7C,CAR7,RIMS3,CACNA1A,CNR1,PCDHB4,PCDHB20,PCDHB15,PCDHB11,USP46,GRIK2
12	1	TRUE	0.000144	422	197	18	0.091	0.043	GO:0098916	BP	131	anterograde trans-synaptic signaling	4	SLC1A3,CACNB4,CADPS2,LIN7A,GABRG2,GRIA1,ALS2,LIN7C,CAR7,RIMS3,CACNA1A,CNR1,PCDHB4,PCDHB20,PCDHB15,PCDHB11,USP46,GRIK2
13	1	TRUE	0.000144	422	197	18	0.091	0.043	GO:0007268	BP	131	chemical synaptic transmission	5	SLC1A3,CACNB4,CADPS2,LIN7A,GABRG2,GRIA1,ALS2,LIN7C,CAR7,RIMS3,CACNA1A,CNR1,PCDHB4,PCDHB20,PCDHB15,PCDHB11,USP46,GRIK2
14	1	TRUE	0.0422	3216	197	50	0.254	0.016	GO:0006810	BP	20	transport	1	BBC3,AP2A2,SLC1A3,KIT,MCU,GABRA1,CACNB4,CADPS2,YWHAH,SCN1B,GOPC,LIN7A,MYBPC1,GABRG2,GRIA1,SYBU,MGRN1,SRL,ALS2,DAB2IP,LIN7C,PKIA,TSPAN1,KCNIP4,CHIC2,ITPR1,ERC1,CDK16,ARHGEF7,CAR7,VPS26B,RIMS3,ATP1A1,EXPH5,CACNA1A,NEUROD1,SLC19A3,REEP2,AKAP7,TBC1D25,DACT1,TMEM201,CLIP1,KCNK12,GRIK2,SYNE2,PEX26,SCN2B,SYNDIG1,TTC30B
15	1	TRUE	0.0279	657	197	17	0.086	0.026	GO:0055085	BP	20	transmembrane transport	2	BBC3,SLC1A3,MCU,GABRA1,CACNB4,YWHAH,SCN1B,GOPC,GABRG2,KCNIP4,ITPR1,ATP1A1,CACNA1A,AKAP7,KCNK12,PEX26,SCN2B
16	1	TRUE	0.0406	1594	197	30	0.152	0.019	GO:0051649	BP	20	establishment of localization in cell	1	BBC3,AP2A2,KIT,MCU,CADPS2,YWHAH,LIN7A,MYBPC1,SYBU,MGRN1,ALS2,DAB2IP,LIN7C,PKIA,ITPR1,ERC1,CDK16,VPS26B,RIMS3,CACNA1A,REEP2,TBC1D25,DACT1,TMEM201,CLIP1,GRIK2,SYNE2,PEX26,SYNDIG1,TTC30B
17	1	TRUE	0.0486	1340	197	26	0.132	0.019	GO:0046907	BP	20	intracellular transport	2	BBC3,AP2A2,KIT,MCU,CADPS2,YWHAH,LIN7A,MYBPC1,MGRN1,ALS2,DAB2IP,PKIA,ERC1,VPS26B,RIMS3,CACNA1A,REEP2,TBC1D25,DACT1,TMEM201,CLIP1,GRIK2,SYNE2,PEX26,SYNDIG1,TTC30B
18	1	TRUE	0.0163	546	197	16	0.081	0.029	GO:0034220	BP	20	ion transmembrane transport	1	BBC3,SLC1A3,MCU,GABRA1,CACNB4,YWHAH,SCN1B,GOPC,GABRG2,KCNIP4,ITPR1,ATP1A1,CACNA1A,AKAP7,KCNK12,SCN2B
19	1	TRUE	0.00628	436	197	15	0.076	0.034	GO:0098660	BP	20	inorganic ion transmembrane transport	2	BBC3,SLC1A3,MCU,GABRA1,CACNB4,YWHAH,SCN1B,GABRG2,KCNIP4,ITPR1,ATP1A1,CACNA1A,AKAP7,KCNK12,SCN2B
20	1	TRUE	0.0354	436	197	13	0.066	0.03	GO:0098655	BP	20	cation transmembrane transport	2	BBC3,SLC1A3,MCU,CACNB4,YWHAH,SCN1B,KCNIP4,ITPR1,ATP1A1,CACNA1A,AKAP7,KCNK12,SCN2B
21	1	TRUE	0.0201	392	197	13	0.066	0.033	GO:0098662	BP	20	inorganic cation transmembrane transport	3	BBC3,SLC1A3,MCU,CACNB4,YWHAH,SCN1B,KCNIP4,ITPR1,ATP1A1,CACNA1A,AKAP7,KCNK12,SCN2B
22	1	TRUE	0.0245	4436	197	66	0.335	0.015	GO:0048856	BP	95	anatomical structure development	1	SEMA4F,NFIX,BBC3,AP2A2,FOXJ2,SLC1A3,KIT,RNF112,ALDH1A3,CACNB4,PCGF2,YWHAH,SCN1B,GOPC,LIN7A,KITL,MYBPC1,ADCY1,GABRG2,ETS2,EPC1,TMEM178,RBFOX3,NPTX1,ALS2,MSTN,DAB2IP,LIN7C,ZBTB46,MMP24,BCAR3,PLPP3,TMEM57,CRMP1,ITPR1,MEF2A,CDK16,CUL4A,ARHGEF7,EXPH5,CACNA1A,NEUROD1,DUSP5,ZC4H2,GDPD5,PLK5,SOCS7,CABLES1,SPEM1,TMEM64,CNR1,DACT1,AMER3,PCDHB4,PCDHB20,PCDHB15,RIPPLY2,FOXO3,PCDHB11,GPR173,BTBD3,SYNE2,WFIKKN1,SYNDIG1,SYNE1,PCDHGB2
23	1	TRUE	0.0485	1712	197	31	0.157	0.018	GO:0048468	BP	95	cell development	2	SEMA4F,SLC1A3,KIT,RNF112,CACNB4,YWHAH,SCN1B,GOPC,KITL,MYBPC1,ADCY1,NPTX1,ALS2,MSTN,DAB2IP,CRMP1,MEF2A,CDK16,ARHGEF7,EXPH5,CACNA1A,NEUROD1,GDPD5,PLK5,SPEM1,CNR1,DACT1,FOXO3,GPR173,BTBD3,WFIKKN1
