name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
R-HSA-112315	Transmission across Chemical Synapses	224	13	7.09	8.37	2.8e-08	1.6e-06	8.67	4.33	16.1
R-HSA-112316	Neuronal System	356	14	4.8	6.64	9.8e-07	2.8e-05	5.77	2.97	10.5
R-HSA-112314	Neurotransmitter receptors and postsynaptic signal transmission	154	8	6.34	6.07	3.6e-05	0.00053	7.24	2.96	15.4
R-HSA-397014	Muscle contraction	201	9	5.47	5.81	3.7e-05	0.00053	6.25	2.71	12.8
R-HSA-5576891	Cardiac conduction	139	7	6.15	5.56	0.00014	0.0016	6.92	2.64	15.4
R-HSA-114508	Effects of PIP2 hydrolysis	25	3	14.7	6.21	0.0011	0.0089	17.1	3.21	58.7
R-HSA-977443	GABA receptor activation	55	4	8.88	5.33	0.001	0.0089	9.93	2.54	28
R-HSA-112043	PLC beta mediated events	41	3	8.93	4.63	0.0045	0.025	9.88	1.91	32.2
R-HSA-442755	Activation of NMDA receptor and postsynaptic events	41	3	8.93	4.63	0.0045	0.025	9.88	1.91	32.2
R-HSA-112040	G-protein mediated events	42	3	8.72	4.56	0.0048	0.025	9.63	1.86	31.3
R-HSA-2682334	EPH-Ephrin signaling	81	4	6.03	4.13	0.0043	0.025	6.56	1.7	18.1
R-HSA-5576892	Phase 0 - rapid depolarisation	46	3	7.96	4.3	0.0062	0.029	8.73	1.7	28.2
R-HSA-1483249	Inositol phosphate metabolism	48	3	7.63	4.18	0.007	0.029	8.34	1.62	26.9
R-HSA-163685	Integration of energy metabolism	92	4	5.31	3.77	0.0068	0.029	5.73	1.49	15.8
R-HSA-3928665	EPH-ephrin mediated repulsion of cells	50	3	7.33	4.08	0.0079	0.03	7.98	1.56	25.6
R-HSA-112310	Neurotransmitter release cycle	51	3	7.18	4.02	0.0083	0.03	7.81	1.53	25.1
