name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
DOID:848	arthritis	649	56	1.66	4.11	8.9e-05	0.021	1.85	1.35	2.5
DOID:3342	bone inflammation disease	686	58	1.62	4.02	0.00012	0.021	1.81	1.32	2.43
DOID:0080001	bone disease	833	67	1.54	3.91	0.00015	0.021	1.72	1.29	2.28
DOID:77	gastrointestinal system disease	1039	79	1.46	3.75	0.00022	0.021	1.63	1.24	2.12
DOID:0060083	immune system cancer	1356	98	1.39	3.71	0.00022	0.021	1.57	1.22	2
DOID:2531	hematologic cancer	1344	96	1.37	3.54	4e-04	0.032	1.54	1.2	1.97
DOID:3095	germ cell and embryonal cancer	16	5	5.99	4.69	0.001	0.04	8.36	2.26	26.3
DOID:0050161	lower respiratory tract disease	656	53	1.55	3.47	0.00072	0.04	1.7	1.23	2.31
DOID:3908	non-small cell lung carcinoma	417	37	1.7	3.47	0.00092	0.04	1.86	1.26	2.66
DOID:4960	bone marrow cancer	376	34	1.73	3.43	0.0011	0.04	1.89	1.27	2.75
DOID:0050615	respiratory system cancer	509	43	1.62	3.41	0.00098	0.04	1.77	1.24	2.47
DOID:3905	lung carcinoma	479	41	1.64	3.41	0.001	0.04	1.79	1.24	2.52
DOID:1324	lung cancer	480	41	1.64	3.4	0.001	0.04	1.79	1.24	2.52
DOID:1240	leukemia	1133	81	1.37	3.2	0.0013	0.044	1.51	1.16	1.96
DOID:3565	meningioma	67	10	2.86	3.59	0.0023	0.047	3.25	1.47	6.49
DOID:9538	multiple myeloma	244	24	1.89	3.31	0.0019	0.047	2.05	1.27	3.19
DOID:1037	lymphoblastic leukemia	413	36	1.67	3.3	0.0015	0.047	1.82	1.23	2.61
DOID:201	connective tissue cancer	358	32	1.71	3.25	0.0018	0.047	1.86	1.23	2.73
DOID:2152	ovary epithelial cancer	276	26	1.81	3.21	0.0023	0.047	1.96	1.24	2.99
DOID:2151	malignant ovarian surface epithelial-stromal neoplasm	276	26	1.81	3.21	0.0023	0.047	1.96	1.24	2.99
DOID:4001	ovarian carcinoma	276	26	1.81	3.21	0.0023	0.047	1.96	1.24	2.99
DOID:16	integumentary system disease	595	47	1.52	3.08	0.0023	0.047	1.64	1.17	2.27
DOID:1579	respiratory system disease	691	53	1.47	3.06	0.0023	0.047	1.6	1.16	2.17
DOID:17	musculoskeletal system disease	1239	86	1.33	3.01	0.0022	0.047	1.47	1.13	1.89
DOID:3113	papillary carcinoma	39	7	3.44	3.59	0.0036	0.048	4.03	1.49	9.39
DOID:4029	gastritis	68	10	2.82	3.54	0.0025	0.048	3.19	1.44	6.37
DOID:76	stomach disease	80	11	2.64	3.45	0.0027	0.048	2.96	1.4	5.69
DOID:2394	ovarian cancer	282	26	1.77	3.09	0.0031	0.048	1.91	1.21	2.92
DOID:0070004	myeloid neoplasm	368	32	1.67	3.09	0.0028	0.048	1.8	1.19	2.64
DOID:37	skin disease	571	45	1.51	2.99	0.003	0.048	1.63	1.15	2.27
DOID:9256	colorectal cancer	811	60	1.42	2.98	0.0028	0.048	1.54	1.14	2.06
DOID:5672	large intestine cancer	812	60	1.42	2.97	0.0029	0.048	1.54	1.14	2.06
DOID:7148	rheumatoid arthritis	498	40	1.54	2.94	0.0037	0.048	1.66	1.15	2.35
DOID:1749	squamous cell carcinoma	720	54	1.44	2.91	0.0034	0.048	1.56	1.13	2.11
DOID:65	connective tissue disease	1050	74	1.35	2.9	0.0032	0.048	1.47	1.12	1.93
DOID:10155	intestinal cancer	820	60	1.4	2.88	0.0036	0.048	1.52	1.12	2.03
DOID:0050117	disease by infectious agent	1330	90	1.3	2.83	0.0036	0.048	1.42	1.1	1.83
