name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
DOID:26	pancreas disease	173	21	4.11	7.22	3e-08	1.1e-05	4.93	2.9	8.03
DOID:37	skin disease	571	39	2.31	5.7	4.8e-07	6.3e-05	2.73	1.86	3.94
DOID:16	integumentary system disease	595	40	2.27	5.67	5.1e-07	6.3e-05	2.69	1.84	3.87
DOID:4989	pancreatitis	115	15	4.41	6.44	1.2e-06	0.00011	5.23	2.77	9.25
DOID:28	endocrine system disease	358	27	2.55	5.26	5.8e-06	0.00043	2.93	1.85	4.48
DOID:974	upper respiratory tract disease	123	14	3.85	5.57	1.4e-05	0.00088	4.45	2.31	7.97
DOID:3310	atopic dermatitis	145	15	3.5	5.31	2.2e-05	0.0012	4	2.14	7.01
DOID:2723	dermatitis	222	19	2.89	5.01	2.8e-05	0.0013	3.28	1.89	5.4
DOID:15	reproductive system disease	490	30	2.07	4.29	9.7e-05	0.004	2.33	1.51	3.5
DOID:5113	nutritional deficiency disease	18	5	9.39	6.22	0.00013	0.005	12.9	3.56	39
DOID:2825	nose disease	106	11	3.51	4.54	0.00027	0.0093	3.96	1.88	7.56
DOID:2018	hyperinsulinism	46	7	5.15	4.92	0.00036	0.011	6.06	2.26	13.9
DOID:0050589	inflammatory bowel disease	295	20	2.29	3.96	0.00043	0.012	2.53	1.49	4.11
DOID:2214	inherited blood coagulation disease	23	5	7.35	5.33	0.00047	0.013	9.31	2.68	26.4
DOID:2913	acute pancreatitis	49	7	4.83	4.7	0.00053	0.013	5.62	2.11	12.8
DOID:4481	allergic rhinitis	98	10	3.45	4.27	6e-04	0.014	3.87	1.76	7.6
DOID:2163	nasal cavity disease	100	10	3.38	4.19	7e-04	0.014	3.78	1.73	7.42
DOID:4483	rhinitis	100	10	3.38	4.19	7e-04	0.014	3.78	1.73	7.42
DOID:3393	coronary artery disease	351	22	2.12	3.76	0.00065	0.014	2.34	1.41	3.71
DOID:1428	endocrine pancreas disease	68	8	3.98	4.31	0.00082	0.015	4.51	1.84	9.64
DOID:77	gastrointestinal system disease	1039	48	1.56	3.43	0.00081	0.015	1.77	1.24	2.47
DOID:0060180	colitis	204	15	2.49	3.76	0.001	0.016	2.73	1.47	4.73
DOID:8577	ulcerative colitis	204	15	2.49	3.76	0.001	0.016	2.73	1.47	4.73
DOID:1579	respiratory system disease	691	35	1.71	3.45	0.00098	0.016	1.9	1.27	2.78
DOID:8506	bullous pemphigoid	29	5	5.83	4.55	0.0014	0.021	6.98	2.06	18.9
DOID:0050828	artery disease	931	43	1.56	3.21	0.0016	0.023	1.74	1.21	2.47
DOID:0060158	acquired metabolic disease	1078	48	1.51	3.15	0.0018	0.024	1.69	1.19	2.36
DOID:0014667	disease of metabolism	1280	55	1.45	3.13	0.0018	0.024	1.64	1.18	2.27
DOID:8689	anorexia nervosa	45	6	4.51	4.12	0.0019	0.025	5.17	1.77	12.5
DOID:9120	amyloidosis	48	6	4.23	3.92	0.0027	0.034	4.8	1.65	11.5
DOID:10754	otitis media	21	4	6.44	4.36	0.003	0.036	7.85	1.9	24.4
DOID:0060039	autoimmune disease of skin and connective tissue	35	5	4.83	3.97	0.0034	0.037	5.58	1.67	14.7
DOID:1247	blood coagulation disease	164	12	2.47	3.34	0.0033	0.037	2.69	1.34	4.94
DOID:8893	psoriasis	209	14	2.27	3.24	0.0035	0.037	2.45	1.29	4.32
DOID:5295	intestinal disease	350	20	1.93	3.12	0.0034	0.037	2.09	1.23	3.38
DOID:8670	eating disorder	52	6	3.9	3.67	0.0041	0.041	4.38	1.51	10.4
DOID:2841	asthma	355	20	1.91	3.06	0.004	0.041	2.06	1.21	3.33
DOID:5100	middle ear disease	23	4	5.88	4.09	0.0042	0.042	7.02	1.72	21.4
DOID:229	female reproductive system disease	333	19	1.93	3.03	0.0044	0.042	2.09	1.21	3.4
DOID:11714	gestational diabetes	54	6	3.76	3.55	0.0049	0.046	4.19	1.45	9.97
DOID:9351	diabetes mellitus	818	37	1.53	2.81	0.0051	0.046	1.68	1.13	2.42
DOID:1176	bronchial disease	364	20	1.86	2.94	0.0053	0.047	2.01	1.18	3.24
DOID:8929	atrophic gastritis	26	4	5.2	3.75	0.0067	0.05	6.06	1.5	18.1
DOID:0002116	pterygium	26	4	5.2	3.75	0.0067	0.05	6.06	1.5	18.1
DOID:10139	conjunctival degeneration	26	4	5.2	3.75	0.0067	0.05	6.06	1.5	18.1
DOID:10526	conjunctival pterygium	26	4	5.2	3.75	0.0067	0.05	6.06	1.5	18.1
DOID:9415	allergic asthma	40	5	4.23	3.57	0.0061	0.05	4.78	1.45	12.4
DOID:9778	irritable bowel syndrome	76	7	3.12	3.24	0.0069	0.05	3.41	1.31	7.54
DOID:1168	familial hyperlipidemia	76	7	3.12	3.24	0.0069	0.05	3.41	1.31	7.54
DOID:0050155	sensory system disease	606	29	1.62	2.78	0.0062	0.05	1.76	1.13	2.64
DOID:0050013	carbohydrate metabolism disease	858	38	1.5	2.72	0.0064	0.05	1.64	1.11	2.36
DOID:4194	glucose metabolism disease	858	38	1.5	2.72	0.0064	0.05	1.64	1.11	2.36
