query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.00386	98	931	16	0.017	0.163	GO:1901568	BP	144	fatty acid derivative metabolic process	1	CYP2C29,FCER1A,PRG3,THEM5,EDN2,CYP2C37,CYP2C50,CYP2A12,CYP2C70,CYP2C54,CYP2C66,CYP2C65,CYP2D11,CYP2D9,CYP2C68,CYP2D10
2	1	TRUE	0.00233	82	931	15	0.016	0.183	GO:0006690	BP	144	icosanoid metabolic process	2	CYP2C29,FCER1A,PRG3,EDN2,CYP2C37,CYP2C50,CYP2A12,CYP2C70,CYP2C54,CYP2C66,CYP2C65,CYP2D11,CYP2D9,CYP2C68,CYP2D10
3	1	TRUE	0.0118	76	931	13	0.014	0.171	GO:0033559	BP	144	unsaturated fatty acid metabolic process	1	CYP2C29,EDN2,CYP2C37,CYP2C50,CYP2A12,CYP2C70,CYP2C54,CYP2C66,CYP2C65,CYP2D11,CYP2D9,CYP2C68,CYP2D10
4	1	TRUE	0.0304	75	931	12	0.013	0.16	GO:0001676	BP	144	long-chain fatty acid metabolic process	1	CYP2C29,CYP2C37,CYP2C50,CYP2A12,CYP2C70,CYP2C54,CYP2C66,CYP2C65,CYP2D11,CYP2D9,CYP2C68,CYP2D10
5	1	TRUE	0.00152	51	931	12	0.013	0.235	GO:0019369	BP	144	arachidonic acid metabolic process	2	CYP2C29,CYP2C37,CYP2C50,CYP2A12,CYP2C70,CYP2C54,CYP2C66,CYP2C65,CYP2D11,CYP2D9,CYP2C68,CYP2D10
6	1	TRUE	0.00205	29	931	9	0.01	0.31	GO:0019373	BP	144	epoxygenase P450 pathway	3	CYP2C29,CYP2C37,CYP2C50,CYP2A12,CYP2C70,CYP2C54,CYP2C66,CYP2C65,CYP2C68
7	1	TRUE	0.0269	96	931	14	0.015	0.146	GO:0006304	BP	89	DNA modification	1	GRHL2,AICDA,H1FOO,PRDM14,HIST1H3A,HIST1H4B,HIST1H3E,HIST1H4F,HIST1H4N,HIST1H4M,HIST1H3C,HIST2H3B,HIST1H3F,HIST1H3H
8	1	TRUE	0.015	79	931	13	0.014	0.165	GO:0006305	BP	89	DNA alkylation	2	GRHL2,H1FOO,PRDM14,HIST1H3A,HIST1H4B,HIST1H3E,HIST1H4F,HIST1H4N,HIST1H4M,HIST1H3C,HIST2H3B,HIST1H3F,HIST1H3H
9	1	TRUE	0.015	90	931	14	0.015	0.156	GO:0044728	BP	89	DNA methylation or demethylation	2	GRHL2,AICDA,H1FOO,PRDM14,HIST1H3A,HIST1H4B,HIST1H3E,HIST1H4F,HIST1H4N,HIST1H4M,HIST1H3C,HIST2H3B,HIST1H3F,HIST1H3H
10	1	TRUE	0.015	79	931	13	0.014	0.165	GO:0006306	BP	89	DNA methylation	3	GRHL2,H1FOO,PRDM14,HIST1H3A,HIST1H4B,HIST1H3E,HIST1H4F,HIST1H4N,HIST1H4M,HIST1H3C,HIST2H3B,HIST1H3F,HIST1H3H
11	1	TRUE	0.00152	35	931	10	0.011	0.286	GO:0032776	BP	89	DNA methylation on cytosine	4	HIST1H3A,HIST1H4B,HIST1H3E,HIST1H4F,HIST1H4N,HIST1H4M,HIST1H3C,HIST2H3B,HIST1H3F,HIST1H3H
12	1	TRUE	0.0316	135	931	17	0.018	0.126	GO:0006323	BP	150	DNA packaging	1	PRM1,HILS1,H1FOO,TNP2,HIST1H3A,HIST1H4B,HIST1H3E,HIST1H4F,HIST1H2BJ,HIST1H4N,HIST1H4M,HIST1H2BP,HIST1H3C,HIST2H3B,HIST1H2BN,HIST1H3F,HIST1H3H
13	1	TRUE	0.03	109	931	15	0.016	0.138	GO:0034728	BP	150	nucleosome organization	1	H1FOO,TNP2,HIST1H3A,HIST1H4B,HIST1H3E,HIST1H4F,HIST1H2BJ,HIST1H4N,HIST1H4M,HIST1H2BP,HIST1H3C,HIST2H3B,HIST1H2BN,HIST1H3F,HIST1H3H
14	1	TRUE	0.00125	33	931	10	0.011	0.303	GO:0034723	BP	150	DNA replication-dependent nucleosome organization	2	HIST1H3A,HIST1H4B,HIST1H3E,HIST1H4F,HIST1H4N,HIST1H4M,HIST1H3C,HIST2H3B,HIST1H3F,HIST1H3H
15	1	TRUE	0.0354	100	931	14	0.015	0.14	GO:0031497	BP	150	chromatin assembly	1	H1FOO,HIST1H3A,HIST1H4B,HIST1H3E,HIST1H4F,HIST1H2BJ,HIST1H4N,HIST1H4M,HIST1H2BP,HIST1H3C,HIST2H3B,HIST1H2BN,HIST1H3F,HIST1H3H
16	1	TRUE	0.00563	80	931	14	0.015	0.175	GO:0006334	BP	150	nucleosome assembly	2	H1FOO,HIST1H3A,HIST1H4B,HIST1H3E,HIST1H4F,HIST1H2BJ,HIST1H4N,HIST1H4M,HIST1H2BP,HIST1H3C,HIST2H3B,HIST1H2BN,HIST1H3F,HIST1H3H
