query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0495	119	1027	15	0.015	0.126	GO:0051250	BP	191	negative regulation of lymphocyte activation	1	MERTK,TNFAIP3,PELI1,ADORA2A,BMP4,GLMN,PAWR,FAM65B,SOCS5,BANK1,PRDM1,VTCN1,BTN2A2,SOX11,LRRC32
2	1	TRUE	0.0464	10	1027	4	0.004	0.4	GO:0097499	BP	75	protein localization to non-motile cilium	1	SPATA7,BBS4,BC027072,BBIP1
3	1	TRUE	0.0291	38	1027	8	0.008	0.211	GO:0048013	BP	113	ephrin receptor signaling pathway	1	PTK2,EPHA4,NGEF,SRC,EFNB1,SIPA1L1,CDK5R1,EFNA5
4	1	TRUE	0.0459	24	1027	6	0.006	0.25	GO:0051491	BP	22	positive regulation of filopodium assembly	1	SRF,PLPPR5,PALM,FAM65B,MYO3B,NLGN1
5	1	TRUE	0.0373	229	1027	24	0.023	0.105	GO:0050808	BP	151	synapse organization	1	SEZ6,CACNB3,MEF2C,ASIC2,DLG4,PTK2,EPHA4,CHRNA1,LRP4,ADGRB2,PLXND1,CADM1,PDZRN3,PALM,IGSF9,CUX2,SYNPO,FLRT2,EFNA5,C1QL3,MUSK,KALRN,NLGN1,PCDHGC5
6	1	TRUE	0.0273	4747	1027	291	0.283	0.061	GO:0032502	BP	3	developmental process	1	WNT9A,LHX2,ALOX12,SEZ6,AIRE,TCF7,BCL11A,B9D1,COL6A1,DYRK1B,BTBD6,CRHR2,CCL24,MAP2K1,KLF5,MEF2C,OTX1,ZBTB17,VAX1,MPL,CYP27B1,SLC44A4,SCUBE2,TCAP,CDK9,DAZL,WNT2,EHF,EHMT2,MERTK,ACTN1,TTBK1,SRF,GNRH1,NR2E1,LAMA4,TNFAIP3,CTGF,ASCL1,JADE2,UBE2B,GRHL1,ASIC2,MINK1,DLG4,KAT2A,NMT1,PLCD3,FOXG1,COCH,KIF26A,SFXN1,DDX41,HAPLN1,FEZF2,BMP4,NKX3-1,DROSHA,NPR3,ARC,PTK2,WNT10B,WNT1,NOCT,CD4,DLX2,HES7,SATB1,PTK7,SMAD2,CAMK2A,RBP4,TRIM8,LDB1,BBS4,AGAP2,RNF165,CRISPLD1,SLC9A4,WNT10A,VIL1,EPHA4,NGEF,TNFRSF11A,SLC30A10,NR5A1,ITGA8,ABI2,LHX6,XIRP2,CHRNA1,LRP4,LTK,RASGRP1,FERMT1,TGM3,PCSK2,EDN3,SRC,SKIL,IL12A,SCHIP1,RPE65,CTH,B4GALT2,TFAP2C,KIF17,ADGRB2,HGF,TNFRSF9,DRAXIN,GNB1,FOSL2,GABRA4,GLMN,BMP3,TESC,PIWIL1,MMP17,FOXP2,RASAL1,FEZF1,ACTL6B,DLX6,DLX5,PTN,FOXP1,PROK2,PLXND1,GPRC5D,OCA2,CERS3,DPF1,LRFN1,TGFB1I1,DKKL1,OTUD5,EFNB1,ACSL4,SETD6,MYLK3,SMPD3,ACTA1,CADM1,CARM1,TPM1,SMARCC1,CSRNP1,CCK,MGLL,PLPPR5,EGR3,CLCNKA,PPP3R1,RXFP1,FANCD2,JDP2,FHOD3,GNA11,GNAT1,HRH2,EPGN,TBR1,NUBPL,EPN1,ADRB1,CRB2,NTNG2,PALM,PAWR,DCDC2A,BBS9,FAM65B,RORB,ALX1,GJD4,STOX1,LRFN3,AZGP1,SOCS5,PSD,GRHL3,OVOL2,NOV,PANK2,EGR2,PCDH18,NEUROD6,IGSF9,PRDM1,CER1,GDF5,TRPM4,WDR36,SATB2,EGR1,TFDP1,SIX3,PPP1R9B,CFAP157,NRN1,CDSN,SLC39A5,MRAP,MAEL,DOK4,RCC2,NPNT,CFTR,RNF10,DLX1,PKP2,MYO3B,MKL1,CUX2,SIPA1L1,TRIM46,EMX2,PCSK9,BC027072,PROP1,BHLHE23,POU3F3,CCDC42,PIK3R6,CCBE1,AR,DMRTA2,HELT,CCDC36,FLRT2,INHBE,NEUROD4,DMRT2,CDK5R1,NEUROG1,EFNA5,ZFPM1,ARHGAP15,ZFP831,RTN4RL2,ISLR2,SOX6,ACTN2,MAPK11,BTN2A2,DIS3L2,RXFP2,NUDCD3,UMODL1,ACTN4,NELL1,NANOS3,TTC26,POU3F4,GSK3A,MUSK,MUP5,THRA,ABI1,CXCL12,SOX21,KALRN,ING2,SOX7,SOX11,NLGN1,KRT2,CHRNA10,LEFTY2,SYNGAP1,MEI1,INSM1,MACROD2,ETNK2,NANOS1,GM13304,ISM1,DIO3,TRIM71,PRDM12,CDK5R2,POU3F1,GCNT4,TNNC1,DYX1C1,POU3F2,LHX8,GM21093,KISS1,PCDHGC5
7	1	TRUE	0.00187	3311	1027	223	0.217	0.067	GO:0048869	BP	3	cellular developmental process	2	WNT9A,LHX2,SEZ6,AIRE,TCF7,BCL11A,B9D1,COL6A1,DYRK1B,BTBD6,CCL24,MAP2K1,KLF5,MEF2C,VAX1,MPL,CYP27B1,SLC44A4,SCUBE2,TCAP,CDK9,DAZL,WNT2,EHF,EHMT2,MERTK,ACTN1,TTBK1,SRF,GNRH1,NR2E1,LAMA4,TNFAIP3,CTGF,ASCL1,JADE2,UBE2B,GRHL1,MINK1,DLG4,FOXG1,COCH,SFXN1,DDX41,FEZF2,BMP4,DROSHA,ARC,PTK2,WNT10B,WNT1,NOCT,CD4,DLX2,SATB1,PTK7,SMAD2,CAMK2A,LDB1,BBS4,RNF165,SLC9A4,WNT10A,VIL1,EPHA4,NGEF,TNFRSF11A,SLC30A10,NR5A1,ITGA8,ABI2,LHX6,LRP4,LTK,RASGRP1,TGM3,EDN3,SRC,SKIL,IL12A,RPE65,CTH,TFAP2C,KIF17,HGF,DRAXIN,FOSL2,GLMN,BMP3,TESC,PIWIL1,FOXP2,RASAL1,FEZF1,DLX6,DLX5,FOXP1,PROK2,PLXND1,GPRC5D,OCA2,CERS3,LRFN1,TGFB1I1,DKKL1,OTUD5,EFNB1,ACSL4,SETD6,MYLK3,SMPD3,ACTA1,CADM1,CARM1,CCK,MGLL,PLPPR5,EGR3,PPP3R1,RXFP1,FANCD2,JDP2,FHOD3,GNA11,GNAT1,HRH2,TBR1,NUBPL,ADRB1,CRB2,NTNG2,PALM,PAWR,DCDC2A,BBS9,FAM65B,RORB,ALX1,LRFN3,SOCS5,PSD,OVOL2,NOV,PANK2,EGR2,IGSF9,PRDM1,GDF5,TRPM4,WDR36,SATB2,EGR1,SIX3,PPP1R9B,CFAP157,NRN1,MRAP,MAEL,RCC2,NPNT,CFTR,RNF10,DLX1,PKP2,MKL1,CUX2,SIPA1L1,TRIM46,EMX2,PCSK9,BC027072,PROP1,BHLHE23,POU3F3,CCDC42,PIK3R6,AR,DMRTA2,HELT,CCDC36,FLRT2,INHBE,NEUROD4,CDK5R1,NEUROG1,EFNA5,ZFPM1,ARHGAP15,RTN4RL2,ISLR2,SOX6,ACTN2,MAPK11,BTN2A2,ACTN4,NELL1,NANOS3,TTC26,POU3F4,GSK3A,MUP5,THRA,ABI1,CXCL12,SOX21,KALRN,ING2,SOX11,NLGN1,KRT2,LEFTY2,SYNGAP1,MEI1,INSM1,NANOS1,GM13304,DIO3,PRDM12,CDK5R2,POU3F1,DYX1C1,POU3F2,LHX8
8	1	TRUE	0.00373	3143	1027	210	0.204	0.067	GO:0030154	BP	3	cell differentiation	3	WNT9A,LHX2,SEZ6,AIRE,TCF7,BCL11A,B9D1,COL6A1,DYRK1B,BTBD6,MAP2K1,KLF5,MEF2C,VAX1,MPL,CYP27B1,SLC44A4,SCUBE2,TCAP,CDK9,DAZL,WNT2,EHF,EHMT2,MERTK,ACTN1,SRF,GNRH1,NR2E1,LAMA4,TNFAIP3,CTGF,ASCL1,JADE2,UBE2B,GRHL1,MINK1,DLG4,FOXG1,SFXN1,DDX41,FEZF2,BMP4,DROSHA,PTK2,WNT10B,WNT1,NOCT,CD4,DLX2,SATB1,PTK7,SMAD2,CAMK2A,LDB1,BBS4,RNF165,SLC9A4,WNT10A,EPHA4,NGEF,TNFRSF11A,NR5A1,ITGA8,ABI2,LHX6,LRP4,LTK,RASGRP1,TGM3,EDN3,SRC,SKIL,IL12A,RPE65,CTH,TFAP2C,KIF17,DRAXIN,FOSL2,GLMN,BMP3,TESC,PIWIL1,FOXP2,RASAL1,FEZF1,DLX6,DLX5,FOXP1,PROK2,PLXND1,GPRC5D,OCA2,CERS3,LRFN1,TGFB1I1,DKKL1,OTUD5,EFNB1,ACSL4,SETD6,MYLK3,SMPD3,ACTA1,CARM1,CCK,MGLL,PLPPR5,EGR3,PPP3R1,RXFP1,FANCD2,JDP2,FHOD3,GNA11,GNAT1,HRH2,TBR1,ADRB1,CRB2,NTNG2,PAWR,DCDC2A,BBS9,FAM65B,RORB,ALX1,LRFN3,SOCS5,PSD,OVOL2,NOV,PANK2,EGR2,IGSF9,PRDM1,GDF5,TRPM4,WDR36,SATB2,EGR1,SIX3,PPP1R9B,CFAP157,NRN1,MRAP,RCC2,NPNT,CFTR,RNF10,DLX1,PKP2,MKL1,CUX2,SIPA1L1,TRIM46,EMX2,PCSK9,BC027072,PROP1,BHLHE23,POU3F3,CCDC42,PIK3R6,AR,DMRTA2,HELT,CCDC36,FLRT2,INHBE,NEUROD4,CDK5R1,NEUROG1,EFNA5,ZFPM1,RTN4RL2,ISLR2,SOX6,ACTN2,MAPK11,BTN2A2,ACTN4,NELL1,NANOS3,TTC26,POU3F4,GSK3A,THRA,ABI1,CXCL12,SOX21,KALRN,ING2,SOX11,NLGN1,KRT2,LEFTY2,SYNGAP1,MEI1,INSM1,NANOS1,GM13304,DIO3,PRDM12,CDK5R2,POU3F1,DYX1C1,POU3F2,LHX8
9	1	TRUE	0.00697	248	1027	28	0.027	0.113	GO:0045165	BP	3	cell fate commitment	3	WNT9A,MEF2C,WNT2,EHMT2,NR2E1,ASCL1,FOXG1,FEZF2,BMP4,WNT10B,WNT1,DLX2,SMAD2,WNT10A,LHX6,TFAP2C,TGFB1I1,OTUD5,TBR1,PRDM1,SATB2,DLX1,AR,DMRTA2,NEUROD4,NEUROG1,SOX6,POU3F2
10	1	TRUE	0.012	4436	1027	278	0.271	0.063	GO:0048856	BP	3	anatomical structure development	2	WNT9A,LHX2,ALOX12,SEZ6,AIRE,TCF7,BCL11A,B9D1,DYRK1B,BTBD6,CRHR2,CCL24,MAP2K1,KLF5,MEF2C,OTX1,ZBTB17,VAX1,MPL,CYP27B1,SLC44A4,SCUBE2,TCAP,CDK9,DAZL,WNT2,EHF,EHMT2,MERTK,ACTN1,TTBK1,SRF,GNRH1,NR2E1,LAMA4,TNFAIP3,CTGF,ASCL1,JADE2,UBE2B,GRHL1,ASIC2,MINK1,DLG4,KAT2A,NMT1,PLCD3,FOXG1,COCH,KIF26A,SFXN1,HAPLN1,FEZF2,BMP4,NKX3-1,DROSHA,NPR3,ARC,PTK2,WNT10B,WNT1,NOCT,CD4,DLX2,HES7,SATB1,PTK7,SMAD2,CAMK2A,RBP4,LDB1,BBS4,AGAP2,RNF165,CRISPLD1,SLC9A4,WNT10A,VIL1,EPHA4,NGEF,TNFRSF11A,NR5A1,ITGA8,ABI2,LHX6,XIRP2,CHRNA1,LRP4,LTK,RASGRP1,FERMT1,TGM3,PCSK2,EDN3,SRC,SKIL,IL12A,SCHIP1,RPE65,CTH,B4GALT2,TFAP2C,KIF17,ADGRB2,HGF,TNFRSF9,DRAXIN,GNB1,FOSL2,GABRA4,GLMN,BMP3,TESC,PIWIL1,MMP17,FOXP2,RASAL1,FEZF1,ACTL6B,DLX6,DLX5,PTN,FOXP1,PROK2,PLXND1,GPRC5D,OCA2,CERS3,DPF1,LRFN1,TGFB1I1,OTUD5,EFNB1,ACSL4,MYLK3,SMPD3,ACTA1,CADM1,CARM1,TPM1,SMARCC1,CSRNP1,CCK,MGLL,PLPPR5,EGR3,CLCNKA,PPP3R1,RXFP1,FANCD2,FHOD3,GNA11,GNAT1,HRH2,EPGN,TBR1,NUBPL,EPN1,CRB2,NTNG2,PALM,PAWR,DCDC2A,FAM65B,RORB,ALX1,GJD4,STOX1,LRFN3,SOCS5,PSD,GRHL3,OVOL2,NOV,PANK2,EGR2,PCDH18,NEUROD6,IGSF9,PRDM1,CER1,GDF5,TRPM4,WDR36,SATB2,EGR1,TFDP1,SIX3,PPP1R9B,CFAP157,NRN1,CDSN,SLC39A5,MAEL,DOK4,RCC2,NPNT,CFTR,RNF10,DLX1,PKP2,MYO3B,MKL1,CUX2,SIPA1L1,TRIM46,EMX2,PCSK9,BC027072,PROP1,BHLHE23,POU3F3,CCDC42,PIK3R6,CCBE1,AR,DMRTA2,HELT,CCDC36,FLRT2,INHBE,NEUROD4,DMRT2,CDK5R1,NEUROG1,EFNA5,ZFPM1,ARHGAP15,ZFP831,RTN4RL2,ISLR2,SOX6,ACTN2,MAPK11,BTN2A2,RXFP2,UMODL1,ACTN4,NELL1,NANOS3,TTC26,POU3F4,GSK3A,MUSK,MUP5,THRA,ABI1,CXCL12,SOX21,KALRN,ING2,SOX7,SOX11,NLGN1,KRT2,CHRNA10,LEFTY2,SYNGAP1,MEI1,INSM1,MACROD2,ETNK2,NANOS1,GM13304,ISM1,DIO3,TRIM71,PRDM12,CDK5R2,POU3F1,GCNT4,TNNC1,DYX1C1,POU3F2,LHX8,GM21093,KISS1,PCDHGC5
