query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0379	624	58	8	0.138	0.013	GO:0023014	BP	13	signal transduction by protein phosphorylation	1	HSF1,STRADB,FBXW7,INHA,ARRB2,DYNLT1A,DYNLT1F,DYNLT1B
2	1	TRUE	0.0356	610	58	8	0.138	0.013	GO:0000165	BP	13	MAPK cascade	2	HSF1,STRADB,FBXW7,INHA,ARRB2,DYNLT1A,DYNLT1F,DYNLT1B
3	1	TRUE	0.0212	1223	58	12	0.207	0.01	GO:0007049	BP	15	cell cycle	1	PRCC,GIPC1,HSF1,STRADB,FBXW7,PIM2,INHA,TFDP1,LSM11,DYNLT1A,DYNLT1F,DYNLT1B
4	1	TRUE	0.0212	872	58	10	0.172	0.011	GO:0022402	BP	15	cell cycle process	2	PRCC,GIPC1,HSF1,FBXW7,PIM2,TFDP1,LSM11,DYNLT1A,DYNLT1F,DYNLT1B
5	1	TRUE	0.0212	37	58	3	0.052	0.081	GO:0051653	BP	15	spindle localization	3	DYNLT1A,DYNLT1F,DYNLT1B
6	1	TRUE	0.0183	655	58	9	0.155	0.014	GO:0000278	BP	15	mitotic cell cycle	2	PRCC,HSF1,STRADB,PIM2,TFDP1,LSM11,DYNLT1A,DYNLT1F,DYNLT1B
7	1	TRUE	0.0446	508	58	7	0.121	0.014	GO:1903047	BP	15	mitotic cell cycle process	3	PRCC,PIM2,TFDP1,LSM11,DYNLT1A,DYNLT1F,DYNLT1B
8	1	TRUE	0.0183	32	58	3	0.052	0.094	GO:0051293	BP	15	establishment of spindle localization	1	DYNLT1A,DYNLT1F,DYNLT1B
9	1	TRUE	0.0132	25	58	3	0.052	0.12	GO:0040001	BP	15	establishment of mitotic spindle localization	2	DYNLT1A,DYNLT1F,DYNLT1B
10	1	TRUE	0.0132	25	58	3	0.052	0.12	GO:0051294	BP	15	establishment of spindle orientation	1	DYNLT1A,DYNLT1F,DYNLT1B
11	1	TRUE	0.0132	23	58	3	0.052	0.13	GO:0000132	BP	15	establishment of mitotic spindle orientation	2	DYNLT1A,DYNLT1F,DYNLT1B
12	1	TRUE	0.0446	4628	58	25	0.431	0.005	GO:0048518	BP	5	positive regulation of biological process	1	CLEC11A,PFN1,GIPC1,HSF1,SHISA5,STRADB,FBXW7,YBX1,PIM2,OLFM2,PPIB,INHA,CDO1,TFDP1,LSM11,LRTM1,FAM83H,ORAI1,TAF9,ARRB2,CCDC62,FOXS1,DYNLT1A,DYNLT1F,DYNLT1B
13	1	TRUE	0.0212	39	58	3	0.052	0.077	GO:0040018	BP	21	positive regulation of multicellular organism growth	1	HSF1,PPIB,FOXS1
14	1	TRUE	0.0446	237	58	5	0.086	0.021	GO:0070372	BP	12	regulation of ERK1 and ERK2 cascade	1	FBXW7,ARRB2,DYNLT1A,DYNLT1F,DYNLT1B
15	1	TRUE	0.0446	58	58	3	0.052	0.052	GO:0070373	BP	12	negative regulation of ERK1 and ERK2 cascade	2	DYNLT1A,DYNLT1F,DYNLT1B
16	1	TRUE	0.0183	87	58	4	0.069	0.046	GO:0008277	BP	7	regulation of G-protein coupled receptor protein signaling pathway	1	ARRB2,DYNLT1A,DYNLT1F,DYNLT1B
17	1	TRUE	0.0132	221	58	6	0.103	0.027	GO:0031647	BP	20	regulation of protein stability	1	PFN1,GIPC1,FBXW7,PIM2,PPIB,TAF9
18	1	TRUE	0.0132	136	58	5	0.086	0.037	GO:0050821	BP	20	protein stabilization	2	PFN1,FBXW7,PIM2,PPIB,TAF9
19	1	TRUE	0.0356	49	58	3	0.052	0.061	GO:0005881	CC	11	cytoplasmic microtubule	1	DYNLT1A,DYNLT1F,DYNLT1B
