query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.019	2	279	2	0.007	1	GO:0070494	BP	17	regulation of thrombin-activated receptor signaling pathway	1	SNCA,STMN1
2	1	TRUE	0.019	2	279	2	0.007	1	GO:0070495	BP	17	negative regulation of thrombin-activated receptor signaling pathway	1	SNCA,STMN1
3	1	TRUE	0.019	2	279	2	0.007	1	GO:0071931	BP	121	positive regulation of transcription involved in G1/S transition of mitotic cell cycle	1	ESRRB,ZPR1
4	1	TRUE	0.0121	2242	279	53	0.19	0.024	GO:0044085	BP	26	cellular component biogenesis	1	MSH4,SNF8,ACOT13,IFT43,CTSD,TAF7L,APIP,NDEL1,PNPT1,ITGB3,WDR37,CHGA,PCBD2,KIF2A,VDAC2,PSMC6,ATG3,DNM1L,MSRB2,CELF4,ARL3,SNCA,SUMO1,NDUFA8,NDUFB5,EXOSC9,HAX1,EPHA7,PSIP1,IFT74,NDUFS5,STMN1,CENPA,GABARAPL1,LSM6,NCK1,CCT2,SNX2,SHQ1,KCNC2,AIFM1,RBMXL1,STUB1,KANK3,COX17,TAF7,ZFP622,DNAH3,FEZ2,RPL38,ACTG1,UQCC3,TMSB15B2
5	1	TRUE	0.0145	930	279	28	0.1	0.03	GO:0070271	BP	26	protein complex biogenesis	2	ACOT13,APIP,NDEL1,PNPT1,PCBD2,VDAC2,PSMC6,DNM1L,MSRB2,SNCA,SUMO1,NDUFA8,NDUFB5,HAX1,NDUFS5,STMN1,CENPA,NCK1,CCT2,SNX2,KCNC2,AIFM1,RBMXL1,STUB1,COX17,DNAH3,UQCC3,TMSB15B2
6	1	TRUE	0.0253	1383	279	36	0.129	0.026	GO:0043933	BP	26	macromolecular complex subunit organization	1	ACOT13,TAF7L,APIP,NDEL1,PNPT1,PCBD2,VDAC2,PSMC6,DNM1L,MSRB2,CELF4,SNCA,SUMO1,NDUFA8,NDUFB5,HAX1,PSIP1,NDUFS5,STMN1,CENPA,SNX14,NCK1,CCT2,SNX2,SHQ1,KCNC2,AIFM1,RBMXL1,STUB1,COX17,TAF7,DNAH3,RPL38,RPL23,UQCC3,TMSB15B2
7	1	TRUE	0.0401	1058	279	29	0.104	0.027	GO:0071822	BP	26	protein complex subunit organization	2	ACOT13,APIP,NDEL1,PNPT1,PCBD2,VDAC2,PSMC6,DNM1L,MSRB2,SNCA,SUMO1,NDUFA8,NDUFB5,HAX1,NDUFS5,STMN1,CENPA,SNX14,NCK1,CCT2,SNX2,KCNC2,AIFM1,RBMXL1,STUB1,COX17,DNAH3,UQCC3,TMSB15B2
8	1	TRUE	0.00996	1202	279	34	0.122	0.028	GO:0065003	BP	26	macromolecular complex assembly	1	ACOT13,TAF7L,APIP,NDEL1,PNPT1,PCBD2,VDAC2,PSMC6,DNM1L,MSRB2,CELF4,SNCA,SUMO1,NDUFA8,NDUFB5,HAX1,PSIP1,NDUFS5,STMN1,CENPA,NCK1,CCT2,SNX2,SHQ1,KCNC2,AIFM1,RBMXL1,STUB1,COX17,TAF7,DNAH3,RPL38,UQCC3,TMSB15B2
9	1	TRUE	0.00357	759	279	26	0.093	0.034	GO:0034622	BP	26	cellular macromolecular complex assembly	2	TAF7L,NDEL1,VDAC2,PSMC6,DNM1L,MSRB2,CELF4,SNCA,NDUFA8,NDUFB5,HAX1,PSIP1,NDUFS5,STMN1,CENPA,NCK1,CCT2,SHQ1,AIFM1,STUB1,COX17,TAF7,DNAH3,RPL38,UQCC3,TMSB15B2
10	1	TRUE	0.0143	928	279	28	0.1	0.03	GO:0006461	BP	26	protein complex assembly	2	ACOT13,APIP,NDEL1,PNPT1,PCBD2,VDAC2,PSMC6,DNM1L,MSRB2,SNCA,SUMO1,NDUFA8,NDUFB5,HAX1,NDUFS5,STMN1,CENPA,NCK1,CCT2,SNX2,KCNC2,AIFM1,RBMXL1,STUB1,COX17,DNAH3,UQCC3,TMSB15B2
