name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
HP:0003128	Lactic acidosis	168	6	8.36	6.4	3.8e-05	0.0067	13.7	3.96	43.7
HP:0001941	Acidosis	277	7	5.91	5.58	6.6e-05	0.0067	10.4	3.2	33.2
HP:0004360	Abnormality of acid-base homeostasis	296	7	5.53	5.34	1e-04	0.0068	9.69	2.97	30.9
HP:0002151	Increased serum lactate	131	5	8.93	6.06	0.00015	0.0076	13.3	3.52	43.6
HP:0003287	Abnormality of mitochondrial metabolism	99	4	9.45	5.59	0.00064	0.022	13	2.96	44.8
HP:0001298	Encephalopathy	178	5	6.57	5	0.00063	0.022	9.59	2.54	31.2
HP:0000712	Emotional lability	111	4	8.43	5.21	0.00099	0.024	11.5	2.63	39.6
HP:0003546	Exercise intolerance	112	4	8.36	5.18	0.001	0.024	11.4	2.6	39.2
HP:0012103	Abnormality of the mitochondrion	113	4	8.28	5.15	0.0011	0.024	11.3	2.58	38.8
HP:0003200	Ragged-red muscle fibers	54	3	13	5.82	0.0014	0.028	16.8	2.96	65
HP:0003110	Abnormality of urine homeostasis	458	7	3.58	3.87	0.0015	0.029	5.9	1.81	18.7
HP:0003487	Babinski sign	239	5	4.9	4.09	0.0024	0.041	6.96	1.85	22.6
HP:0001260	Dysarthria	373	6	3.76	3.7	0.003	0.047	5.68	1.65	18
HP:0003355	Aminoaciduria	159	4	5.89	4.13	0.0037	0.049	7.83	1.8	26.8
HP:0001399	Hepatic failure	170	4	5.51	3.94	0.0048	0.049	7.28	1.67	24.9
HP:0001272	Cerebellar atrophy	258	5	4.53	3.86	0.0034	0.049	6.4	1.7	20.7
HP:0001639	Hypertrophic cardiomyopathy	279	5	4.19	3.64	0.0047	0.049	5.87	1.56	19
HP:0001638	Cardiomyopathy	394	6	3.56	3.54	0.004	0.049	5.33	1.55	16.9
HP:0001903	Anemia	402	6	3.49	3.48	0.0044	0.049	5.21	1.52	16.5
HP:0001251	Ataxia	546	7	3	3.33	0.0044	0.049	4.8	1.47	15.2
HP:0001637	Abnormality of the myocardium	418	6	3.36	3.37	0.0054	0.05	4.98	1.45	15.8
HP:0011277	Abnormality of the urinary system physiology	729	8	2.57	3.12	0.0053	0.05	4.39	1.39	14.3
