name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
R-HSA-1430728	Metabolism	1899	35	2.53	6.34	1.7e-08	3e-06	3.99	2.44	6.51
R-HSA-15869	Metabolism of nucleotides	101	7	9.51	7.36	8.1e-06	0.00072	11.1	4.19	25.1
R-HSA-8956321	Nucleotide salvage	23	3	17.9	6.95	0.00059	0.024	21.2	3.95	73.9
R-HSA-350562	Regulation of ornithine decarboxylase (ODC)	51	4	10.8	5.99	5e-04	0.024	12.2	3.1	34.7
R-HSA-499943	Interconversion of nucleotide di- and triphosphates	31	3	13.3	5.87	0.0014	0.024	15.2	2.88	50.9
R-HSA-8939902	Regulation of RUNX2 expression and activity	59	4	9.3	5.48	0.00087	0.024	10.4	2.67	29.4
R-HSA-174084	Autodegradation of Cdh1 by Cdh1:APC/C	63	4	8.71	5.26	0.0011	0.024	9.7	2.49	27.3
R-HSA-174154	APC/C:Cdc20 mediated degradation of Securin	67	4	8.19	5.06	0.0014	0.024	9.08	2.34	25.5
R-HSA-174178	APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1	72	4	7.62	4.83	0.0018	0.024	8.41	2.17	23.5
R-HSA-174184	Cdc20:Phospho-APC/C mediated degradation of Cyclin A	72	4	7.62	4.83	0.0018	0.024	8.41	2.17	23.5
R-HSA-179419	APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint	73	4	7.52	4.79	0.0019	0.024	8.29	2.14	23.1
R-HSA-176409	APC/C:Cdc20 mediated degradation of mitotic proteins	75	4	7.32	4.7	0.0021	0.024	8.05	2.08	22.5
R-HSA-176814	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	76	4	7.22	4.66	0.0022	0.024	7.94	2.05	22.1
R-HSA-163200	Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.	118	5	5.81	4.51	0.0017	0.024	6.39	1.97	16.1
R-HSA-176408	Regulation of APC/C activators between G1/S and early anaphase	80	4	6.86	4.51	0.0027	0.024	7.52	1.94	20.9
R-HSA-8878166	Transcriptional regulation by RUNX2	80	4	6.86	4.51	0.0027	0.024	7.52	1.94	20.9
R-HSA-8978868	Fatty acid metabolism	168	6	4.9	4.37	0.0014	0.024	5.4	1.89	12.6
R-HSA-6791226	Major pathway of rRNA processing in the nucleolus and cytosol	182	6	4.52	4.11	0.0021	0.024	4.97	1.74	11.6
R-HSA-8868773	rRNA processing in the nucleus and cytosol	191	6	4.31	3.96	0.0026	0.024	4.72	1.65	11
R-HSA-5663205	Infectious disease	326	8	3.37	3.72	0.0025	0.024	3.72	1.53	7.87
R-HSA-351202	Metabolism of polyamines	84	4	6.53	4.36	0.0032	0.025	7.14	1.85	19.8
R-HSA-174143	APC/C-mediated degradation of cell cycle proteins	86	4	6.38	4.29	0.0035	0.025	6.96	1.8	19.3
R-HSA-450531	Regulation of mRNA stability by proteins that bind AU-rich elements	86	4	6.38	4.29	0.0035	0.025	6.96	1.8	19.3
R-HSA-453276	Regulation of mitotic cell cycle	86	4	6.38	4.29	0.0035	0.025	6.96	1.8	19.3
R-HSA-72312	rRNA processing	201	6	4.09	3.8	0.0034	0.025	4.47	1.57	10.4
R-HSA-1236978	Cross-presentation of soluble exogenous antigens (endosomes)	50	3	8.23	4.39	0.0057	0.026	9.01	1.75	29.1
