name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
MP:0002627	increased teratoma incidence	19	3	27.1	8.72	0.00017	0.029	33.8	6.12	123
MP:0010296	increased hemolymphoid system tumor incidence	294	8	4.68	4.9	0.00027	0.029	5.43	2.19	11.8
MP:0002209	decreased germ cell number	466	10	3.69	4.55	3e-04	0.029	4.37	1.95	8.88
MP:0006361	abnormal female germ cell morphology	115	5	7.47	5.34	0.00052	0.03	8.45	2.58	21.7
MP:0012431	increased lymphoma incidence	245	7	4.91	4.74	5e-04	0.03	5.62	2.12	12.7
MP:0008392	decreased primordial germ cell number	35	3	14.7	6.23	0.0011	0.031	16.9	3.2	56.7
MP:0005431	decreased oocyte number	78	4	8.81	5.3	0.0011	0.031	9.88	2.53	28
MP:0020152	abnormal oocyte number	78	4	8.81	5.3	0.0011	0.031	9.88	2.53	28
MP:0002208	abnormal germ cell morphology	622	11	3.04	4.03	0.00076	0.031	3.61	1.67	7.15
MP:0001929	abnormal gametogenesis	748	12	2.76	3.83	0.001	0.031	3.29	1.57	6.41
MP:0008391	abnormal primordial germ cell morphology	38	3	13.6	5.94	0.0014	0.032	15.4	2.94	51.4
MP:0002032	increased sarcoma incidence	139	5	6.18	4.71	0.0012	0.032	6.92	2.12	17.7
MP:0004810	decreased hematopoietic stem cell number	90	4	7.64	4.84	0.0018	0.034	8.49	2.18	23.9
MP:0001931	abnormal oogenesis	148	5	5.81	4.51	0.0016	0.034	6.48	1.98	16.5
MP:0001124	abnormal gametes	482	9	3.21	3.81	0.0017	0.034	3.7	1.58	7.72
MP:0004808	abnormal hematopoietic stem cell morphology	160	5	5.37	4.27	0.0023	0.041	5.97	1.83	15.2
MP:0002024	increased T cell derived lymphoma incidence	102	4	6.74	4.46	0.0029	0.047	7.45	1.92	20.9
MP:0010365	increased thymus tumor incidence	103	4	6.67	4.43	0.003	0.047	7.37	1.9	20.7
