query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.0323	1234	1028	94	0.091	0.076	GO:0042127	BP	328	regulation of cell proliferation	1	FER,AXIN2,BTN1A1,TCF7,STAT6,PLAG1,BID,CLEC11A,NDRG2,CCL24,HMOX1,FBLN1,CHRD,TNFRSF13B,GATA2,SULF1,ERBB3,ESR1,FRK,NR2E1,KITL,ASCL1,TNS3,ERN1,NTN1,STAT5B,SAV1,ZFP36L1,TERT,FBXO4,MTBP,EMP2,BCL6,APOD,CD86,NR4A1,NFYA,XDH,CD74,SAT1,EYA1,ING5,PDGFC,ECM1,TRP53INP1,TNFRSF1B,PODN,FGR,PDGFRA,REST,GPNMB,TGFA,CD27,LTBR,NUPR1,FGF21,GAS6,MMP2,ADGRG1,PTH1R,MYD88,EPHB1,PTPRM,ASPM,PAWR,FGF1,MYCN,SPRY1,FGF2,OVOL2,TNFRSF23,TLR4,TGFB2,LYN,ISL1,FOXO4,4930503L19RIK,BRICD5,KCTD11,DMRTA2,PTGS1,SFN,F2R,IGF2,VSTM2A,PTGES,CEBPB,PTPRZ1,IL11RA1,GREM1,NRARP,ESRP2,HSPA1A,FLT3L
2	1	TRUE	0.0416	530	1028	47	0.046	0.089	GO:0001944	BP	217	vasculature development	1	CCL24,KLF5,GATA2,RXRA,SULF1,PTGIS,NR2E1,DCN,MAP3K3,ZFP36L1,EMP2,NR4A1,XDH,FOSL1,ADAM8,SMAD7,EYA1,SEMA4A,ECM1,RECK,PLPP3,PDGFRA,ANXA3,TGFA,ANGPT2,COL4A1,MMP2,ADGRG1,EPHB1,PTPRM,RAMP1,PRICKLE1,FGF1,FZD8,FGF2,OVOL2,TGFB2,AMOT,ISL1,FOXO4,OTULIN,RHOJ,FZD4,IMMP2L,ROM1,GREM1,NRARP
3	1	TRUE	0.0487	13	1028	5	0.005	0.385	GO:0009404	BP	305	toxin metabolic process	1	GSTO2,GSTA3,CYP1A2,FMO2,GM45234
4	1	TRUE	0.0193	1478	1028	112	0.109	0.076	GO:0008219	BP	70	cell death	1	AXIN2,TCF7,PLAG1,BID,HMOX1,TRAP1,EYA4,MERTK,EEF1A2,PTGIS,ERBB3,ESR1,NR2E1,TRAF3IP2,DUSP6,KITL,TIMP3,ASCL1,AIFM2,RNF130,KREMEN1,PIK3CG,MAP3K3,ERN1,STAT5B,SAV1,ZFP36L1,RIPK1,TERT,ACOX2,PRKCD,EMP2,BCL6,NR4A1,GZMA,XDH,NME4,SPDEF,CD74,CASP7,ADAM8,PIDD1,EYA1,PPM1F,ING5,ZC3H8,TRP53INP1,TNFRSF1B,REST,GPNMB,RET,EMP1,CD27,LTBR,DMPK,CTSC,NUPR1,BAG3,STK26,GAS6,TLR3,TRADD,CRYAB,USP28,MYD88,EPHB1,TLDC1,PLCG2,SNCB,DAPK3,FOXA1,MUC20,MELK,PAWR,AGR3,ARHGAP10,MYCN,FGF2,TNFRSF23,TGM2,TIGAR,RNF144B,TLR4,TGFB2,MEIS3,DLX1,LYN,ISL1,IKBKE,ACKR3,CFAP43,SERPINB9,SFN,F2R,DCUN1D3,TMEM123,INSL6,PLAGL2,ALDH1A1,GZMM,PARP4,FAM72A,CEBPB,ZFP13,ING2,FNDC1,PLEKHF1,GREM1,BCL2A1B,HSPA1B,GM45234,FLT3L
5	1	TRUE	0.0375	1261	1028	95	0.092	0.075	GO:0010941	BP	70	regulation of cell death	2	AXIN2,TCF7,BID,HMOX1,TRAP1,EYA4,MERTK,EEF1A2,PTGIS,ERBB3,ESR1,NR2E1,DUSP6,KITL,TIMP3,ASCL1,AIFM2,PIK3CG,MAP3K3,STAT5B,SAV1,ZFP36L1,RIPK1,TERT,ACOX2,PRKCD,BCL6,NR4A1,GZMA,XDH,NME4,SPDEF,CD74,ADAM8,PIDD1,EYA1,PPM1F,ING5,ZC3H8,TRP53INP1,TNFRSF1B,REST,GPNMB,RET,CD27,LTBR,CTSC,NUPR1,BAG3,STK26,GAS6,TRADD,CRYAB,EPHB1,TLDC1,PLCG2,SNCB,DAPK3,FOXA1,MUC20,MELK,PAWR,AGR3,ARHGAP10,MYCN,FGF2,TNFRSF23,TGM2,TIGAR,RNF144B,TLR4,TGFB2,MEIS3,DLX1,LYN,ISL1,ACKR3,CFAP43,SERPINB9,SFN,F2R,DCUN1D3,INSL6,PLAGL2,ALDH1A1,FAM72A,CEBPB,ZFP13,ING2,FNDC1,PLEKHF1,GREM1,BCL2A1B,HSPA1B,FLT3L
6	1	TRUE	0.0116	467	1028	49	0.048	0.105	GO:0010942	BP	70	positive regulation of cell death	1	AXIN2,BID,HMOX1,EEF1A2,PTGIS,DUSP6,TIMP3,ASCL1,AIFM2,SAV1,RIPK1,ACOX2,PRKCD,BCL6,NR4A1,GZMA,XDH,SPDEF,ADAM8,PIDD1,PPM1F,ING5,ZC3H8,TRP53INP1,REST,RET,LTBR,CTSC,NUPR1,DAPK3,FOXA1,MUC20,MELK,PAWR,MYCN,TGM2,TIGAR,TLR4,TGFB2,LYN,F2R,DCUN1D3,PLAGL2,ALDH1A1,FAM72A,ZFP13,FNDC1,PLEKHF1,BCL2A1B
7	1	TRUE	0.0172	446	1028	45	0.044	0.101	GO:0043068	BP	70	positive regulation of programmed cell death	2	BID,HMOX1,EEF1A2,PTGIS,DUSP6,TIMP3,ASCL1,AIFM2,SAV1,RIPK1,PRKCD,BCL6,NR4A1,GZMA,XDH,SPDEF,ADAM8,PIDD1,PPM1F,ING5,ZC3H8,TRP53INP1,REST,RET,LTBR,CTSC,NUPR1,DAPK3,FOXA1,MUC20,MELK,PAWR,TGM2,TIGAR,TGFB2,LYN,F2R,DCUN1D3,PLAGL2,ALDH1A1,FAM72A,ZFP13,FNDC1,PLEKHF1,BCL2A1B
8	1	TRUE	0.0172	441	1028	45	0.044	0.102	GO:0043065	BP	70	positive regulation of apoptotic process	1	BID,HMOX1,EEF1A2,PTGIS,DUSP6,TIMP3,ASCL1,AIFM2,SAV1,RIPK1,PRKCD,BCL6,NR4A1,GZMA,XDH,SPDEF,ADAM8,PIDD1,PPM1F,ING5,ZC3H8,TRP53INP1,REST,RET,LTBR,CTSC,NUPR1,DAPK3,FOXA1,MUC20,MELK,PAWR,TGM2,TIGAR,TGFB2,LYN,F2R,DCUN1D3,PLAGL2,ALDH1A1,FAM72A,ZFP13,FNDC1,PLEKHF1,BCL2A1B
9	1	TRUE	0.0345	31	1028	8	0.008	0.258	GO:0060479	BP	37	lung cell differentiation	1	ASCL1,SAV1,GRHL2,FOXP4,SPDEF,EYA1,FOXA1,KLF2
10	1	TRUE	0.0323	30	1028	8	0.008	0.267	GO:0060487	BP	37	lung epithelial cell differentiation	1	ASCL1,SAV1,GRHL2,FOXP4,SPDEF,EYA1,FOXA1,KLF2
11	1	TRUE	0.0272	71	1028	13	0.013	0.183	GO:0071774	BP	280	response to fibroblast growth factor	1	SULF1,DUSP6,ZFP36L1,NR4A1,FRS3,FGF21,GPC1,FGF1,SPRY1,FGF2,SHISA2,FAT4,FLRT3
12	1	TRUE	0.023	69	1028	13	0.013	0.188	GO:0044344	BP	280	cellular response to fibroblast growth factor stimulus	2	SULF1,DUSP6,ZFP36L1,NR4A1,FRS3,FGF21,GPC1,FGF1,SPRY1,FGF2,SHISA2,FAT4,FLRT3
13	1	TRUE	0.0396	58	1028	11	0.011	0.19	GO:0008543	BP	280	fibroblast growth factor receptor signaling pathway	3	SULF1,DUSP6,FRS3,FGF21,GPC1,FGF1,SPRY1,FGF2,SHISA2,FAT4,FLRT3
14	1	TRUE	0.0409	919	1028	73	0.071	0.079	GO:0051241	BP	171	negative regulation of multicellular organismal process	1	AXIN2,BTN1A1,NR1H3,NDRG2,FBLN1,CHRD,ATP1A2,MERTK,GATA2,SULF1,NR2E1,DCN,ASCL1,KREMEN1,NTN1,STAT5B,SAV1,ZFP36L1,TGFB3,PRKCD,GRHL2,BCL6,APOD,FOXP4,XDH,CD74,SMAD7,ZC3H8,SEMA4A,ECM1,PDGFRA,REST,TMEM176B,GPNMB,TBX6,GAS6,ANGPT2,WWC2,ADGRG1,EPHB1,TRAIP,PTPRM,ASPM,WNK4,FOXA1,PAWR,DOCK4,PRICKLE1,FSTL4,MYCN,FGF2,OVOL2,TNFRSF23,MYLIP,TLR4,CHAD,TGFB2,AMOT,DLX1,LYN,ISL1,FOXO4,TRPV3,BST2,KCTD11,F2R,ADAMTS18,HIST1H4F,RGMA,MAFB,GREM1,NRARP,TRPC2
15	1	TRUE	0.0409	368	1028	36	0.035	0.098	GO:0043410	BP	195	positive regulation of MAPK cascade	1	CCL24,CCL8,TRPV4,KITL,PIK3CG,MAP3K3,ERN1,RIPK1,TREM2,XDH,LMNB1,CD74,ADAM8,PDGFC,PDGFRA,GPNMB,TGFA,CD27,LTBR,FGF21,MAP3K15,GAS6,TLR3,MYD88,MUC20,FGF1,LPAR3,FZD8,PRKCDBP,FGF2,TLR4,TGFB2,ACKR3,F2R,IGF2,FZD4
16	1	TRUE	0.0409	25	1028	7	0.007	0.28	GO:0009112	BP	4	nucleobase metabolic process	1	ALDH6A1,DPYS,XDH,UOX,AOX4,MTHFD1L,AOX3
17	1	TRUE	0.0147	7	1028	5	0.005	0.714	GO:0046113	BP	4	nucleobase catabolic process	1	ALDH6A1,DPYS,XDH,AOX4,AOX3
18	1	TRUE	0.0487	2126	1028	145	0.141	0.068	GO:0009966	BP	137	regulation of signal transduction	1	FER,AXIN2,ITGA3,NR1H3,GSTM7,BID,NDRG2,CCL24,DGKQ,HMOX1,TRAP1,FBLN1,CHRD,CCL8,EYA4,TRPV4,GLIS2,GATA2,CNKSR3,SULF1,PTGIS,ERBB3,ESR1,DCN,DUSP6,KITL,TIMP3,ASCL1,KREMEN1,ATP6V1C2,PIK3CG,MAP3K3,ERN1,RIPK1,TERT,PRKCD,EMP2,BCL6,APOD,TREM2,CBS,XDH,CCNY,LMNB1,CD74,ADAM8,EPS8L2,PIDD1,SMAD7,EYA1,ING5,OPTN,PDGFC,PEAR1,ECM1,WLS,TRP53INP1,PLPP3,PODN,FGR,PDGFRA,GPNMB,TGFA,RET,RASGEF1A,CD27,LTBR,AKAP3,DMPK,CTSC,FGF21,MAP3K15,BGN,GAS6,DUSP4,WWC2,RBPMS,TLR3,ADGRG1,MYD88,EPHB1,TRAIP,CARD10,ASPM,GPC1,RAMP1,DAPK3,FOXA1,MUC20,PAWR,PRICKLE1,FSTL4,HIF1AN,WTIP,FGF1,LPAR3,FZD8,PRKCDBP,SPRY1,FGF2,OVOL2,TNFRSF23,DGKI,TLR4,CHAD,TGFB2,MMD2,DUSP26,PLEKHG5,NBL1,MEIS3,RRAGB,AMOT,DLX1,LYN,ISL1,CTF1,IKBKE,TMEM108,LRRTM3,ACKR3,SHISA2,KLK14,CFAP43,OTULIN,CXXC5,KCTD11,DLK2,F2R,IGF2,FZD4,FLRT3,PLAGL2,FAM72A,ARHGAP24,LMCD1,ZFP13,ING2,IRGM2,RGMA,APCDD1,PLEKHF1,GREM1,NRARP,FOXL1
