query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	1	TRUE	0.016	467	955	41	0.043	0.088	GO:0070848	BP	76	response to growth factor	1	MAPK7,MEF2C,SULF2,HAP1,FGFRL1,HYAL2,PLCG1,GIPC1,PTPRK,GRB10,MYOCD,BMPR1A,TAB1,COL2A1,PTK2,TWF2,FBN2,VEGFB,CD63,PDE8A,NOTCH1,FBN1,SRC,PXN,DLX5,ZYX,SFRP1,BCAR1,ADAMTS7,TGFBR2,FERMT2,CITED2,SETX,ZFP423,CCBE1,FLRT2,RGMB,MYOF,BCL9L,DUSP22,ZFP703
2	1	TRUE	0.0102	147	955	19	0.02	0.129	GO:0071559	BP	76	response to transforming growth factor beta	2	MAPK7,MEF2C,HYAL2,GIPC1,PTPRK,MYOCD,TAB1,PTK2,FBN2,FBN1,SRC,PXN,ZYX,TGFBR2,FERMT2,CITED2,BCL9L,DUSP22,ZFP703
3	1	TRUE	0.0121	458	955	41	0.043	0.09	GO:0071363	BP	76	cellular response to growth factor stimulus	1	MAPK7,MEF2C,SULF2,HAP1,FGFRL1,HYAL2,PLCG1,GIPC1,PTPRK,GRB10,MYOCD,BMPR1A,TAB1,COL2A1,PTK2,TWF2,FBN2,VEGFB,CD63,PDE8A,NOTCH1,FBN1,SRC,PXN,DLX5,ZYX,SFRP1,BCAR1,ADAMTS7,TGFBR2,FERMT2,CITED2,SETX,ZFP423,CCBE1,FLRT2,RGMB,MYOF,BCL9L,DUSP22,ZFP703
4	1	TRUE	0.00958	146	955	19	0.02	0.13	GO:0071560	BP	76	cellular response to transforming growth factor beta stimulus	1	MAPK7,MEF2C,HYAL2,GIPC1,PTPRK,MYOCD,TAB1,PTK2,FBN2,FBN1,SRC,PXN,ZYX,TGFBR2,FERMT2,CITED2,BCL9L,DUSP22,ZFP703
5	1	TRUE	0.029	127	955	16	0.017	0.126	GO:0007179	BP	76	transforming growth factor beta receptor signaling pathway	2	GIPC1,PTPRK,MYOCD,TAB1,PTK2,FBN2,FBN1,SRC,PXN,ZYX,TGFBR2,FERMT2,CITED2,BCL9L,DUSP22,ZFP703
6	1	TRUE	0.00484	12596	955	666	0.697	0.053	GO:0009987	BP	28	cellular process	1	GNAI3,TFE3,SCPEP1,GRASP,KCNN3,MMP14,S100A4,MAPK7,NHP2,KCTD10,LGALS9,UHRF1,EFNB2,ACP5,NAGLU,PWP1,PNCK,MOV10,ARMC6,MRPL2,TPRA1,PRKAR2B,EIF2B5,SULT2B1,DLL3,DDR1,CRTC1,INSIG2,KIF20A,EFNB3,MMD,PCP2,ARID3B,CNN2,CRABP2,PEX5,EIF2AK4,WISP1,NDRG1,WDR83,SPC25,MSH6,ASF1B,MEF2C,PCYT1A,RFX5,CDC20,SRM,MVD,SULF2,HAP1,MARK3,ID3,FGFRL1,CLSTN3,TLE1,RELT,CARHSP1,UBE2G2,HYAL2,NPRL2,TSACC,ODC1,CAD,SH3BP5L,PEA15A,ZSWIM7,RBSN,MAP2,ABCA1,ENDOG,SRF,CERS2,PLEKHO1,CELSR1,LNX2,EIF3D,SCUBE1,PLCG1,BRCA1,ATAD5,MMP9,GDAP1L1,RAC3,STARD3,GPX3,MRM1,RPAIN,2810408A11RIK,PEX12,CD68,RAD51D,IRF1,PELP1,SLC35B4,CACNG2,GIPC1,PLSCR3,RAB4A,FBXO5,MICAL1,TNFAIP3,PTPRK,LIN7A,UBE2D1,CDK1,POC1B,CRY1,DDX50,YEATS4,GRB10,FZR1,ZFP354B,IGFBP3,GABRG2,PATZ1,POLD2,ZKSCAN17,GALNT10,MYO19,MYOCD,FKBP1B,ID2,SH3YL1,RASL10B,ASIC2,UNK,TSEN54,SNX11,AURKB,CCDC103,POLR2H,TOMM20L,VRK1,EIF2S1,GM20498,WDR37,RPS6KA5,CCNK,EIF5,MTR,ELOVL2,DEK,RIOK1,SFXN1,F2RL1,PLK2,CENPK,PLPP1,BMPR1A,PBK,HR,CPNE6,AMACR,MYO10,SYBU,ASAP1,TRMU,SLC25A17,TAB1,SH3BP1,TTLL1,NELL2,HDAC7,COL2A1,LITAF,PLEC,GSDMD,PTK2,TAGLN3,MCM4,HIRA,NIT2,THPO,CXADR,RFC4,CHAF1B,RCAN1,MIS18A,FMNL3,CSAD,PARP3,CD4,TWF2,ACHE,TMEM176A,AARS2,BYSL,FGD2,BNIP1,FKBP5,DSC2,GRP,IMPA2,SRFBP1,CEP192,IL17B,FBN2,RBM22,TCOF1,CSF1R,INCENP,FAM111A,LPXN,CDCA5,MRPL11,VEGFB,LGALS12,SHOC2,NOC3L,GFRA1,FASN,HOGA1,POLL,CD63,GDF11,DGKA,CDK2,IFITM1,IFITM3,RBFOX3,PDE8A,PODXL,PRKAR1B,IDH1,LANCL1,CASP8,ASNSD1,OSGEPL1,IGFBP5,PDCD1,CSRP1,RASSF5,FAM129A,TFB2M,NSUN6,ORC4,SLC2A8,FAM129B,KCNJ3,NTMT1,NOTCH1,NMI,NCKAP1,CERS6,ITGAV,FBN1,CHST1,ADAL,RTF1,NUSAP1,SPINT1,RAD51,KNSTRN,SLC20A1,LPIN3,AURKA,NFATC2,E2F5,MRGBP,SRC,ECT2,CCNA2,IL21,EXOSC8,TSPAN2,GPSM2,CHRNB2,EFNA4,ADAM15,CKS1B,HCN3,GPATCH4,DCLK2,PEX11B,CTSK,THEM4,COL24A1,TMEM55A,ATP6V0D2,BRINP1,ACO1,UNC13B,DAB1,DNAJC6,CDKN2C,CTPS,EDN2,MFSD2A,ALPL,MAP7D1,CDCA8,ACOT7,SMARCD3,ERRFI1,CTNNBIP1,DFFB,FOSL2,DPYSL5,SLC35F6,TMEM165,SULT1B1,GLMN,KLHL8,CCNG2,RILPL1,KNTC1,P2RX7,P2RX2,PXN,SRSF9,FSCN1,RITA1,WASF3,LIMK1,WASL,ACTL6B,GNB2,ASNS,DLX5,ADCYAP1R1,DFNA5,ZYX,REG3G,CHL1,XPC,ADIPOR2,TNFRSF1A,PRMT8,MARK4,DMWD,POP4,ZDHHC13,TYROBP,ANAPC15,KIF22,SEZ6L2,ITGAL,PLK1,DHX32,STIM1,MKI67,WEE1,DOCK11,SASH3,ELF4,RAB33A,RBMX2,FGF13,CCDC22,ZMYM3,AP1S2,AGPAT5,SFRP1,SAP30,N4BP1,ADCY7,GAB1,TPM4,MPHOSPH6,PLA2G15,SMPD3,ANKRD49,BCAR1,CCSAP,RPUSD4,RDX,PUS3,FEZ1,SLC37A2,CARM1,ICE2,KIF23,CYP19A1,ADAMTS7,PLSCR1,PARP16,TGFBR2,PIK3CB,MRAS,CDC25A,BFSP2,APEH,INPPL1,ACSL3,ATG12,PEBP1,NPAT,DIS3,TTC28,CTDP1,STRC,REEP4,MAP3K13,ZFP7,GABRB3,FUK,EMX1,ENGASE,ZDHHC15,GUCY1A3,PPP3R1,RFC3,ATM,KIF4,TRIM59,GJC1,TIPARP,TMEM109,NEUROD1,TLE2,LRR1,NCAPH,PARM1,VAT1,ZC4H2,OMA1,MTMR9,LZTS2,CBARP,DOK3,USP35,DAGLA,PKNOX2,PARP2,SLAIN2,LMO1,HSPB6,ARHGAP33,ARHGEF26,ZFP157,NFKBID,ASAP3,PRF1,LDLRAP1,LSM1,JADE3,TBC1D2B,NENF,VASH2,CDKN3,CDKN1C,FERMT2,MYNN,TSPAN14,BICD2,NEUROD6,IGSF9,NOD1,KDM1B,CDON,RBM24,CDK19,MED30,POLD1,PAK1IP1,BLOC1S5,METRNL,SUV39H1,IGFBP2,METTL22,DCXR,PREX1,ALKBH4,NCOA5,NHSL1,TMEM120A,CITED2,STK32A,TBC1D16,NEGR1,GORAB,GPR176,HS2ST1,SPNS2,PIF1,FZD7,RIPK2,OTUD3,CLVS1,VPS41,LAMP3,THOC6,WRAP53,RGL2,CCNB1,CAMSAP2,PRELP,CDC42EP4,MBP,FCHO2,CORO2B,ENC1,GCK,SPIDR,BEND6,FBXO38,BAG2,SGSM1,ADRBK2,GNL3,TSEN2,MFAP4,ZMYM4,DCTPP1,CLSPN,NPL,TRIM46,SBK1,GNG2,HFM1,OTUD1,PGP,ZFP536,SETX,2900011O08RIK,CNR1,HS3ST5,DACT1,ZFP354C,SHB,AMER3,CENPH,ZFP423,ZFP629,PQLC3,MRPS12,ZFP830,CCBE1,ZFP322A,SLC26A1,CD24A,GAP43,ZFP286,TGIF1,FLRT2,KCNA3,RGMB,RBM15,OLFR1212,FRMD6,MYOF,MCAT,LONRF2,NEUROG1,ARMCX3,NTF3,ZFP219,ZFP2,TCEAL1,CCDC69,LIG4,TREX1,BAG5,SLC35C1,MRPS16,SNIP1,FZD2,SCG2,OLFR1494,PCDHB9,NHLH1,TAF7,SIX1,TMEM198,NLGN2,ZFP217,RGS14,PLPP2,NUP107,FES,MLLT11,OLFR1013,ZFP747,SLC30A7,ZFP869,ATRNL1,ARNTL,SERTAD3,TNS1,EPM2A,DACH1,ST3GAL5,FEZ2,CHD6,SLC44A2,DTNBP1,GNAI1,PRDM2,CAMK2B,ZFP809,GDA,FCER1G,FAM57B,OLFR1014,DBP,ZFP341,UBE4A,DPP6,DLGAP4,HIST1H2AF,RAI1,IMPDH2,HDAC10,BCL9L,JAZF1,BRWD3,PPCDC,BRPF3,ETHE1,HVCN1,POMGNT2,ZFYVE26,MFSD7B,OLFR860,BLCAP,SPTBN2,LRCH1,CST7,DUSP22,PEX11G,PLPP4,SERPINH1,OLFR291,SOX13,DGKD,TUT1,INTS5,GNG3,CCNF,SLFN2,NUDT10,NUDT11,FAAP20,OLFR570,NLRC5,ZNHIT6,SDHAF1,ZFP628,TOX2,OLFR1253,OLFR1104,CENPW,MSRB1,HMGA1-RS1,RAD54B,GM4724,RAB9,2610042L04RIK,KIFC1,SPACA6,ZFP703,MNDAL,GM20390,2610021A01RIK,LSM5,SIAH3,LRCH4,HIST1H2BL,HIST1H2AP,GM14325,GM8888,VKORC1,TUNAR,TAAR7F,CHMP1B
7	1	TRUE	0.0156	206	955	23	0.024	0.112	GO:0051301	BP	28	cell division	2	GNAI3,TPRA1,KIF20A,GIPC1,MYO19,AURKB,SH3BP1,INCENP,NOTCH1,NUSAP1,AURKA,ECT2,PLK1,KIF23,PIK3CB,KIF4,ALKBH4,FZD7,GNL3,RGS14,GNAI1,ZFYVE26,CHMP1B
8	1	TRUE	0.0195	551	955	46	0.048	0.083	GO:0007017	BP	28	microtubule-based process	2	KIF20A,SPC25,CDC20,HAP1,MAP2,BRCA1,FBXO5,CDK1,AURKB,CCDC103,PLK2,TTLL1,PTK2,PARP3,CEP192,CDK2,NTMT1,NUSAP1,KNSTRN,AURKA,GPSM2,DCLK2,MAP7D1,MARK4,KIF22,PLK1,WEE1,FGF13,CCSAP,KIF23,KIF4,SLAIN2,BICD2,BLOC1S5,CCNB1,CAMSAP2,TRIM46,2900011O08RIK,CCDC69,RGS14,FES,DTNBP1,GNAI1,CCNF,KIFC1,CHMP1B
9	1	TRUE	0.0083	1223	955	89	0.093	0.073	GO:0007049	BP	28	cell cycle	2	TPRA1,KIF20A,SPC25,CDC20,BRCA1,ATAD5,RAD51D,IRF1,GIPC1,FBXO5,TNFAIP3,PTPRK,CDK1,CRY1,FZR1,MYO19,MYOCD,ID2,AURKB,CCNK,PLK2,SH3BP1,PARP3,CEP192,INCENP,CDCA5,CDK2,NTMT1,NUSAP1,RAD51,KNSTRN,AURKA,E2F5,SRC,ECT2,CCNA2,GPSM2,CKS1B,BRINP1,CDKN2C,CDCA8,CCNG2,KNTC1,WASL,ASNS,XPC,ANAPC15,KIF22,PLK1,MKI67,SFRP1,CCSAP,RDX,KIF23,NPAT,TTC28,CTDP1,REEP4,ATM,KIF4,NEUROD1,NCAPH,CDKN3,CDKN1C,CDK19,ALKBH4,CITED2,CCNB1,CLSPN,HFM1,DACT1,SHB,CENPH,ZFP830,NEUROG1,CCDC69,RGS14,FES,ARNTL,DACH1,GNAI1,CAMK2B,ZFYVE26,CCNF,CENPW,KIFC1,ZFP703,TUNAR,CHMP1B
10	1	TRUE	0.00122	872	955	72	0.075	0.083	GO:0022402	BP	28	cell cycle process	3	TPRA1,KIF20A,SPC25,CDC20,BRCA1,ATAD5,RAD51D,IRF1,GIPC1,FBXO5,CDK1,FZR1,MYO19,ID2,AURKB,CCNK,PLK2,SH3BP1,PARP3,CEP192,INCENP,CDCA5,CDK2,NTMT1,NUSAP1,RAD51,KNSTRN,AURKA,E2F5,ECT2,CCNA2,GPSM2,CKS1B,CDKN2C,CDCA8,KNTC1,WASL,XPC,ANAPC15,KIF22,PLK1,MKI67,SFRP1,CCSAP,RDX,KIF23,NPAT,CTDP1,REEP4,ATM,KIF4,NEUROD1,NCAPH,CDKN3,CDKN1C,ALKBH4,CCNB1,CLSPN,HFM1,DACT1,ZFP830,NEUROG1,CCDC69,RGS14,FES,DACH1,GNAI1,CAMK2B,ZFYVE26,CCNF,KIFC1,CHMP1B
