name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
R-HSA-141424	Amplification of signal from the kinetochores	96	7	6.46	5.74	1e-04	0.0027	7.28	2.78	16.1
R-HSA-141444	Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal	96	7	6.46	5.74	1e-04	0.0027	7.28	2.78	16.1
R-HSA-2500257	Resolution of Sister Chromatid Cohesion	127	8	5.58	5.55	9e-05	0.0027	6.26	2.57	13.2
R-HSA-5663220	RHO GTPases Activate Formins	141	8	5.03	5.15	0.00019	0.0037	5.59	2.31	11.7
R-HSA-69618	Mitotic Spindle Checkpoint	112	7	5.54	5.16	0.00026	0.0042	6.16	2.36	13.6
R-HSA-68877	Mitotic Prometaphase	199	9	4.01	4.58	0.00041	0.0054	4.42	1.94	8.9
R-HSA-2467813	Separation of Sister Chromatids	191	8	3.71	4.04	0.0014	0.014	4.04	1.68	8.43
R-HSA-194315	Signaling by Rho GTPases	441	13	2.61	3.7	0.0014	0.014	2.88	1.47	5.2
R-HSA-68882	Mitotic Anaphase	202	8	3.51	3.85	0.002	0.017	3.81	1.58	7.94
R-HSA-2555396	Mitotic Metaphase and Anaphase	203	8	3.49	3.83	0.0021	0.017	3.79	1.57	7.9
R-HSA-72306	tRNA processing	83	5	5.34	4.24	0.0024	0.018	5.83	1.8	14.6
R-HSA-69620	Cell Cycle Checkpoints	292	9	2.73	3.21	0.0057	0.038	2.94	1.29	5.88
R-HSA-8953750	Transcriptional Regulation by E2F6	35	3	7.6	4.18	0.007	0.043	8.4	1.62	27.5
R-HSA-195258	RHO GTPase Effectors	313	9	2.55	2.97	0.0088	0.05	2.73	1.2	5.46
