name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
R-HSA-1474244	Extracellular matrix organization	278	109	1.83	7.35	5.8e-12	4.3e-09	2.44	1.89	3.15
R-HSA-3247509	Chromatin modifying enzymes	227	93	1.92	7.28	1.2e-11	4.3e-09	2.62	1.98	3.46
R-HSA-4839726	Chromatin organization	227	93	1.92	7.28	1.2e-11	4.3e-09	2.62	1.98	3.46
R-HSA-3214841	PKMTs methylate histone lysines	71	35	2.31	5.76	1.7e-07	4.4e-05	3.62	2.2	5.94
R-HSA-8948216	Collagen chain trimerization	44	25	2.66	5.75	3e-07	6.2e-05	4.88	2.58	9.4
R-HSA-3000178	ECM proteoglycans	50	27	2.53	5.64	4.1e-07	6.2e-05	4.36	2.4	7.98
R-HSA-1650814	Collagen biosynthesis and modifying enzymes	67	33	2.3	5.58	3.8e-07	6.2e-05	3.61	2.16	6.02
R-HSA-3214842	HDMs demethylate histones	51	27	2.48	5.51	7e-07	7.8e-05	4.18	2.31	7.58
R-HSA-8936459	RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function	96	42	2.05	5.37	6.7e-07	7.8e-05	2.9	1.88	4.43
R-HSA-1474228	Degradation of the extracellular matrix	119	49	1.93	5.3	7.5e-07	7.8e-05	2.61	1.77	3.83
R-HSA-2022090	Assembly of collagen fibrils and other multimeric structures	61	30	2.3	5.31	1.3e-06	0.00013	3.59	2.1	6.15
R-HSA-1474290	Collagen formation	90	39	2.03	5.1	2.2e-06	0.00018	2.85	1.82	4.42
R-HSA-201722	Formation of the beta-catenin:TCF transactivating complex	90	39	2.03	5.1	2.2e-06	0.00018	2.85	1.82	4.42
R-HSA-3214847	HATs acetylate histones	93	39	1.96	4.86	5.8e-06	0.00044	2.69	1.73	4.14
R-HSA-1912422	Pre-NOTCH Expression and Processing	32	18	2.63	4.82	1.7e-05	0.0012	4.76	2.23	10.4
R-HSA-3214815	HDACs deacetylate histones	94	38	1.89	4.52	2.1e-05	0.0014	2.52	1.62	3.89
R-HSA-1912408	Pre-NOTCH Transcription and Translation	30	17	2.65	4.72	2.6e-05	0.0016	4.84	2.21	10.8
R-HSA-350054	Notch-HLH transcription pathway	13	10	3.6	4.89	3e-05	0.0017	12.3	3.16	69.6
R-HSA-2243919	Crosslinking of collagen fibrils	18	12	3.12	4.69	4.5e-05	0.0025	7.39	2.56	24
R-HSA-2559583	Cellular Senescence	194	65	1.57	4.16	5.4e-05	0.0028	1.88	1.37	2.56
R-HSA-1442490	Collagen degradation	52	24	2.16	4.37	5.7e-05	0.0029	3.18	1.76	5.69
R-HSA-216083	Integrin cell surface interactions	81	33	1.91	4.27	6e-05	0.0029	2.55	1.58	4.07
R-HSA-5625886	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	66	28	1.98	4.18	9.2e-05	0.0042	2.73	1.61	4.58
R-HSA-427413	NoRC negatively regulates rRNA expression	60	26	2.03	4.16	0.00011	0.0045	2.83	1.63	4.88
R-HSA-5250913	Positive epigenetic regulation of rRNA expression	90	35	1.82	4.07	0.00011	0.0045	2.36	1.5	3.68
R-HSA-5250924	B-WICH complex positively regulates rRNA expression	90	35	1.82	4.07	0.00011	0.0045	2.36	1.5	3.68
R-HSA-8874081	MET activates PTK2 signaling	30	16	2.49	4.27	0.00012	0.0046	4.23	1.93	9.37
R-HSA-425407	SLC-mediated transmembrane transport	241	76	1.47	3.89	0.00013	0.0048	1.72	1.29	2.28
R-HSA-193648	NRAGE signals death through JNK	55	24	2.04	4.04	0.00017	0.0062	2.87	1.61	5.06
R-HSA-2214320	Anchoring fibril formation	15	10	3.12	4.28	2e-04	0.0065	7.38	2.3	27.6
R-HSA-427359	SIRT1 negatively regulates rRNA expression	62	26	1.96	3.96	2e-04	0.0065	2.68	1.55	4.57
R-HSA-73728	RNA Polymerase I Promoter Opening	62	26	1.96	3.96	2e-04	0.0065	2.68	1.55	4.57
R-HSA-212300	PRC2 methylates histones and DNA	72	29	1.88	3.92	0.00021	0.0065	2.5	1.5	4.11
R-HSA-211000	Gene Silencing by RNA	117	42	1.68	3.85	0.00021	0.0065	2.08	1.39	3.08
R-HSA-5250941	Negative epigenetic regulation of rRNA expression	63	26	1.93	3.86	0.00028	0.0081	2.6	1.51	4.43
R-HSA-9006934	Signaling by Receptor Tyrosine Kinases	487	136	1.31	3.61	0.00027	0.0081	1.45	1.18	1.79
R-HSA-8878171	Transcriptional regulation by RUNX1	236	73	1.45	3.62	0.00033	0.0095	1.67	1.24	2.22
R-HSA-194840	Rho GTPase cycle	138	47	1.59	3.66	0.00037	0.01	1.92	1.32	2.77
R-HSA-2559584	Formation of Senescence-Associated Heterochromatin Foci (SAHF)	16	10	2.92	4.01	0.00044	0.011	6.15	2.02	20.6
R-HSA-1566948	Elastic fibre formation	45	20	2.08	3.78	0.00044	0.011	2.96	1.56	5.56
R-HSA-1266695	Interleukin-7 signaling	33	16	2.27	3.8	0.00049	0.012	3.48	1.64	7.34
