name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu
R-HSA-5576891	Cardiac conduction	139	24	3.06	5.98	7.8e-07	0.00023	3.6	2.2	5.68
R-HSA-397014	Muscle contraction	201	30	2.65	5.76	8.7e-07	0.00023	3.04	1.97	4.55
R-HSA-442742	CREB phosphorylation through the activation of Ras	29	9	5.5	5.93	2e-05	0.002	7.63	3.04	17.6
R-HSA-438064	Post NMDA receptor activation events	37	10	4.79	5.65	2.6e-05	0.002	6.28	2.7	13.5
R-HSA-112314	Neurotransmitter receptors and postsynaptic signal transmission	154	23	2.65	5.04	1.6e-05	0.002	3.02	1.83	4.77
R-HSA-112315	Transmission across Chemical Synapses	224	29	2.29	4.79	2.3e-05	0.002	2.57	1.66	3.85
R-HSA-112316	Neuronal System	356	40	1.99	4.66	2.2e-05	0.002	2.2	1.53	3.11
R-HSA-442982	Ras activation upon Ca2+ influx through NMDA receptor	19	7	6.53	5.9	4.9e-05	0.0032	9.86	3.28	27.3
R-HSA-442755	Activation of NMDA receptor and postsynaptic events	41	10	4.32	5.21	6.9e-05	0.0038	5.47	2.38	11.5
R-HSA-9006936	Signaling by TGF-beta family members	95	16	2.98	4.75	7.3e-05	0.0038	3.46	1.87	6.02
R-HSA-418346	Platelet homeostasis	79	14	3.14	4.67	0.00012	0.0055	3.67	1.89	6.65
R-HSA-8951671	RUNX3 regulates YAP1-mediated transcription	22	7	5.64	5.33	0.00014	0.0061	7.89	2.71	20.6
R-HSA-5578775	Ion homeostasis	54	11	3.61	4.7	0.00017	0.007	4.34	2.01	8.62
R-HSA-442729	CREB phosphorylation through the activation of CaMKII	17	6	6.25	5.3	0.00023	0.0084	9.2	2.78	27.3
R-HSA-112308	Presynaptic depolarization and calcium channel opening	12	5	7.38	5.41	0.00032	0.011	12	3	44.2
R-HSA-1502540	Signaling by Activin	13	5	6.82	5.13	5e-04	0.015	10.5	2.7	36.6
R-HSA-418457	cGMP effects	13	5	6.82	5.13	5e-04	0.015	10.5	2.7	36.6
R-HSA-5576893	Phase 2 - plateau phase	27	7	4.59	4.57	0.00058	0.017	5.91	2.1	14.6
R-HSA-194138	Signaling by VEGF	103	15	2.58	3.94	0.00063	0.017	2.9	1.55	5.09
R-HSA-2032785	YAP1- and WWTR1 (TAZ)-stimulated gene expression	28	7	4.43	4.45	0.00073	0.019	5.63	2.01	13.8
R-HSA-4420097	VEGFA-VEGFR2 Pathway	95	14	2.61	3.86	0.00084	0.02	2.94	1.53	5.26
R-HSA-5683057	MAPK family signaling cascades	288	30	1.85	3.56	0.00084	0.02	2	1.31	2.96
R-HSA-5576892	Phase 0 - rapid depolarisation	46	9	3.47	4.1	0.00092	0.021	4.12	1.74	8.74
R-HSA-156711	Polo-like kinase mediated events	16	5	5.54	4.44	0.0015	0.028	7.66	2.08	24
R-HSA-392154	Nitric oxide stimulates guanylate cyclase	16	5	5.54	4.44	0.0015	0.028	7.66	2.08	24
R-HSA-399719	Trafficking of AMPA receptors	31	7	4	4.09	0.0014	0.028	4.92	1.78	11.8
R-HSA-399721	Glutamate binding, activation of AMPA receptors and synaptic plasticity	31	7	4	4.09	0.0014	0.028	4.92	1.78	11.8
R-HSA-451326	Activation of kainate receptors upon glutamate binding	32	7	3.88	3.99	0.0017	0.032	4.73	1.72	11.3
R-HSA-438066	Unblocking of NMDA receptor, glutamate binding and activation	17	5	5.21	4.25	0.002	0.035	7.02	1.93	21.5
R-HSA-5674400	Constitutive Signaling by AKT1 E17K in Cancer	25	6	4.25	3.98	0.0022	0.037	5.32	1.73	13.9
R-HSA-9006934	Signaling by Receptor Tyrosine Kinases	487	43	1.56	3.12	0.0022	0.037	1.67	1.18	2.32
R-HSA-198323	AKT phosphorylates targets in the cytosol	11	4	6.44	4.42	0.0024	0.039	9.61	2.06	37.9
R-HSA-1296072	Voltage gated Potassium channels	43	8	3.3	3.69	0.0025	0.039	3.86	1.54	8.52
