Color	Gene	Number
darkmagenta	0610005G16Rik	34
lightgreen	0610005I03Rik	18
purple	0610006F12Rik	10
plum2	0610007P14Rik	49
blue	0610008A24Rik	2
turquoise	0610009B22Rik	1
paleturquoise	0610009I12Rik	31
magenta	0610009L18Rik	9
greenyellow	0610009O20Rik	11
steelblue	0610010F05Rik	30
red	0610010K14Rik	6
blue	0610011F06Rik	2
blue	0610012G03Rik	2
turquoise	0610025J13Rik	1
white	0610030E20Rik	27
orangered4	0610037L13Rik	39
midnightblue	0610040B10Rik	15
darkseagreen4	0610040J01Rik	59
turquoise	1010001N08Rik	1
tan	1110001J03Rik	12
steelblue	1110002L01Rik	30
brown	1110004E09Rik	3
orangered4	1110004F10Rik	39
turquoise	1110006O24Rik	1
salmon4	1110007C09Rik	52
turquoise	1110008E08Rik	1
turquoise	1110008F13Rik	1
magenta	1110008L16Rik	9
red	1110008P14Rik	6
turquoise	1110012L19Rik	1
blue	1110017D15Rik	2
turquoise	1110020A21Rik	1
midnightblue	1110020C17Rik	15
turquoise	1110032A03Rik	1
turquoise	1110034G24Rik	1
darkturquoise	1110037F02Rik	23
midnightblue	1110038F14Rik	15
midnightblue	1110051M20Rik	15
turquoise	1110057K04Rik	1
midnightblue	1110058L19Rik	15
turquoise	1110059E24Rik	1
brown4	1110059G10Rik	46
salmon	1110065P20Rik	13
turquoise	1190002N15Rik	1
orangered3	1190005I06Rik	68
salmon4	1190007I07Rik	52
turquoise	1190028D05Rik	1
turquoise	1200007C13Rik	1
lightyellow	1200014J11Rik	19
darkgrey	1200016E24Rik	24
red	1300017J02Rik	6
bisque4	1500011B03Rik	47
turquoise	1500011K16Rik	1
darkred	1500012K07Rik	21
turquoise	1500015L24Rik	1
turquoise	1500015O10Rik	1
red	1500026H17Rik	6
turquoise	1500035N22Rik	1
turquoise	1520401A03Rik	1
turquoise	1600002D24Rik	1
black	1600002H07Rik	7
salmon	1600002K03Rik	13
turquoise	1600012H06Rik	1
salmon	1600012P17Rik	13
saddlebrown	1600014C10Rik	29
pink	1600014C23Rik	8
salmon	1600014K23Rik	13
turquoise	1600020E01Rik	1
darkorange2	1600022D10Rik	45
turquoise	1600025M17Rik	1
blue	1600029I14Rik	2
grey60	1600029O10Rik	17
turquoise	1700001C02Rik	1
turquoise	1700001C19Rik	1
red	1700001F09Rik	6
turquoise	1700001G17Rik	1
blue	1700001J03Rik	2
turquoise	1700001K19Rik	1
turquoise	1700001K23Rik	1
turquoise	1700001L05Rik	1
sienna3	1700001L19Rik	35
turquoise	1700001O22Rik	1
turquoise	1700001P01Rik	1
lightcyan	1700003E16Rik	16
turquoise	1700003F12Rik	1
turquoise	1700003H04Rik	1
turquoise	1700003M02Rik	1
navajowhite2	1700006A11Rik	54
salmon	1700006E09Rik	13
turquoise	1700006J14Rik	1
pink	1700007B14Rik	8
turquoise	1700007G11Rik	1
lightcyan	1700007K09Rik	16
turquoise	1700007K13Rik	1
salmon	1700008F21Rik	13
purple	1700008H02Rik	10
turquoise	1700008I05Rik	1
lightpink4	1700008O03Rik	56
magenta	1700008P02Rik	9
pink	1700009J07Rik	8
turquoise	1700009N14Rik	1
blue	1700010B08Rik	2
