Color	Gene	Number
grey60	0610005G16Rik	17
green	0610005I03Rik	5
grey60	0610006F12Rik	17
cyan	0610007P14Rik	14
grey60	0610008A24Rik	17
turquoise	0610009B22Rik	1
yellow	0610009I12Rik	4
turquoise	0610009L18Rik	1
greenyellow	0610009O20Rik	11
blue	0610010F05Rik	2
black	0610010K14Rik	7
magenta	0610011F06Rik	9
magenta	0610012G03Rik	9
brown	0610025J13Rik	3
black	0610030E20Rik	7
blue	0610037L13Rik	2
tan	0610040B10Rik	12
darkorange	0610040J01Rik	26
turquoise	1010001N08Rik	1
turquoise	1110001J03Rik	1
black	1110002L01Rik	7
salmon	1110004E09Rik	13
turquoise	1110004F10Rik	1
turquoise	1110006O24Rik	1
tan	1110007C09Rik	12
turquoise	1110008E08Rik	1
lightyellow	1110008F13Rik	19
black	1110008L16Rik	7
blue	1110008P14Rik	2
turquoise	1110012L19Rik	1
green	1110017D15Rik	5
turquoise	1110020A21Rik	1
red	1110020C17Rik	6
white	1110032A03Rik	27
turquoise	1110034G24Rik	1
purple	1110037F02Rik	10
tan	1110038F14Rik	12
tan	1110051M20Rik	12
turquoise	1110057K04Rik	1
greenyellow	1110058L19Rik	11
turquoise	1110059E24Rik	1
green	1110059G10Rik	5
midnightblue	1110065P20Rik	15
turquoise	1190002N15Rik	1
darkorange	1190005I06Rik	26
brown	1190007I07Rik	3
red	1190028D05Rik	6
turquoise	1200007C13Rik	1
purple	1200014J11Rik	10
salmon	1200016E24Rik	13
salmon	1300017J02Rik	13
magenta	1500011B03Rik	9
turquoise	1500011K16Rik	1
pink	1500012K07Rik	8
brown	1500015L24Rik	3
turquoise	1500015O10Rik	1
black	1500026H17Rik	7
turquoise	1500035N22Rik	1
turquoise	1520401A03Rik	1
turquoise	1600002D24Rik	1
violet	1600002H07Rik	32
midnightblue	1600002K03Rik	15
turquoise	1600012H06Rik	1
midnightblue	1600012P17Rik	15
cyan	1600014C10Rik	14
midnightblue	1600014C23Rik	15
midnightblue	1600014K23Rik	15
turquoise	1600020E01Rik	1
darkred	1600022D10Rik	21
turquoise	1600025M17Rik	1
magenta	1600029I14Rik	9
red	1600029O10Rik	6
yellowgreen	1700001C02Rik	36
turquoise	1700001C19Rik	1
black	1700001F09Rik	7
red	1700001G17Rik	6
