Color	Gene	Number
yellow	0610005G16Rik	4
pink	0610005I03Rik	8
red	0610006F12Rik	6
turquoise	0610007P14Rik	1
red	0610008A24Rik	6
green	0610009B22Rik	5
pink	0610009I12Rik	8
black	0610009L18Rik	7
turquoise	0610009O20Rik	1
blue	0610010K14Rik	2
black	0610011F06Rik	7
yellow	0610012G03Rik	4
blue	0610025J13Rik	2
blue	0610030E20Rik	2
greenyellow	0610037L13Rik	11
tan	0610040B10Rik	12
turquoise	0610040J01Rik	1
purple	1110001J03Rik	10
yellow	1110004E09Rik	4
turquoise	1110004F10Rik	1
turquoise	1110006O24Rik	1
turquoise	1110007C09Rik	1
turquoise	1110008E08Rik	1
black	1110008F13Rik	7
blue	1110008L16Rik	2
blue	1110008P14Rik	2
green	1110012L19Rik	5
blue	1110017D15Rik	2
red	1110020A21Rik	6
green	1110020C17Rik	5
brown	1110037F02Rik	3
turquoise	1110038F14Rik	1
brown	1110051M20Rik	3
pink	1110057K04Rik	8
turquoise	1110058L19Rik	1
brown	1110059E24Rik	3
yellow	1110059G10Rik	4
brown	1110065P20Rik	3
black	1190002N15Rik	7
green	1190005I06Rik	5
turquoise	1190007I07Rik	1
turquoise	1190028D05Rik	1
brown	1200007C13Rik	3
brown	1200014J11Rik	3
green	1200016E24Rik	5
blue	1300017J02Rik	2
red	1500011B03Rik	6
blue	1500011K16Rik	2
magenta	1500012K07Rik	9
turquoise	1500015L24Rik	1
turquoise	1500015O10Rik	1
turquoise	1500026H17Rik	1
red	1500035N22Rik	6
red	1520401A03Rik	6
blue	1600002D24Rik	2
tan	1600002H07Rik	12
brown	1600002K03Rik	3
blue	1600012H06Rik	2
purple	1600012P17Rik	10
turquoise	1600014C10Rik	1
brown	1600014C23Rik	3
brown	1600014K23Rik	3
brown	1600020E01Rik	3
turquoise	1600022D10Rik	1
green	1600025M17Rik	5
turquoise	1600029I14Rik	1
turquoise	1600029O10Rik	1
turquoise	1700001C02Rik	1
turquoise	1700001C19Rik	1
blue	1700001F09Rik	2
blue	1700001G17Rik	2
green	1700001J03Rik	5
green	1700001K19Rik	5
blue	1700001K23Rik	2
blue	1700001L05Rik	2
turquoise	1700001L19Rik	1
green	1700001O22Rik	5
brown	1700001P01Rik	3
turquoise	1700003E16Rik	1
yellow	1700003F12Rik	4
turquoise	1700003H04Rik	1
blue	1700003M02Rik	2
turquoise	1700006A11Rik	1
red	1700006E09Rik	6
brown	1700006J14Rik	3
turquoise	1700007B14Rik	1
black	1700007G11Rik	7
turquoise	1700007K09Rik	1
turquoise	1700007K13Rik	1
turquoise	1700008F21Rik	1
turquoise	1700008H02Rik	1
blue	1700008I05Rik	2
turquoise	1700008O03Rik	1
green	1700008P02Rik	5
green	1700009J07Rik	5
black	1700009N14Rik	7
blue	1700010B08Rik	2
blue	1700010D01Rik	2
turquoise	1700010H22Rik	1
turquoise	1700010I14Rik	1
black	1700010L04Rik	7
green	1700010L13Rik	5
green	1700011A15Rik	5
blue	1700011E24Rik	2
yellow	1700011H14Rik	4
turquoise	1700011L22Rik	1
turquoise	1700012B07Rik	1
blue	1700012B09Rik	2
yellow	1700012P22Rik	4
turquoise	1700013D24Rik	1
blue	1700013F07Rik	2
brown	1700013G24Rik	3
brown	1700013H16Rik	3
salmon	1700013J13Rik	13
yellow	1700014D04Rik	4
green	1700015E13Rik	5
blue	1700015F17Rik	2
yellow	1700016C15Rik	4
green	1700016D06Rik	5
tan	1700016H13Rik	12
turquoise	1700016K19Rik	1
turquoise	1700017B05Rik	1
blue	1700017D01Rik	2
black	1700017G19Rik	7
turquoise	1700017N19Rik	1
black	1700018A04Rik	7
red	1700018A14Rik	6
turquoise	1700018B08Rik	1
turquoise	1700018B24Rik	1
tan	1700018C11Rik	12
black	1700019A02Rik	7
blue	1700019B03Rik	2
turquoise	1700019G17Rik	1
green	1700019J19Rik	5
brown	1700019L03Rik	3
black	1700019M22Rik	7
black	1700019N19Rik	7
turquoise	1700019O17Rik	1
blue	1700020A23Rik	2
turquoise	1700020D05Rik	1
magenta	1700020I14Rik	9
green	1700020L24Rik	5
brown	1700020N01Rik	3
green	1700020N15Rik	5
green	1700021A07Rik	5
blue	1700021F05Rik	2
black	1700021F07Rik	7
brown	1700021K19Rik	3
red	1700021P04Rik	6
blue	1700022A21Rik	2
brown	1700022F17Rik	3
blue	1700022I11Rik	2
blue	1700023E05Rik	2
black	1700023F06Rik	7
brown	1700023L04Rik	3
brown	1700024B05Rik	3
turquoise	1700024G13Rik	1
blue	1700024P04Rik	2
brown	1700024P16Rik	3
yellow	1700025B11Rik	4
yellow	1700025F22Rik	4
turquoise	1700025G04Rik	1
green	1700025H01Rik	5
black	1700025O08Rik	7
turquoise	1700026D08Rik	1
blue	1700026J12Rik	2
turquoise	1700026L06Rik	1
brown	1700026N04Rik	3
turquoise	1700027I07Rik	1
green	1700027J07Rik	5
yellow	1700028I16Rik	4
turquoise	1700028J19Rik	1
salmon	1700028K03Rik	13
yellow	1700028P14Rik	4
turquoise	1700029F12Rik	1
blue	1700029H14Rik	2
turquoise	1700029I15Rik	1
pink	1700029J07Rik	8
turquoise	1700029M20Rik	1
brown	1700029P11Rik	3
blue	1700030F18Rik	2
turquoise	1700030J22Rik	1
red	1700030K09Rik	6
brown	1700031A10Rik	3
turquoise	1700031F05Rik	1
turquoise	1700034H15Rik	1
yellow	1700034I23Rik	4
black	1700034J04Rik	7
brown	1700034J05Rik	3
blue	1700034O15Rik	2
yellow	1700036A12Rik	4
salmon	1700037C18Rik	13
turquoise	1700037H04Rik	1
brown	1700040D17Rik	3
blue	1700040F15Rik	2
black	1700040F17Rik	7
tan	1700040L02Rik	12
blue	1700041A03Rik	2
blue	1700041G16Rik	2
yellow	1700042B14Rik	4
green	1700042G07Rik	5
blue	1700048O20Rik	2
blue	1700049G17Rik	2
black	1700049J03Rik	7
pink	1700049L16Rik	8
turquoise	1700052I22Rik	1
yellow	1700052K11Rik	4
blue	1700052N19Rik	2
turquoise	1700054A03Rik	1
turquoise	1700055D18Rik	1
green	1700055N04Rik	5
black	1700056E22Rik	7
turquoise	1700057D05Rik	1
magenta	1700057G04Rik	9
