Color	Gene	Number
darkturquoise	0610005G16Rik	23
blue	0610005I03Rik	2
navajowhite1	0610006F12Rik	83
darkolivegreen	0610007P14Rik	33
darkorange	0610008A24Rik	26
darkred	0610009B22Rik	21
blue2	0610009I12Rik	76
yellow	0610009L18Rik	4
mediumorchid	0610009O20Rik	63
orangered4	0610010F05Rik	39
lightgreen	0610010K14Rik	18
turquoise	0610011F06Rik	1
darkmagenta	0610012G03Rik	34
blue	0610025J13Rik	2
black	0610030E20Rik	7
yellow3	0610037L13Rik	94
skyblue	0610040B10Rik	28
yellow	0610040J01Rik	4
tan	1010001N08Rik	12
plum2	1110001J03Rik	49
royalblue	1110002L01Rik	20
blue	1110004E09Rik	2
purple	1110004F10Rik	10
royalblue	1110006O24Rik	20
brown	1110007C09Rik	3
red	1110008E08Rik	6
saddlebrown	1110008F13Rik	29
turquoise	1110008L16Rik	1
pink	1110008P14Rik	8
lightcyan	1110012L19Rik	16
cyan	1110017D15Rik	14
blue	1110020A21Rik	2
red	1110020C17Rik	6
black	1110032A03Rik	7
lightgreen	1110034G24Rik	18
lightpink4	1110037F02Rik	56
lavenderblush2	1110038F14Rik	86
magenta	1110051M20Rik	9
mediumpurple3	1110057K04Rik	40
turquoise	1110058L19Rik	1
salmon	1110059E24Rik	13
greenyellow	1110059G10Rik	11
plum	1110065P20Rik	67
paleturquoise	1190002N15Rik	31
magenta	1190005I06Rik	9
turquoise	1190007I07Rik	1
darkgreen	1190028D05Rik	22
blue	1200007C13Rik	2
salmon4	1200014J11Rik	52
greenyellow	1200016E24Rik	11
blue	1300017J02Rik	2
blue	1500011B03Rik	2
brown	1500011K16Rik	3
darkgreen	1500012K07Rik	22
turquoise	1500015L24Rik	1
blue	1500015O10Rik	2
bisque4	1500026H17Rik	47
skyblue1	1500035N22Rik	66
orangered4	1520401A03Rik	39
plum1	1600002D24Rik	38
yellow	1600002H07Rik	4
darkturquoise	1600002K03Rik	23
turquoise	1600012H06Rik	1
yellow	1600012P17Rik	4
orangered3	1600014C10Rik	68
darkred	1600014C23Rik	21
turquoise	1600014K23Rik	1
pink	1600020E01Rik	8
turquoise	1600022D10Rik	1
brown	1600025M17Rik	3
orange	1600029I14Rik	25
blue	1600029O10Rik	2
darkturquoise	1700001C02Rik	23
black	1700001C19Rik	7
royalblue	1700001F09Rik	20
magenta	1700001G17Rik	9
turquoise	1700001J03Rik	1
grey60	1700001K19Rik	17
turquoise	1700001K23Rik	1
turquoise	1700001L05Rik	1
tan	1700001L19Rik	12
turquoise	1700001O22Rik	1
skyblue2	1700001P01Rik	64
turquoise	1700003E16Rik	1
turquoise	1700003F12Rik	1
yellow	1700003H04Rik	4
turquoise	1700003M02Rik	1
mediumpurple3	1700006A11Rik	40
lavenderblush2	1700006E09Rik	86
brown	1700006J14Rik	3
turquoise	1700007B14Rik	1
blue	1700007G11Rik	2
yellow	1700007K09Rik	4
brown4	1700007K13Rik	46
saddlebrown	1700008F21Rik	29
palevioletred3	1700008H02Rik	53
sienna4	1700008I05Rik	95
tan	1700008O03Rik	12
turquoise	1700008P02Rik	1
yellow	1700009J07Rik	4
turquoise	1700009N14Rik	1
black	1700010B08Rik	7
yellow	1700010D01Rik	4
tan	1700010H22Rik	12
tan	1700010I14Rik	12
turquoise	1700010L04Rik	1
turquoise	1700010L13Rik	1
turquoise	1700011A15Rik	1
brown	1700011E24Rik	3
lightgreen	1700011H14Rik	18
saddlebrown	1700011L22Rik	29
yellow4	1700011M02Rik	65
tan	1700012B07Rik	12
blue	1700012B09Rik	2
lightyellow	1700012P22Rik	19
black	1700013D24Rik	7
darkmagenta	1700013F07Rik	34
pink	1700013G24Rik	8
red	1700013H16Rik	6
blue	1700013J13Rik	2
lavenderblush2	1700014D04Rik	86
royalblue	1700015E13Rik	20
midnightblue	1700015F17Rik	15
orange	1700016C15Rik	25
red	1700016D06Rik	6
brown	1700016H13Rik	3
blue	1700016K19Rik	2
lightcoral	1700017B05Rik	71
brown4	1700017D01Rik	46
red	1700017G19Rik	6
salmon4	1700017N19Rik	52
blue	1700018A04Rik	2
brown	1700018A14Rik	3
black	1700018B08Rik	7
purple	1700018B24Rik	10
mediumpurple3	1700018C11Rik	40
midnightblue	1700019A02Rik	15
yellow	1700019B03Rik	4
lightgreen	1700019D03Rik	18
midnightblue	1700019G17Rik	15
lavenderblush3	1700019J19Rik	57
cyan	1700019L03Rik	14
blue	1700019M22Rik	2
blue	1700019N19Rik	2
midnightblue	1700019O17Rik	15
antiquewhite2	1700020A23Rik	90
sienna3	1700020D05Rik	35
darkgrey	1700020I14Rik	24
purple	1700020L24Rik	10
paleturquoise	1700020N01Rik	31
magenta	1700020N15Rik	9
turquoise	1700021A07Rik	1
yellow3	1700021F05Rik	94
turquoise	1700021F07Rik	1
salmon	1700021K19Rik	13
darkgreen	1700021P04Rik	22
lightgreen	1700022A21Rik	18
greenyellow	1700022F17Rik	11
darkolivegreen4	1700022I11Rik	74
green	1700023E05Rik	5
honeydew	1700023F06Rik	87
midnightblue	1700023L04Rik	15
turquoise	1700024B05Rik	1
honeydew	1700024G13Rik	87
red	1700024P04Rik	6
darkturquoise	1700024P16Rik	23
blue	1700025B11Rik	2
blue	1700025F22Rik	2
lavenderblush3	1700025G04Rik	57
turquoise	1700025H01Rik	1
lightcyan	1700025O08Rik	16
darkolivegreen	1700026D08Rik	33
royalblue	1700026J12Rik	20
green	1700026L06Rik	5
darkred	1700026N04Rik	21
saddlebrown	1700027I07Rik	29
mediumorchid	1700027J07Rik	63
blue	1700028I16Rik	2
turquoise	1700028J19Rik	1
yellow	1700028K03Rik	4
brown	1700028P14Rik	3
turquoise	1700029F12Rik	1
bisque4	1700029H14Rik	47
black	1700029I15Rik	7
pink	1700029J07Rik	8
yellow	1700029M20Rik	4
turquoise	1700029P11Rik	1
yellow	1700030F18Rik	4
yellow	1700030J22Rik	4
mediumorchid	1700030K09Rik	63
orange	1700031A10Rik	25
turquoise	1700031F05Rik	1
blue	1700034H15Rik	2
purple	1700034I23Rik	10
blue	1700034J04Rik	2
royalblue	1700034J05Rik	20
mediumorchid	1700034O15Rik	63
blue	1700036A12Rik	2
blue	1700037C18Rik	2
salmon4	1700037H04Rik	52
skyblue2	1700040D17Rik	64
lightpink4	1700040F15Rik	56
turquoise	1700040F17Rik	1
salmon	1700040L02Rik	13
brown	1700041A03Rik	3
skyblue	1700041G16Rik	28
red	1700042B14Rik	6
turquoise	1700042G07Rik	1
turquoise	1700048O20Rik	1
brown	1700049G17Rik	3
turquoise	1700049J03Rik	1
pink	1700049L16Rik	8
antiquewhite4	1700052I22Rik	61
cyan	1700052K11Rik	14
magenta	1700052N19Rik	9
bisque4	1700054A03Rik	47
thistle	1700055D18Rik	80
turquoise	1700055N04Rik	1
turquoise	1700056E22Rik	1
darkturquoise	1700057D05Rik	23
tan	1700057G04Rik	12
green	1700057H15Rik	5
turquoise	1700060C20Rik	1
paleturquoise	1700061G19Rik	31
lightgreen	1700061I17Rik	18
skyblue	1700062G21Rik	28
turquoise	1700063H04Rik	1
red	1700063K16Rik	6
royalblue	1700065D16Rik	20
blue	1700065J11Rik	2
turquoise	1700066B19Rik	1
royalblue	1700066M21Rik	20
pink	1700067K01Rik	8
yellow	1700067P10Rik	4
yellow	1700069B07Rik	4
cyan	1700071A11Rik	14
blue	1700072H12Rik	2
royalblue	1700073E17Rik	20
brown	1700074P13Rik	3
pink	1700080E11Rik	8
skyblue	1700080O16Rik	28
blue	1700084K02Rik	2
salmon	1700084P21Rik	13
greenyellow	1700086D15Rik	11
blue	1700086L19Rik	2
darkolivegreen	1700087M12Rik	33
turquoise	1700088E04Rik	1
brown	1700092C17Rik	3
pink	1700093J21Rik	8
darkgreen	1700093K21Rik	22
blue	1700094D03Rik	2
salmon4	1700097I19Rik	52
turquoise	1700101E01Rik	1
yellow	1700101I19Rik	4
greenyellow	1700102P08Rik	11
bisque4	1700104B16Rik	47
brown	1700106J16Rik	3
brown	1700108F19Rik	3
orangered4	1700109H08Rik	39
cyan	1700111E14Rik	14
midnightblue	1700112E06Rik	15
lightyellow	1700112H15Rik	19
brown	1700112M01Rik	3
blue	1700113H08Rik	2
magenta	1700113P08Rik	9
royalblue	1700120K04Rik	20
turquoise	1700122O11Rik	1
grey60	1700123I01Rik	17
skyblue3	1700123M08Rik	37
lightgreen	1700123O20Rik	18
lightsteelblue1	1700125H20Rik	41
turquoise	1700128E19Rik	1
honeydew1	1700128F08Rik	58
pink	1700129C05Rik	8
darkseagreen3	1810009A15Rik	88
brown	1810009J06Rik	3
indianred4	1810010H24Rik	72
pink	1810010K12Rik	8
blue2	1810011H11Rik	76
plum2	1810011O10Rik	49
paleturquoise	1810012K16Rik	31
turquoise	1810013D15Rik	1
turquoise	1810013L24Rik	1
red	1810018F18Rik	6
turquoise	1810019D21Rik	1
turquoise	1810022K09Rik	1
pink	1810024B03Rik	8
pink	1810026B05Rik	8
yellow	1810026J23Rik	4
blue	1810030O07Rik	2
lightsteelblue1	1810032O08Rik	41
mediumpurple3	1810033F07Rik	40
yellow	1810034E14Rik	4
lightcyan	1810037I17Rik	16
orangered4	1810041L15Rik	39
green	1810043G02Rik	5
thistle1	1810043H04Rik	51
brown	1810046K07Rik	3
lightcyan	1810055G02Rik	16
purple	1810062G17Rik	10
lightcyan	1810064F22Rik	16
lightgreen	1810065E05Rik	18
honeydew	2010001E11Rik	87
darkorange2	2010001K21Rik	45
coral2	2010002M12Rik	62
greenyellow	2010003K11Rik	11
darkred	2010005H15Rik	21
red	2010007H06Rik	6
turquoise	2010012O05Rik	1
turquoise	2010015L04Rik	1
pink	2010106E10Rik	8
maroon	2010107E04Rik	55
lavenderblush3	2010107G23Rik	57
black	2010109A12Rik	7
turquoise	2010109I03Rik	1
turquoise	2010111I01Rik	1
skyblue	2010204K13Rik	28
white	2010300C02Rik	27
blue	2210010C04Rik	2
mediumpurple3	2210011C24Rik	40
cyan	2210013O21Rik	14
darkturquoise	2210015D19Rik	23
yellow	2210016F16Rik	4
darkmagenta	2210016L21Rik	34
greenyellow	2210017I01Rik	11
darkturquoise	2210018M11Rik	23
lightsteelblue1	2210407C18Rik	41
brown	2210408I21Rik	3
cyan	2210409E12Rik	14
red	2210416O15Rik	6
darkred	2300002M23Rik	21
brown	2300005B03Rik	3
brown	2300009A05Rik	3
darkgrey	2310001H17Rik	24
midnightblue	2310001K24Rik	15
paleturquoise	2310002L09Rik	31
darkgrey	2310003H01Rik	24
navajowhite2	2310003L06Rik	54
red	2310005E17Rik	6
black	2310007B03Rik	7
darkgreen	2310007J06Rik	22
grey60	2310007L24Rik	17
turquoise	2310009B15Rik	1
paleturquoise	2310011J03Rik	31
darkturquoise	2310014F06Rik	23
orange	2310014L17Rik	25
purple	2310015B20Rik	10
violet	2310015D24Rik	32
lightgreen	2310016D23Rik	18
thistle3	2310016G11Rik	79
mediumpurple3	2310022A10Rik	40
palevioletred3	2310022B05Rik	53
saddlebrown	2310030G06Rik	29
green	2310033P09Rik	5
darkorange2	2310035C23Rik	45
lightcoral	2310036O22Rik	71
yellowgreen	2310039H08Rik	36
blue	2310039L15Rik	2
pink	2310040G07Rik	8
yellow	2310040G24Rik	4
salmon2	2310045N01Rik	81
turquoise	2310047D07Rik	1
red	2310047K21Rik	6
blue	2310047M10Rik	2
purple	2310050C09Rik	10
midnightblue	2310057J18Rik	15
yellow4	2310057M21Rik	65
green	2310058D17Rik	5
blue	2310061I04Rik	2
darkslateblue	2310061N02Rik	48
orangered4	2310065F04Rik	39
