Color	Gene	Number
purple	0610005G16Rik	10
black	0610005I03Rik	7
black	0610006F12Rik	7
magenta	0610007P14Rik	9
black	0610008A24Rik	7
tan	0610009B22Rik	12
black	0610009I12Rik	7
yellow	0610009L18Rik	4
grey60	0610009O20Rik	17
turquoise	0610010F05Rik	1
lightgreen	0610010K14Rik	18
brown	0610011F06Rik	3
turquoise	0610012G03Rik	1
blue	0610025J13Rik	2
greenyellow	0610030E20Rik	11
purple	0610037L13Rik	10
greenyellow	0610040B10Rik	11
greenyellow	0610040J01Rik	11
red	1010001N08Rik	6
turquoise	1110001J03Rik	1
lightcyan	1110002L01Rik	16
purple	1110004E09Rik	10
lightyellow	1110004F10Rik	19
turquoise	1110006O24Rik	1
green	1110007C09Rik	5
greenyellow	1110008E08Rik	11
turquoise	1110008F13Rik	1
green	1110008L16Rik	5
red	1110008P14Rik	6
turquoise	1110012L19Rik	1
purple	1110017D15Rik	10
turquoise	1110020A21Rik	1
green	1110020C17Rik	5
lightcyan	1110032A03Rik	16
lightcyan	1110034G24Rik	16
brown	1110037F02Rik	3
green	1110038F14Rik	5
green	1110051M20Rik	5
black	1110057K04Rik	7
greenyellow	1110058L19Rik	11
brown	1110059E24Rik	3
darkgreen	1110059G10Rik	22
cyan	1110065P20Rik	14
turquoise	1190002N15Rik	1
blue	1190005I06Rik	2
green	1190007I07Rik	5
tan	1190028D05Rik	12
brown	1200007C13Rik	3
brown	1200014J11Rik	3
turquoise	1200016E24Rik	1
turquoise	1300017J02Rik	1
blue	1500011B03Rik	2
turquoise	1500011K16Rik	1
greenyellow	1500012K07Rik	11
green	1500015L24Rik	5
green	1500015O10Rik	5
pink	1500026H17Rik	8
salmon	1500035N22Rik	13
turquoise	1520401A03Rik	1
turquoise	1600002D24Rik	1
pink	1600002H07Rik	8
cyan	1600002K03Rik	14
darkolivegreen	1600012H06Rik	33
cyan	1600012P17Rik	14
turquoise	1600014C10Rik	1
yellow	1600014C23Rik	4
