Color	Gene	Number
green	0610005G16Rik	5
blue	0610005I03Rik	2
blue	0610006F12Rik	2
blue	0610007P14Rik	2
blue	0610008A24Rik	2
lightgreen	0610009B22Rik	18
blue	0610009I12Rik	2
yellow	0610009L18Rik	4
brown	0610009O20Rik	3
white	0610010F05Rik	27
turquoise	0610010K14Rik	1
skyblue	0610011F06Rik	28
yellow	0610012G03Rik	4
grey60	0610025J13Rik	17
darkorange	0610030E20Rik	26
blue	0610037L13Rik	2
brown	0610040B10Rik	3
grey60	0610040J01Rik	17
midnightblue	1010001N08Rik	15
violet	1110001J03Rik	32
skyblue3	1110002L01Rik	37
greenyellow	1110004E09Rik	11
red	1110004F10Rik	6
turquoise	1110006O24Rik	1
floralwhite	1110007C09Rik	44
royalblue	1110008E08Rik	20
skyblue3	1110008F13Rik	37
grey60	1110008L16Rik	17
darkmagenta	1110008P14Rik	34
lightgreen	1110012L19Rik	18
green	1110017D15Rik	5
cyan	1110020A21Rik	14
royalblue	1110020C17Rik	20
magenta	1110032A03Rik	9
darkgrey	1110034G24Rik	24
yellow	1110037F02Rik	4
darkred	1110038F14Rik	21
saddlebrown	1110051M20Rik	29
blue	1110057K04Rik	2
saddlebrown	1110058L19Rik	29
orange	1110059E24Rik	25
pink	1110059G10Rik	8
yellow	1110065P20Rik	4
tan	1190002N15Rik	12
paleturquoise	1190005I06Rik	31
lightcyan	1190007I07Rik	16
turquoise	1190028D05Rik	1
skyblue3	1200007C13Rik	37
orangered4	1200014J11Rik	39
greenyellow	1200016E24Rik	11
turquoise	1300017J02Rik	1
black	1500011B03Rik	7
steelblue	1500011K16Rik	30
brown	1500012K07Rik	3
magenta	1500015L24Rik	9
skyblue	1500015O10Rik	28
brown	1500026H17Rik	3
midnightblue	1500035N22Rik	15
turquoise	1520401A03Rik	1
turquoise	1600002D24Rik	1
brown	1600002H07Rik	3
darkturquoise	1600002K03Rik	23
midnightblue	1600012H06Rik	15
yellow	1600012P17Rik	4
blue	1600014C10Rik	2
lightcyan	1600014C23Rik	16
yellow	1600014K23Rik	4
paleturquoise	1600020E01Rik	31
violet	1600022D10Rik	32
turquoise	1600025M17Rik	1
blue	1600029I14Rik	2
yellow	1600029O10Rik	4
turquoise	1700001C02Rik	1
grey60	1700001C19Rik	17
brown	1700001F09Rik	3
yellow	1700001G17Rik	4
blue	1700001J03Rik	2
brown4	1700001K19Rik	46
darkmagenta	1700001K23Rik	34
blue	1700001L05Rik	2
black	1700001L19Rik	7
blue	1700001O22Rik	2
turquoise	1700001P01Rik	1
cyan	1700003E16Rik	14
yellow	1700003F12Rik	4
yellow	1700003H04Rik	4
turquoise	1700003M02Rik	1
magenta	1700006A11Rik	9
lightyellow	1700006E09Rik	19
midnightblue	1700006J14Rik	15
brown	1700007B14Rik	3
cyan	1700007G11Rik	14
yellow	1700007K09Rik	4
brown	1700007K13Rik	3
yellow	1700008F21Rik	4
red	1700008H02Rik	6
lightgreen	1700008I05Rik	18
brown	1700008O03Rik	3
salmon	1700008P02Rik	13
turquoise	1700009J07Rik	1
darkgreen	1700009N14Rik	22
brown	1700010B08Rik	3
black	1700010D01Rik	7
steelblue	1700010H22Rik	30
tan	1700010I14Rik	12
skyblue	1700010L04Rik	28
darkturquoise	1700010L13Rik	23
skyblue	1700011A15Rik	28
tan	1700011E24Rik	12
turquoise	1700011H14Rik	1
skyblue	1700011L22Rik	28
magenta	1700011M02Rik	9
darkorange	1700012B07Rik	26
turquoise	1700012B09Rik	1
yellow	1700012P22Rik	4
floralwhite	1700013D24Rik	44
brown	1700013F07Rik	3
blue	1700013G24Rik	2
yellow	1700013H16Rik	4
violet	1700013J13Rik	32
green	1700014D04Rik	5
magenta	1700015E13Rik	9
tan	1700015F17Rik	12
tan	1700016C15Rik	12
lightsteelblue1	1700016D06Rik	41
magenta	1700016H13Rik	9
midnightblue	1700016K19Rik	15
lightcyan1	1700017B05Rik	42
yellow	1700017D01Rik	4
yellow	1700017G19Rik	4
turquoise	1700017N19Rik	1
lightsteelblue1	1700018A04Rik	41
darkred	1700018A14Rik	21
darkorange	1700018B08Rik	26
brown	1700018B24Rik	3
darkmagenta	1700018C11Rik	34
darkred	1700019A02Rik	21
brown	1700019B03Rik	3
lightgreen	1700019D03Rik	18
brown	1700019G17Rik	3
lightyellow	1700019J19Rik	19
yellow	1700019L03Rik	4
yellow	1700019M22Rik	4
lightgreen	1700019N19Rik	18
yellow	1700019O17Rik	4
