Color	Gene	Number
black	0610005G16Rik	7
lightgreen	0610005I03Rik	18
lightgreen	0610006F12Rik	18
maroon	0610007P14Rik	55
lightgreen	0610008A24Rik	18
turquoise	0610009B22Rik	1
lightgreen	0610009I12Rik	18
turquoise	0610009L18Rik	1
purple	0610009O20Rik	10
brown4	0610010F05Rik	46
darkorange2	0610010K14Rik	45
brown	0610011F06Rik	3
lightcyan1	0610012G03Rik	42
turquoise	0610025J13Rik	1
green	0610030E20Rik	5
turquoise	0610037L13Rik	1
pink	0610040B10Rik	8
brown4	0610040J01Rik	46
black	1010001N08Rik	7
pink	1110001J03Rik	8
grey60	1110002L01Rik	17
orange	1110004E09Rik	25
skyblue3	1110004F10Rik	37
greenyellow	1110006O24Rik	11
yellowgreen	1110007C09Rik	36
green	1110008E08Rik	5
lightcyan	1110008F13Rik	16
turquoise	1110008L16Rik	1
red	1110008P14Rik	6
turquoise	1110012L19Rik	1
turquoise	1110017D15Rik	1
magenta	1110020A21Rik	9
blue	1110020C17Rik	2
black	1110032A03Rik	7
green	1110034G24Rik	5
darkgrey	1110037F02Rik	24
royalblue	1110038F14Rik	20
brown	1110051M20Rik	3
green	1110057K04Rik	5
pink	1110058L19Rik	8
turquoise	1110059E24Rik	1
brown	1110059G10Rik	3
darkmagenta	1110065P20Rik	34
turquoise	1190002N15Rik	1
yellow	1190005I06Rik	4
brown	1190007I07Rik	3
green	1190028D05Rik	5
blue	1200007C13Rik	2
paleturquoise	1200014J11Rik	31
turquoise	1200016E24Rik	1
red	1300017J02Rik	6
blue	1500011B03Rik	2
brown	1500011K16Rik	3
cyan	1500012K07Rik	14
turquoise	1500015L24Rik	1
yellow	1500015O10Rik	4
blue	1500026H17Rik	2
green	1500035N22Rik	5
blue	1520401A03Rik	2
blue	1600002D24Rik	2
yellow	1600002H07Rik	4
brown	1600002K03Rik	3
darkgreen	1600012H06Rik	22
brown	1600012P17Rik	3
cyan	1600014C10Rik	14
midnightblue	1600014C23Rik	15
darkgrey	1600014K23Rik	24
green	1600020E01Rik	5
darkgreen	1600022D10Rik	22
turquoise	1600025M17Rik	1
brown	1600029I14Rik	3
turquoise	1600029O10Rik	1
lightcyan	1700001C02Rik	16
green	1700001C19Rik	5
turquoise	1700001F09Rik	1
turquoise	1700001G17Rik	1
red	1700001J03Rik	6
turquoise	1700001K19Rik	1
green	1700001K23Rik	5
brown	1700001L05Rik	3
darkred	1700001L19Rik	21
turquoise	1700001O22Rik	1
blue	1700001P01Rik	2
cyan	1700003E16Rik	14
turquoise	1700003F12Rik	1
turquoise	1700003H04Rik	1
blue	1700003M02Rik	2
turquoise	1700006A11Rik	1
brown	1700006E09Rik	3
turquoise	1700006J14Rik	1
pink	1700007B14Rik	8
magenta	1700007G11Rik	9
brown	1700007K09Rik	3
turquoise	1700007K13Rik	1
blue	1700008F21Rik	2
lightgreen	1700008H02Rik	18
red	1700008I05Rik	6
lightyellow	1700008O03Rik	19
darkgreen	1700008P02Rik	22
turquoise	1700009J07Rik	1
turquoise	1700009N14Rik	1
blue	1700010B08Rik	2
turquoise	1700010D01Rik	1
lightcyan1	1700010H22Rik	42
greenyellow	1700010I14Rik	11
yellow	1700010L04Rik	4
turquoise	1700010L13Rik	1
blue	1700011A15Rik	2
turquoise	1700011E24Rik	1
turquoise	1700011H14Rik	1
blue	1700011L22Rik	2
turquoise	1700011M02Rik	1
midnightblue	1700012B07Rik	15
green	1700012B09Rik	5
blue	1700012P22Rik	2
sienna3	1700013D24Rik	35
brown	1700013F07Rik	3
yellow	1700013G24Rik	4
paleturquoise	1700013H16Rik	31
turquoise	1700013J13Rik	1
red	1700014D04Rik	6
green	1700015E13Rik	5
blue	1700015F17Rik	2
turquoise	1700016C15Rik	1
turquoise	1700016D06Rik	1
salmon	1700016H13Rik	13
brown4	1700016K19Rik	46
midnightblue	1700017B05Rik	15
blue	1700017D01Rik	2
turquoise	1700017G19Rik	1
red	1700017N19Rik	6
turquoise	1700018A04Rik	1
brown	1700018A14Rik	3
blue	1700018B08Rik	2
yellow	1700018B24Rik	4
blue	1700018C11Rik	2
pink	1700019A02Rik	8
purple	1700019B03Rik	10
magenta	1700019D03Rik	9
darkred	1700019G17Rik	21
salmon	1700019J19Rik	13
pink	1700019L03Rik	8
turquoise	1700019M22Rik	1
greenyellow	1700019N19Rik	11
royalblue	1700019O17Rik	20
red	1700020A23Rik	6
