Color	Gene	Number
red	0610005G16Rik	6
red	0610005I03Rik	6
green	0610006F12Rik	5
pink	0610007P14Rik	8
red	0610008A24Rik	6
grey60	0610009B22Rik	17
magenta	0610009I12Rik	9
turquoise	0610009L18Rik	1
purple	0610009O20Rik	10
turquoise	0610010F05Rik	1
blue	0610010K14Rik	2
turquoise	0610011F06Rik	1
tan	0610012G03Rik	12
turquoise	0610025J13Rik	1
black	0610030E20Rik	7
brown	0610037L13Rik	3
turquoise	0610040B10Rik	1
grey60	0610040J01Rik	17
blue	1010001N08Rik	2
yellow	1110001J03Rik	4
cyan	1110002L01Rik	14
pink	1110004E09Rik	8
yellow	1110004F10Rik	4
green	1110006O24Rik	5
greenyellow	1110007C09Rik	11
turquoise	1110008E08Rik	1
turquoise	1110008F13Rik	1
blue	1110008L16Rik	2
magenta	1110008P14Rik	9
turquoise	1110012L19Rik	1
turquoise	1110017D15Rik	1
turquoise	1110020A21Rik	1
turquoise	1110020C17Rik	1
lightcyan	1110032A03Rik	16
blue	1110034G24Rik	2
yellow	1110037F02Rik	4
blue	1110038F14Rik	2
pink	1110051M20Rik	8
blue	1110057K04Rik	2
turquoise	1110058L19Rik	1
blue	1110059E24Rik	2
brown	1110059G10Rik	3
purple	1110065P20Rik	10
blue	1190002N15Rik	2
yellow	1190005I06Rik	4
blue	1190007I07Rik	2
tan	1190028D05Rik	12
magenta	1200007C13Rik	9
darkturquoise	1200014J11Rik	23
greenyellow	1200016E24Rik	11
green	1300017J02Rik	5
cyan	1500011B03Rik	14
lightcyan	1500011K16Rik	16
turquoise	1500012K07Rik	1
brown	1500015L24Rik	3
turquoise	1500015O10Rik	1
blue	1500026H17Rik	2
blue	1500035N22Rik	2
turquoise	1520401A03Rik	1
yellow	1600002D24Rik	4
black	1600002H07Rik	7
turquoise	1600002K03Rik	1
turquoise	1600012H06Rik	1
cyan	1600012P17Rik	14
turquoise	1600014C10Rik	1
turquoise	1600014C23Rik	1
turquoise	1600014K23Rik	1
blue	1600020E01Rik	2
turquoise	1600022D10Rik	1
blue	1600025M17Rik	2
yellow	1600029I14Rik	4
pink	1600029O10Rik	8
turquoise	1700001C02Rik	1
turquoise	1700001C19Rik	1
turquoise	1700001F09Rik	1
pink	1700001G17Rik	8
turquoise	1700001J03Rik	1
yellow	1700001K19Rik	4
turquoise	1700001K23Rik	1
turquoise	1700001L05Rik	1
brown	1700001L19Rik	3
turquoise	1700001O22Rik	1
cyan	1700001P01Rik	14
pink	1700003E16Rik	8
blue	1700003F12Rik	2
brown	1700003H04Rik	3
turquoise	1700003M02Rik	1
yellow	1700006A11Rik	4
yellow	1700006E09Rik	4
blue	1700006J14Rik	2
turquoise	1700007B14Rik	1
turquoise	1700007G11Rik	1
turquoise	1700007K09Rik	1
turquoise	1700007K13Rik	1
turquoise	1700008F21Rik	1
green	1700008H02Rik	5
turquoise	1700008I05Rik	1
blue	1700008O03Rik	2
turquoise	1700008P02Rik	1
yellow	1700009J07Rik	4
purple	1700009N14Rik	10
turquoise	1700010B08Rik	1
yellow	1700010D01Rik	4
yellow	1700010H22Rik	4
turquoise	1700010I14Rik	1
blue	1700010L04Rik	2
yellow	1700010L13Rik	4
pink	1700011A15Rik	8
yellow	1700011E24Rik	4
brown	1700011H14Rik	3
blue	1700011L22Rik	2
brown	1700011M02Rik	3
magenta	1700012B07Rik	9
yellow	1700012B09Rik	4
turquoise	1700012P22Rik	1
yellow	1700013D24Rik	4
black	1700013F07Rik	7
brown	1700013G24Rik	3
lightcyan	1700013H16Rik	16
blue	1700013J13Rik	2
cyan	1700014D04Rik	14
yellow	1700015E13Rik	4
blue	1700015F17Rik	2
turquoise	1700016C15Rik	1
pink	1700016D06Rik	8
turquoise	1700016H13Rik	1
turquoise	1700016K19Rik	1
turquoise	1700017B05Rik	1
black	1700017D01Rik	7
blue	1700017G19Rik	2
tan	1700017N19Rik	12
brown	1700018A04Rik	3
blue	1700018A14Rik	2
turquoise	1700018B08Rik	1
turquoise	1700018B24Rik	1
turquoise	1700018C11Rik	1
brown	1700019A02Rik	3
blue	1700019B03Rik	2
turquoise	1700019D03Rik	1
blue	1700019G17Rik	2
yellow	1700019J19Rik	4
magenta	1700019L03Rik	9
blue	1700019M22Rik	2
turquoise	1700019N19Rik	1
turquoise	1700019O17Rik	1
darkturquoise	1700020A23Rik	23
greenyellow	1700020D05Rik	11
salmon	1700020I14Rik	13
lightyellow	1700020L24Rik	19
turquoise	1700020N01Rik	1
green	1700020N15Rik	5
turquoise	1700021A07Rik	1
red	1700021F05Rik	6
yellow	1700021F07Rik	4
lightcyan	1700021K19Rik	16
turquoise	1700021P04Rik	1
blue	1700022A21Rik	2
turquoise	1700022F17Rik	1
