Color	Gene	Number
magenta	0610005G16Rik	9
lightcyan	0610005I03Rik	16
yellow	0610006F12Rik	4
turquoise	0610007P14Rik	1
violet	0610008A24Rik	32
darkorange	0610009B22Rik	26
brown	0610009I12Rik	3
turquoise	0610009L18Rik	1
green	0610009O20Rik	5
blue	0610010F05Rik	2
turquoise	0610010K14Rik	1
paleturquoise	0610011F06Rik	31
blue	0610012G03Rik	2
brown	0610025J13Rik	3
tan	0610030E20Rik	12
black	0610037L13Rik	7
yellow	0610040B10Rik	4
magenta	0610040J01Rik	9
darkmagenta	1010001N08Rik	34
turquoise	1110001J03Rik	1
lightgreen	1110002L01Rik	18
turquoise	1110004E09Rik	1
purple	1110004F10Rik	10
blue	1110006O24Rik	2
turquoise	1110007C09Rik	1
white	1110008E08Rik	27
pink	1110008F13Rik	8
white	1110008L16Rik	27
brown	1110008P14Rik	3
green	1110012L19Rik	5
turquoise	1110017D15Rik	1
blue	1110020A21Rik	2
blue	1110020C17Rik	2
turquoise	1110032A03Rik	1
brown	1110034G24Rik	3
lightcyan	1110037F02Rik	16
yellow	1110038F14Rik	4
orange	1110051M20Rik	25
brown	1110057K04Rik	3
darkturquoise	1110058L19Rik	23
darkgrey	1110059E24Rik	24
yellow	1110059G10Rik	4
turquoise	1110065P20Rik	1
yellow	1190002N15Rik	4
brown	1190005I06Rik	3
darkgrey	1190007I07Rik	24
turquoise	1190028D05Rik	1
red	1200007C13Rik	6
turquoise	1200014J11Rik	1
brown	1200016E24Rik	3
brown	1300017J02Rik	3
turquoise	1500011B03Rik	1
lightgreen	1500011K16Rik	18
red	1500012K07Rik	6
turquoise	1500015L24Rik	1
turquoise	1500015O10Rik	1
black	1500026H17Rik	7
black	1500035N22Rik	7
darkmagenta	1520401A03Rik	34
yellow	1600002D24Rik	4
yellow	1600002H07Rik	4
brown	1600002K03Rik	3
pink	1600012H06Rik	8
brown	1600012P17Rik	3
turquoise	1600014C10Rik	1
turquoise	1600014C23Rik	1
turquoise	1600014K23Rik	1
brown	1600020E01Rik	3
blue	1600022D10Rik	2
tan	1600025M17Rik	12
blue	1600029I14Rik	2
brown	1600029O10Rik	3
magenta	1700001C02Rik	9
blue	1700001C19Rik	2
brown	1700001F09Rik	3
turquoise	1700001G17Rik	1
turquoise	1700001J03Rik	1
green	1700001K19Rik	5
turquoise	1700001K23Rik	1
cyan	1700001L05Rik	14
blue	1700001L19Rik	2
brown	1700001O22Rik	3
turquoise	1700001P01Rik	1
magenta	1700003E16Rik	9
turquoise	1700003F12Rik	1
turquoise	1700003H04Rik	1
red	1700003M02Rik	6
pink	1700006A11Rik	8
yellow	1700006E09Rik	4
blue	1700006J14Rik	2
blue	1700007B14Rik	2
green	1700007G11Rik	5
green	1700007K09Rik	5
blue	1700007K13Rik	2
red	1700008F21Rik	6
midnightblue	1700008H02Rik	15
brown	1700008I05Rik	3
turquoise	1700008O03Rik	1
grey60	1700008P02Rik	17
turquoise	1700009J07Rik	1
turquoise	1700009N14Rik	1
yellow	1700010B08Rik	4
blue	1700010D01Rik	2
black	1700010H22Rik	7
turquoise	1700010I14Rik	1
steelblue	1700010L04Rik	30
yellow	1700010L13Rik	4
greenyellow	1700011A15Rik	11
blue	1700011E24Rik	2
blue	1700011H14Rik	2
yellow	1700011L22Rik	4
