Color	Gene	Number
darkslateblue	0610005G16Rik	48
lightsteelblue	0610005I03Rik	70
yellow	0610006F12Rik	4
yellow	0610007P14Rik	4
thistle2	0610008A24Rik	50
mediumpurple3	0610009B22Rik	40
skyblue	0610009I12Rik	28
yellowgreen	0610009L18Rik	36
darkmagenta	0610009O20Rik	34
yellowgreen	0610010F05Rik	36
pink	0610010K14Rik	8
black	0610011F06Rik	7
magenta3	0610012G03Rik	113
cyan	0610025J13Rik	14
grey60	0610030E20Rik	17
black	0610037L13Rik	7
darkviolet	0610040B10Rik	77
thistle3	0610040J01Rik	79
yellowgreen	1010001N08Rik	36
paleturquoise	1110001J03Rik	31
yellowgreen	1110002L01Rik	36
magenta	1110004E09Rik	9
tan	1110004F10Rik	12
turquoise	1110006O24Rik	1
skyblue4	1110007C09Rik	93
darkgreen	1110008E08Rik	22
plum3	1110008F13Rik	78
sienna3	1110008L16Rik	35
skyblue1	1110008P14Rik	66
turquoise	1110012L19Rik	1
grey60	1110017D15Rik	17
turquoise	1110020A21Rik	1
skyblue3	1110020C17Rik	37
paleturquoise	1110032A03Rik	31
tan4	1110034G24Rik	109
midnightblue	1110037F02Rik	15
skyblue2	1110038F14Rik	64
turquoise	1110051M20Rik	1
plum	1110057K04Rik	67
pink	1110058L19Rik	8
darkolivegreen2	1110059E24Rik	103
green	1110059G10Rik	5
yellow4	1110065P20Rik	65
pink	1190002N15Rik	8
magenta4	1190005I06Rik	84
black	1190007I07Rik	7
turquoise	1190028D05Rik	1
darkred	1200007C13Rik	21
magenta4	1200014J11Rik	84
turquoise	1200016E24Rik	1
royalblue	1300017J02Rik	20
cyan	1500011B03Rik	14
firebrick4	1500011K16Rik	73
black	1500012K07Rik	7
skyblue3	1500015L24Rik	37
midnightblue	1500015O10Rik	15
brown	1500026H17Rik	3
skyblue2	1500035N22Rik	64
magenta4	1520401A03Rik	84
bisque4	1600002D24Rik	47
thistle2	1600002H07Rik	50
darkolivegreen	1600002K03Rik	33
coral3	1600012H06Rik	91
darkgreen	1600012P17Rik	22
turquoise	1600014C10Rik	1
indianred4	1600014C23Rik	72
maroon	1600014K23Rik	55
black	1600020E01Rik	7
paleturquoise	1600022D10Rik	31
plum	1600025M17Rik	67
turquoise	1600029I14Rik	1
brown2	1600029O10Rik	75
cyan	1700001C02Rik	14
honeydew1	1700001C19Rik	58
firebrick4	1700001F09Rik	73
darkgreen	1700001G17Rik	22
brown	1700001J03Rik	3
saddlebrown	1700001K19Rik	29
lightgreen	1700001K23Rik	18
pink	1700001L05Rik	8
lightcyan	1700001L19Rik	16
palevioletred1	1700001O22Rik	111
thistle1	1700001P01Rik	51
turquoise	1700003E16Rik	1
skyblue3	1700003F12Rik	37
turquoise	1700003H04Rik	1
skyblue1	1700003M02Rik	66
skyblue3	1700006A11Rik	37
indianred4	1700006E09Rik	72
black	1700006J14Rik	7
cyan	1700007B14Rik	14
white	1700007G11Rik	27
darkturquoise	1700007K09Rik	23
black	1700007K13Rik	7
white	1700008F21Rik	27
maroon	1700008H02Rik	55
magenta	1700008I05Rik	9
blue	1700008O03Rik	2
magenta	1700008P02Rik	9
darkgrey	1700009J07Rik	24
turquoise	1700009N14Rik	1
steelblue	1700010B08Rik	30
pink	1700010D01Rik	8
navajowhite2	1700010H22Rik	54
brown	1700010I14Rik	3
black	1700010L04Rik	7
cyan	1700010L13Rik	14
darkorange2	1700011A15Rik	45
turquoise	1700011E24Rik	1
greenyellow	1700011H14Rik	11
purple	1700011L22Rik	10
thistle3	1700011M02Rik	79
green	1700012B07Rik	5
antiquewhite4	1700012B09Rik	61
plum	1700012P22Rik	67
yellow	1700013D24Rik	4
greenyellow	1700013F07Rik	11
darkmagenta	1700013G24Rik	34
blue	1700013H16Rik	2
salmon4	1700013J13Rik	52
plum	1700014D04Rik	67
salmon4	1700015E13Rik	52
palevioletred2	1700015F17Rik	82
blue	1700016C15Rik	2
blue	1700016D06Rik	2
blueviolet	1700016H13Rik	104
brown	1700016K19Rik	3
salmon	1700017B05Rik	13
lightpink3	1700017D01Rik	85
darkgreen	1700017G19Rik	22
purple	1700017N19Rik	10
darkgreen	1700018A04Rik	22
black	1700018A14Rik	7
orangered4	1700018B08Rik	39
thistle3	1700018B24Rik	79
lightpink4	1700018C11Rik	56
mediumpurple3	1700019A02Rik	40
greenyellow	1700019B03Rik	11
magenta3	1700019G17Rik	113
turquoise	1700019J19Rik	1
lightsteelblue1	1700019L03Rik	41
saddlebrown	1700019M22Rik	29
white	1700019N19Rik	27
darkmagenta	1700019O17Rik	34
blue	1700020A23Rik	2
salmon2	1700020D05Rik	81
green	1700020I14Rik	5
turquoise	1700020L24Rik	1
darkorange2	1700020N01Rik	45
turquoise	1700020N15Rik	1
blue	1700021A07Rik	2
lightpink3	1700021F05Rik	85
darkorange2	1700021F07Rik	45
darkorange	1700021K19Rik	26
brown	1700021P04Rik	3
palevioletred2	1700022A21Rik	82
darkgreen	1700022F17Rik	22
lightsteelblue1	1700022I11Rik	41
lightcoral	1700023E05Rik	71
salmon4	1700023F06Rik	52
coral2	1700023L04Rik	62
turquoise	1700024B05Rik	1
thistle1	1700024G13Rik	51
honeydew	1700024P04Rik	87
turquoise	1700024P16Rik	1
darkolivegreen4	1700025B11Rik	74
lavenderblush3	1700025F22Rik	57
sienna3	1700025G04Rik	35
brown	1700025H01Rik	3
blue2	1700025O08Rik	76
honeydew1	1700026D08Rik	58
purple	1700026J12Rik	10
ivory	1700026L06Rik	43
darkorange2	1700026N04Rik	45
darkturquoise	1700027I07Rik	23
blue	1700027J07Rik	2
blue	1700028I16Rik	2
magenta4	1700028J19Rik	84
coral	1700028K03Rik	89
green	1700028P14Rik	5
turquoise	1700029F12Rik	1
royalblue	1700029H14Rik	20
blue	1700029I15Rik	2
lightcyan	1700029J07Rik	16
cyan	1700029M20Rik	14
skyblue4	1700029P11Rik	93
plum3	1700030F18Rik	78
salmon	1700030J22Rik	13
maroon	1700030K09Rik	55
turquoise	1700031A10Rik	1
brown	1700031F05Rik	3
bisque4	1700034H15Rik	47
brown	1700034I23Rik	3
lightcoral	1700034J04Rik	71
mediumpurple3	1700034J05Rik	40
white	1700034O15Rik	27
