Color	Gene	Number
green	0610005G16Rik	5
blue	0610005I03Rik	2
blue	0610006F12Rik	2
yellow	0610007P14Rik	4
blue	0610008A24Rik	2
turquoise	0610009B22Rik	1
blue	0610009I12Rik	2
turquoise	0610009L18Rik	1
purple	0610009O20Rik	10
green	0610010F05Rik	5
greenyellow	0610010K14Rik	11
blue	0610011F06Rik	2
blue	0610012G03Rik	2
brown	0610025J13Rik	3
brown	0610030E20Rik	3
blue	0610037L13Rik	2
darkturquoise	0610040B10Rik	23
magenta	0610040J01Rik	9
black	1010001N08Rik	7
black	1110001J03Rik	7
green	1110002L01Rik	5
green	1110004E09Rik	5
darkgreen	1110004F10Rik	22
turquoise	1110006O24Rik	1
brown	1110007C09Rik	3
turquoise	1110008E08Rik	1
pink	1110008F13Rik	8
purple	1110008L16Rik	10
black	1110008P14Rik	7
pink	1110012L19Rik	8
turquoise	1110017D15Rik	1
black	1110020A21Rik	7
turquoise	1110020C17Rik	1
greenyellow	1110032A03Rik	11
tan	1110034G24Rik	12
red	1110037F02Rik	6
lightcyan	1110038F14Rik	16
purple	1110051M20Rik	10
salmon	1110057K04Rik	13
purple	1110058L19Rik	10
red	1110059E24Rik	6
red	1110059G10Rik	6
lightyellow	1110065P20Rik	19
turquoise	1190002N15Rik	1
darkred	1190005I06Rik	21
brown	1190007I07Rik	3
black	1190028D05Rik	7
red	1200007C13Rik	6
blue	1200014J11Rik	2
pink	1200016E24Rik	8
green	1300017J02Rik	5
yellow	1500011B03Rik	4
turquoise	1500011K16Rik	1
darkturquoise	1500012K07Rik	23
black	1500015L24Rik	7
brown	1500015O10Rik	3
magenta	1500026H17Rik	9
pink	1500035N22Rik	8
green	1520401A03Rik	5
turquoise	1600002D24Rik	1
magenta	1600002H07Rik	9
red	1600002K03Rik	6
pink	1600012H06Rik	8
red	1600012P17Rik	6
red	1600014C10Rik	6
red	1600014C23Rik	6
blue	1600014K23Rik	2
turquoise	1600020E01Rik	1
pink	1600022D10Rik	8
turquoise	1600025M17Rik	1
yellow	1600029I14Rik	4
turquoise	1600029O10Rik	1
turquoise	1700001C02Rik	1
turquoise	1700001C19Rik	1
green	1700001F09Rik	5
blue	1700001G17Rik	2
blue	1700001J03Rik	2
black	1700001K19Rik	7
purple	1700001K23Rik	10
brown	1700001L05Rik	3
magenta	1700001L19Rik	9
turquoise	1700001O22Rik	1
black	1700001P01Rik	7
brown	1700003E16Rik	3
turquoise	1700003F12Rik	1
turquoise	1700003H04Rik	1
black	1700003M02Rik	7
turquoise	1700006A11Rik	1
red	1700006E09Rik	6
black	1700006J14Rik	7
brown	1700007B14Rik	3
brown	1700007G11Rik	3
turquoise	1700007K09Rik	1
blue	1700007K13Rik	2
red	1700008F21Rik	6
darkgreen	1700008H02Rik	22
tan	1700008I05Rik	12
brown	1700008O03Rik	3
turquoise	1700008P02Rik	1
turquoise	1700009J07Rik	1
pink	1700009N14Rik	8
yellow	1700010B08Rik	4
turquoise	1700010D01Rik	1
white	1700010H22Rik	27
black	1700010I14Rik	7
brown	1700010L04Rik	3
turquoise	1700010L13Rik	1
blue	1700011A15Rik	2
brown	1700011E24Rik	3
turquoise	1700011H14Rik	1
brown	1700011L22Rik	3
black	1700011M02Rik	7
brown	1700012B07Rik	3
turquoise	1700012B09Rik	1
brown	1700012P22Rik	3
brown	1700013D24Rik	3
purple	1700013F07Rik	10
yellow	1700013G24Rik	4
blue	1700013H16Rik	2
black	1700013J13Rik	7
green	1700014D04Rik	5
brown	1700015E13Rik	3
black	1700015F17Rik	7
turquoise	1700016C15Rik	1
turquoise	1700016D06Rik	1
black	1700016H13Rik	7
turquoise	1700016K19Rik	1
yellow	1700017B05Rik	4
blue	1700017D01Rik	2
turquoise	1700017G19Rik	1
black	1700017N19Rik	7
blue	1700018A04Rik	2
blue	1700018A14Rik	2
brown	1700018B08Rik	3
purple	1700018B24Rik	10
magenta	1700018C11Rik	9
brown	1700019A02Rik	3
purple	1700019B03Rik	10
tan	1700019D03Rik	12
brown	1700019G17Rik	3
green	1700019J19Rik	5
salmon	1700019L03Rik	13
turquoise	1700019M22Rik	1
turquoise	1700019N19Rik	1
brown	1700019O17Rik	3
black	1700020A23Rik	7
purple	1700020D05Rik	10
magenta	1700020I14Rik	9
turquoise	1700020L24Rik	1
turquoise	1700020N01Rik	1
green	1700020N15Rik	5
turquoise	1700021A07Rik	1
grey60	1700021F05Rik	17
black	1700021F07Rik	7
