Color	Gene	Number
thistle3	0610005G16Rik	79
plum3	0610005I03Rik	78
darkturquoise	0610006F12Rik	23
cyan	0610007P14Rik	14
plum	0610008A24Rik	67
yellow	0610009B22Rik	4
plum3	0610009I12Rik	78
yellow	0610009L18Rik	4
skyblue1	0610009O20Rik	66
turquoise	0610010F05Rik	1
darkolivegreen	0610010K14Rik	33
turquoise	0610011F06Rik	1
darkolivegreen4	0610012G03Rik	74
brown	0610025J13Rik	3
darkviolet	0610030E20Rik	77
yellowgreen	0610037L13Rik	36
darkgrey	0610040B10Rik	24
mediumorchid	0610040J01Rik	63
pink	1010001N08Rik	8
lightcoral	1110001J03Rik	71
yellow	1110002L01Rik	4
midnightblue	1110004E09Rik	15
darkturquoise	1110004F10Rik	23
lightyellow	1110006O24Rik	19
greenyellow	1110007C09Rik	11
turquoise	1110008E08Rik	1
turquoise	1110008F13Rik	1
red	1110008L16Rik	6
greenyellow	1110008P14Rik	11
magenta	1110012L19Rik	9
pink	1110017D15Rik	8
blue	1110020A21Rik	2
turquoise	1110020C17Rik	1
bisque4	1110032A03Rik	47
salmon	1110034G24Rik	13
blue	1110037F02Rik	2
palevioletred2	1110038F14Rik	82
tan	1110051M20Rik	12
brown2	1110057K04Rik	75
yellow	1110058L19Rik	4
blue	1110059E24Rik	2
honeydew1	1110059G10Rik	58
blue	1110065P20Rik	2
violet	1190002N15Rik	32
black	1190005I06Rik	7
turquoise	1190007I07Rik	1
turquoise	1190028D05Rik	1
blue	1200007C13Rik	2
blue	1200014J11Rik	2
mediumpurple3	1200016E24Rik	40
turquoise	1300017J02Rik	1
cyan	1500011B03Rik	14
lightgreen	1500011K16Rik	18
lightcyan	1500012K07Rik	16
blue	1500015L24Rik	2
black	1500015O10Rik	7
blue	1500026H17Rik	2
blue	1500035N22Rik	2
lightcyan	1520401A03Rik	16
turquoise	1600002D24Rik	1
navajowhite1	1600002H07Rik	83
greenyellow	1600002K03Rik	11
turquoise	1600012H06Rik	1
yellow	1600012P17Rik	4
tan	1600014C10Rik	12
firebrick4	1600014C23Rik	73
brown4	1600014K23Rik	46
salmon	1600020E01Rik	13
turquoise	1600022D10Rik	1
magenta	1600025M17Rik	9
lightgreen	1600029I14Rik	18
magenta	1600029O10Rik	9
lightcyan	1700001C02Rik	16
salmon	1700001C19Rik	13
greenyellow	1700001F09Rik	11
blue	1700001G17Rik	2
brown4	1700001J03Rik	46
red	1700001K19Rik	6
black	1700001K23Rik	7
blue2	1700001L05Rik	76
plum1	1700001L19Rik	38
sienna3	1700001O22Rik	35
tan	1700001P01Rik	12
