Color	Gene	Number
brown	0610007P14Rik	3
turquoise	0610009B22Rik	1
darkred	0610009L18Rik	21
darkgreen	0610009O20Rik	22
brown	0610010F05Rik	3
magenta	0610010K14Rik	9
yellowgreen	0610011F06Rik	36
turquoise	0610012G03Rik	1
darkturquoise	0610030E20Rik	23
royalblue	0610037L13Rik	20
brown	0610040J01Rik	3
turquoise	1110001J03Rik	1
orangered4	1110002E22Rik	39
brown	1110004E09Rik	3
brown	1110004F10Rik	3
turquoise	1110008F13Rik	1
blue	1110008L16Rik	2
turquoise	1110008P14Rik	1
turquoise	1110012L19Rik	1
turquoise	1110017D15Rik	1
turquoise	1110032A03Rik	1
sienna3	1110032F04Rik	35
grey60	1110034G24Rik	17
salmon	1110037F02Rik	13
magenta	1110038F14Rik	9
black	1110051M20Rik	7
brown	1110059E24Rik	3
magenta	1110059G10Rik	9
brown	1110065P20Rik	3
darkred	1190002N15Rik	21
brown	1190003K10Rik	3
white	1190005I06Rik	27
turquoise	1190007I07Rik	1
blue	1300017J02Rik	2
white	1500009C09Rik	27
brown	1500009L16Rik	3
darkred	1500011B03Rik	21
brown	1500011K16Rik	3
turquoise	1500015O10Rik	1
yellow	1520401A03Rik	4
orange	1600002H07Rik	25
brown	1600002K03Rik	3
brown	1600012H06Rik	3
turquoise	1600014C10Rik	1
turquoise	1600014C23Rik	1
yellow	1600015I10Rik	4
greenyellow	1600029O15Rik	11
turquoise	1700001C02Rik	1
blue	1700001C19Rik	2
brown	1700001F09Rik	3
turquoise	1700001J03Rik	1
blue	1700001J11Rik	2
saddlebrown	1700001K19Rik	29
red	1700001L19Rik	6
green	1700001O22Rik	5
yellow	1700001P01Rik	4
plum1	1700003E16Rik	38
yellow	1700003F12Rik	4
blue	1700003N22Rik	2
yellow	1700006E09Rik	4
blue	1700007B14Rik	2
green	1700007E05Rik	5
black	1700007G11Rik	7
brown	1700007K09Rik	3
black	1700007K13Rik	7
green	1700008O03Rik	5
blue	1700009N14Rik	2
yellow	1700010B08Rik	4
black	1700010I14Rik	7
cyan	1700010N08Rik	14
turquoise	1700011E24Rik	1
yellow	1700011H14Rik	4
darkred	1700011I03Rik	21
yellow	1700011L22Rik	4
yellow	1700011M02Rik	4
blue	1700012B09Rik	2
blue	1700012L04Rik	2
midnightblue	1700013F07Rik	15
green	1700013H16Rik	5
skyblue3	1700014D04Rik	37
blue	1700015E13Rik	2
turquoise	1700015F17Rik	1
turquoise	1700015G11Rik	1
yellow	1700016C15Rik	4
blue	1700016D06Rik	2
brown	1700016H13Rik	3
sienna3	1700016K19Rik	35
turquoise	1700017B05Rik	1
yellow	1700017D01Rik	4
turquoise	1700017N19Rik	1
blue	1700018B08Rik	2
purple	1700018C11Rik	10
salmon	1700018M17Rik	13
green	1700019A02Rik	5
yellow	1700019B03Rik	4
lightyellow	1700019D03Rik	19
yellow	1700019N19Rik	4
darkorange	1700019O17Rik	26
blue	1700020A23Rik	2
blue	1700020D05Rik	2
turquoise	1700020L24Rik	1
turquoise	1700020N01Rik	1
brown	1700021F05Rik	3
black	1700021F07Rik	7
blue	1700022I11Rik	2
black	1700023F06Rik	7
pink	1700024B05Rik	8
turquoise	1700024G13Rik	1
brown	1700024J04Rik	3
red	1700024P16Rik	6
red	1700025B11Rik	6
yellow	1700025C18Rik	4
greenyellow	1700025G04Rik	11
purple	1700028B04Rik	10
tan	1700028J19Rik	12
blue	1700028K03Rik	2
black	1700028P14Rik	7
midnightblue	1700029F12Rik	15
yellow	1700029H14Rik	4
darkmagenta	1700029I15Rik	34
darkgreen	1700029J07Rik	22
yellow	1700029P11Rik	4
yellow	1700030C10Rik	4
blue	1700030J22Rik	2
green	1700030K09Rik	5
blue	1700031M16Rik	2
blue	1700034I23Rik	2
blue	1700034J05Rik	2
brown	1700037C18Rik	3
ivory	1700037H04Rik	43
green	1700039E15Rik	5
brown	1700040L02Rik	3
black	1700047I17rik2	7
turquoise	1700048O20Rik	1
turquoise	1700049E17rik1	1
pink	1700049E17rik2	8
purple	1700049G17Rik	10
pink	1700056E22Rik	8
blue	1700057G04Rik	2
brown	1700061G19Rik	3
brown	1700063K16Rik	3
blue	1700064H15Rik	2
red	1700065I16Rik	6
darkmagenta	1700066B19Rik	34
brown	1700066M21Rik	3
turquoise	1700067K01Rik	1
blue	1700067P10Rik	2
brown	1700069L16Rik	3
blue	1700071K01Rik	2
yellow	1700073E17Rik	4
yellow	1700080E11Rik	4
yellow	1700084J12Rik	4
yellow	1700086D15Rik	4
blue	1700086L19Rik	2
red	1700088E04Rik	6
yellow	1700092M07Rik	4
salmon	1700093K21Rik	13
turquoise	1700102P08Rik	1
blue	1700109H08Rik	2
pink	1700112E06Rik	8
yellow	1700113H08Rik	4
brown	1700123I01Rik	3
yellow	1700123K08Rik	4
mediumpurple3	1700123L14Rik	40
turquoise	1700123O20Rik	1
turquoise	1700125H20Rik	1
