Color	Gene	Number
darkturquoise	0610007P14Rik	23
turquoise	0610009B22Rik	1
turquoise	0610009L18Rik	1
yellow	0610009O20Rik	4
purple	0610010F05Rik	10
yellow	0610010K14Rik	4
yellow	0610011F06Rik	4
honeydew1	0610012G03Rik	58
blue	0610030E20Rik	2
black	0610037L13Rik	7
green	0610040J01Rik	5
turquoise	1110001J03Rik	1
brown	1110002E22Rik	3
red	1110004E09Rik	6
turquoise	1110004F10Rik	1
turquoise	1110008F13Rik	1
purple	1110008L16Rik	10
yellow	1110008P14Rik	4
turquoise	1110012L19Rik	1
red	1110017D15Rik	6
blue	1110032A03Rik	2
saddlebrown	1110032F04Rik	29
turquoise	1110034G24Rik	1
blue	1110037F02Rik	2
yellow	1110038F14Rik	4
yellow	1110051M20Rik	4
turquoise	1110059E24Rik	1
turquoise	1110059G10Rik	1
red	1110065P20Rik	6
tan	1190002N15Rik	12
red	1190005I06Rik	6
paleturquoise	1190007I07Rik	31
magenta	1300017J02Rik	9
yellow	1500009C09Rik	4
turquoise	1500009L16Rik	1
yellow	1500011B03Rik	4
turquoise	1500011K16Rik	1
turquoise	1500015O10Rik	1
black	1520401A03Rik	7
turquoise	1600002H07Rik	1
turquoise	1600002K03Rik	1
turquoise	1600012H06Rik	1
royalblue	1600014C10Rik	20
paleturquoise	1600014C23Rik	31
brown4	1600015I10Rik	46
lavenderblush3	1600029O15Rik	57
cyan	1700001C02Rik	14
magenta	1700001C19Rik	9
lightpink4	1700001F09Rik	56
black	1700001J03Rik	7
plum	1700001J11Rik	67
pink	1700001K19Rik	8
turquoise	1700001L19Rik	1
yellow	1700001O22Rik	4
lightyellow	1700001P01Rik	19
lightcyan	1700003E16Rik	16
lightcyan	1700003F12Rik	16
pink	1700003N22Rik	8
turquoise	1700006E09Rik	1
purple	1700007B14Rik	10
black	1700007E05Rik	7
red	1700007G11Rik	6
skyblue	1700007K09Rik	28
yellow	1700007K13Rik	4
lightyellow	1700008O03Rik	19
red	1700010B08Rik	6
tan	1700010I14Rik	12
darkmagenta	1700010N08Rik	34
salmon	1700011E24Rik	13
turquoise	1700011H14Rik	1
midnightblue	1700011I03Rik	15
turquoise	1700011L22Rik	1
blue	1700011M02Rik	2
turquoise	1700012B09Rik	1
green	1700012L04Rik	5
darkred	1700012P22Rik	21
yellow	1700013F07Rik	4
blue	1700013H16Rik	2
darkmagenta	1700014D04Rik	34
brown	1700015E13Rik	3
turquoise	1700015F17Rik	1
darkmagenta	1700015G11Rik	34
lightcyan	1700016C15Rik	16
green	1700016D06Rik	5
darkred	1700016H13Rik	21
black	1700016K19Rik	7
brown	1700017B05Rik	3
midnightblue	1700017D01Rik	15
skyblue1	1700017N19Rik	66
green	1700018B08Rik	5
darkolivegreen	1700018C11Rik	33
darkorange2	1700018M17Rik	45
blue	1700019A02Rik	2
brown	1700019B03Rik	3
tan	1700019D03Rik	12
floralwhite	1700019N19Rik	44
red	1700019O17Rik	6
thistle1	1700020A23Rik	51
orange	1700020D05Rik	25
firebrick4	1700020L24Rik	73
pink	1700020N01Rik	8
yellow	1700021F05Rik	4
green	1700022I11Rik	5
yellow	1700023F06Rik	4
blue	1700024B05Rik	2
turquoise	1700024G13Rik	1
yellow	1700024J04Rik	4
