Color	Gene	Number
brown	0610007P14Rik	3
black	0610009B22Rik	7
brown	0610009L18Rik	3
cyan	0610009O20Rik	14
purple	0610010F05Rik	10
brown	0610010K14Rik	3
brown	0610011F06Rik	3
brown	0610012G03Rik	3
red	0610030E20Rik	6
red	0610037L13Rik	6
brown	0610040J01Rik	3
brown	1110001J03Rik	3
pink	1110002E22Rik	8
brown	1110004E09Rik	3
black	1110004F10Rik	7
brown	1110008F13Rik	3
black	1110008L16Rik	7
brown	1110008P14Rik	3
brown	1110012L19Rik	3
blue	1110017D15Rik	2
brown	1110032A03Rik	3
magenta	1110032F04Rik	9
brown	1110034G24Rik	3
green	1110037F02Rik	5
brown	1110038F14Rik	3
brown	1110051M20Rik	3
plum1	1110059E24Rik	38
plum1	1110059G10Rik	38
brown	1110065P20Rik	3
green	1190002N15Rik	5
brown	1190003K10Rik	3
brown	1190005I06Rik	3
red	1190007I07Rik	6
turquoise	1300017J02Rik	1
blue	1500009C09Rik	2
brown	1500009L16Rik	3
brown	1500011B03Rik	3
brown	1500011K16Rik	3
greenyellow	1500015O10Rik	11
red	1520401A03Rik	6
red	1600002H07Rik	6
red	1600002K03Rik	6
black	1600012H06Rik	7
brown	1600014C10Rik	3
brown	1600014C23Rik	3
brown	1600015I10Rik	3
turquoise	1600029O15Rik	1
blue	1700001C02Rik	2
turquoise	1700001C19Rik	1
yellow	1700001F09Rik	4
turquoise	1700001J03Rik	1
yellow	1700001J11Rik	4
turquoise	1700001K19Rik	1
blue	1700001L19Rik	2
brown	1700001O22Rik	3
turquoise	1700001P01Rik	1
blue	1700003E16Rik	2
turquoise	1700003F12Rik	1
yellow	1700003N22Rik	4
turquoise	1700006E09Rik	1
black	1700007B14Rik	7
turquoise	1700007E05Rik	1
black	1700007G11Rik	7
turquoise	1700007K09Rik	1
greenyellow	1700007K13Rik	11
red	1700008O03Rik	6
yellow	1700010B08Rik	4
blue	1700010I14Rik	2
black	1700011E24Rik	7
turquoise	1700011H14Rik	1
brown	1700011I03Rik	3
turquoise	1700011L22Rik	1
turquoise	1700011M02Rik	1
green	1700012B07Rik	5
brown	1700012B09Rik	3
brown	1700012L04Rik	3
yellow	1700012P22Rik	4
pink	1700013D24Rik	8
greenyellow	1700013F07Rik	11
yellow	1700013H16Rik	4
blue	1700014D04Rik	2
turquoise	1700015E13Rik	1
turquoise	1700015F17Rik	1
brown	1700015G11Rik	3
turquoise	1700016C15Rik	1
turquoise	1700016D06Rik	1
yellow	1700016H13Rik	4
greenyellow	1700016K19Rik	11
blue	1700017B05Rik	2
blue	1700017D01Rik	2
black	1700017N19Rik	7
pink	1700018B08Rik	8
turquoise	1700018C11Rik	1
turquoise	1700018M17Rik	1
turquoise	1700019A02Rik	1
black	1700019B03Rik	7
purple	1700019D03Rik	10
pink	1700019N19Rik	8
yellow	1700019O17Rik	4
turquoise	1700020A23Rik	1
turquoise	1700020D05Rik	1
blue	1700020L24Rik	2
pink	1700020N01Rik	8
brown	1700021F05Rik	3
blue	1700021F07Rik	2
turquoise	1700022I11Rik	1
