Color	Gene	Number
darkgreen	0610007P14Rik	22
blue	0610009B22Rik	2
blue	0610009L18Rik	2
lightcyan	0610009O20Rik	16
greenyellow	0610010F05Rik	11
blue	0610010K14Rik	2
blue	0610011F06Rik	2
tan	0610012G03Rik	12
turquoise	0610030E20Rik	1
turquoise	0610037L13Rik	1
blue	0610040J01Rik	2
blue	1110001J03Rik	2
pink	1110002E22Rik	8
tan	1110004E09Rik	12
tan	1110004F10Rik	12
blue	1110008F13Rik	2
blue	1110008L16Rik	2
tan	1110008P14Rik	12
blue	1110012L19Rik	2
blue	1110017D15Rik	2
blue	1110032A03Rik	2
yellow	1110032F04Rik	4
blue	1110034G24Rik	2
turquoise	1110037F02Rik	1
tan	1110038F14Rik	12
blue	1110051M20Rik	2
blue	1110059E24Rik	2
darkturquoise	1110059G10Rik	23
blue	1110065P20Rik	2
turquoise	1190002N15Rik	1
green	1190003K10Rik	5
blue	1190005I06Rik	2
yellow	1190007I07Rik	4
turquoise	1300017J02Rik	1
blue	1500009C09Rik	2
tan	1500009L16Rik	12
tan	1500011B03Rik	12
blue	1500011K16Rik	2
lightcyan	1500015O10Rik	16
turquoise	1520401A03Rik	1
turquoise	1600002H07Rik	1
blue	1600002K03Rik	2
turquoise	1600012H06Rik	1
magenta	1600014C10Rik	9
yellow	1600014C23Rik	4
blue	1600015I10Rik	2
pink	1600029O15Rik	8
blue	1700001C02Rik	2
blue	1700001C19Rik	2
turquoise	1700001J03Rik	1
turquoise	1700001J11Rik	1
turquoise	1700001K19Rik	1
yellow	1700001L19Rik	4
yellow	1700001O22Rik	4
turquoise	1700001P01Rik	1
yellow	1700003E16Rik	4
yellow	1700003F12Rik	4
green	1700003N22Rik	5
red	1700006E09Rik	6
blue	1700007B14Rik	2
turquoise	1700007E05Rik	1
blue	1700007G11Rik	2
blue	1700007K09Rik	2
blue	1700007K13Rik	2
brown	1700008O03Rik	3
red	1700009N14Rik	6
purple	1700010B08Rik	10
blue	1700010I14Rik	2
green	1700011E24Rik	5
turquoise	1700011H14Rik	1
turquoise	1700011I03Rik	1
blue	1700011L22Rik	2
turquoise	1700011M02Rik	1
purple	1700012A03Rik	10
purple	1700012B07Rik	10
brown	1700012B09Rik	3
turquoise	1700012L04Rik	1
cyan	1700012P22Rik	14
pink	1700013F07Rik	8
blue	1700013H16Rik	2
yellow	1700014D04Rik	4
turquoise	1700015E13Rik	1
pink	1700015F17Rik	8
green	1700015G11Rik	5
turquoise	1700016C15Rik	1
turquoise	1700016D06Rik	1
green	1700016H13Rik	5
yellow	1700016K19Rik	4
blue	1700017B05Rik	2
green	1700017D01Rik	5
green	1700017N19Rik	5
cyan	1700018B08Rik	14
green	1700018C11Rik	5
blue	1700018M17Rik	2
turquoise	1700019A02Rik	1
salmon	1700019B03Rik	13
greenyellow	1700019D03Rik	11
green	1700019N19Rik	5
blue	1700019O17Rik	2
turquoise	1700020A23Rik	1
turquoise	1700020D05Rik	1
brown	1700020L24Rik	3
green	1700020N01Rik	5
blue	1700021F05Rik	2
green	1700021F07Rik	5
turquoise	1700022I11Rik	1
darkred	1700023F06Rik	21
green	1700024B05Rik	5
brown	1700024G13Rik	3
turquoise	1700024J04Rik	1
yellow	1700024P16Rik	4
purple	1700025C18Rik	10
turquoise	1700025G04Rik	1
greenyellow	1700028B04Rik	11
pink	1700028J19Rik	8
turquoise	1700028K03Rik	1
turquoise	1700028P14Rik	1
green	1700029F12Rik	5
red	1700029H14Rik	6
turquoise	1700029I15Rik	1
turquoise	1700029J07Rik	1
purple	1700029P11Rik	10
pink	1700030C10Rik	8
pink	1700030J22Rik	8
white	1700030K09Rik	27
turquoise	1700034I23Rik	1
pink	1700034J05Rik	8
purple	1700034O15Rik	10
tan	1700037C18Rik	12
blue	1700037H04Rik	2
pink	1700039E15Rik	8
blue	1700040L02Rik	2
brown	1700047I17rik2	3
turquoise	1700048O20Rik	1
blue	1700049E17rik1	2
blue	1700049E17rik2	2
turquoise	1700049G17Rik	1
lightcyan	1700056E22Rik	16
turquoise	1700057G04Rik	1
pink	1700061G19Rik	8
cyan	1700063K16Rik	14
blue	1700064H15Rik	2
purple	1700065I16Rik	10
turquoise	1700066B19Rik	1
tan	1700066M21Rik	12
turquoise	1700067K01Rik	1
cyan	1700067P10Rik	14
turquoise	1700069L16Rik	1
green	1700071K01Rik	5
green	1700073E17Rik	5
red	1700084J12Rik	6
purple	1700084M14Rik	10
green	1700086D15Rik	5
yellow	1700086L19Rik	4
blue	1700088E04Rik	2
green	1700092M07Rik	5
turquoise	1700093K21Rik	1
turquoise	1700102P08Rik	1
turquoise	1700109H08Rik	1
brown	1700112E06Rik	3
blue	1700113H08Rik	2
blue	1700123I01Rik	2
turquoise	1700123K08Rik	1
brown	1700123L14Rik	3
blue	1700123O20Rik	2
blue	1700125H20Rik	2
turquoise	1700128F08Rik	1
cyan	1700129C05Rik	14
blue	1810009A15Rik	2
lightcyan	1810010H24Rik	16
blue	1810011H11Rik	2
blue	1810011O10Rik	2
black	1810013L24Rik	7
turquoise	1810018F18Rik	1
blue	1810022K09Rik	2
blue	1810024B03Rik	2
brown	1810026J23Rik	3
turquoise	1810030O07Rik	1
turquoise	1810032O08Rik	1
blue	1810037I17Rik	2
yellow	1810041L15Rik	4
tan	1810043G02Rik	12
tan	1810043H04Rik	12
pink	1810046K07Rik	8
greenyellow	1810049J17Rik	11
pink	1810055G02Rik	8
turquoise	1810062G17Rik	1
turquoise	2010001K21Rik	1
red	2010003K11Rik	6
blue	2010005H15Rik	2
turquoise	2010010A06Rik	1
green	2010106E10Rik	5
blue	2010107E04Rik	2
turquoise	2010107G12Rik	1
darkturquoise	2010107G23Rik	23
turquoise	2010109A12Rik	1
turquoise	2010109I03Rik	1
greenyellow	2010111I01Rik	11
yellow	2010300C02Rik	4
turquoise	2010315B03Rik	1
blue	2200002D01Rik	2
red	2200002J24Rik	6
turquoise	2210010C04Rik	1
brown	2210011C24Rik	3
blue	2210013O21Rik	2
blue	2210016F16Rik	2
blue	2210016L21Rik	2
green	2210017I01Rik	5
turquoise	2210404O09Rik	1
