Color	Gene	Number
grey	0610007P14Rik	0
grey	0610009B22Rik	0
grey	0610009O20Rik	0
grey	0610010F05Rik	0
grey	0610010K14Rik	0
grey	0610011F06Rik	0
grey	0610012G03Rik	0
grey	0610030E20Rik	0
grey	0610037L13Rik	0
grey	0610040J01Rik	0
grey	1110001J03Rik	0
grey	1110004E09Rik	0
turquoise	1110004F10Rik	1
grey	1110008F13Rik	0
turquoise	1110008L16Rik	1
grey	1110008P14Rik	0
turquoise	1110012L19Rik	1
turquoise	1110032A03Rik	1
grey	1110034G24Rik	0
grey	1110037F02Rik	0
grey	1110038F14Rik	0
turquoise	1110051M20Rik	1
grey	1110059E24Rik	0
grey	1110059G10Rik	0
grey	1110065P20Rik	0
turquoise	1190002N15Rik	1
turquoise	1190005I06Rik	1
grey	1190007I07Rik	0
grey	1300017J02Rik	0
grey	1500009C09Rik	0
turquoise	1500009L16Rik	1
grey	1500011B03Rik	0
turquoise	1500011K16Rik	1
grey	1500015O10Rik	0
grey	1600002H07Rik	0
grey	1600012H06Rik	0
turquoise	1600014C10Rik	1
grey	1600029O15Rik	0
grey	1700001C19Rik	0
grey	1700001J11Rik	0
grey	1700007E05Rik	0
grey	1700008O03Rik	0
turquoise	1700013F07Rik	1
grey	1700016D06Rik	0
turquoise	1700017B05Rik	1
grey	1700017D01Rik	0
grey	1700019D03Rik	0
grey	1700021F05Rik	0
turquoise	1700022I11Rik	1
grey	1700024J04Rik	0
grey	1700025G04Rik	0
grey	1700028B04Rik	0
grey	1700028J19Rik	0
grey	1700029J07Rik	0
turquoise	1700030K09Rik	1
grey	1700037C18Rik	0
grey	1700037H04Rik	0
turquoise	1700047I17rik2	1
grey	1700048O20Rik	0
grey	1700049G17Rik	0
grey	1700066M21Rik	0
blue	1700084J12Rik	2
grey	1700086L19Rik	0
grey	1700088E04Rik	0
grey	1700109H08Rik	0
grey	1700123O20Rik	0
grey	1700128F08Rik	0
grey	1810009A15Rik	0
turquoise	1810010H24Rik	1
turquoise	1810011O10Rik	1
grey	1810013L24Rik	0
turquoise	1810022K09Rik	1
turquoise	1810024B03Rik	1
grey	1810026J23Rik	0
grey	1810030O07Rik	0
turquoise	1810032O08Rik	1
grey	1810037I17Rik	0
grey	1810041L15Rik	0
grey	1810043G02Rik	0
grey	1810043H04Rik	0
grey	1810055G02Rik	0
grey	2010107E04Rik	0
grey	2010107G23Rik	0
grey	2010109I03Rik	0
grey	2010111I01Rik	0
grey	2010300C02Rik	0
grey	2010315B03Rik	0
grey	2200002D01Rik	0
grey	2210013O21Rik	0
grey	2210016F16Rik	0
grey	2210016L21Rik	0
grey	2210017I01Rik	0
grey	2210404O09Rik	0
grey	2210418O10Rik	0
grey	2300009A05Rik	0
grey	2310009B15Rik	0
grey	2310011J03Rik	0
grey	2310022A10Rik	0
grey	2310022B05Rik	0
turquoise	2310033P09Rik	1
grey	2310035C23Rik	0
grey	2310036O22Rik	0
grey	2310057M21Rik	0
grey	2310061I04Rik	0
grey	2410002F23Rik	0
grey	2410004B18Rik	0
grey	2410004P03Rik	0
turquoise	2410015M20Rik	1
grey	2410024N13Rik	0
grey	2410089E03Rik	0
grey	2410131K14Rik	0
grey	2410141K09Rik	0
grey	2510002D24Rik	0
grey	2510009E07Rik	0
turquoise	2510039O18Rik	1
grey	2610001J05Rik	0
grey	2610002M06Rik	0
grey	2610005L07Rik	0
grey	2610008E11Rik	0
turquoise	2610020H08Rik	1
grey	2610021A01Rik	0
grey	2610044O15rik8	0
grey	2610301B20Rik	0
turquoise	2610305D13Rik	1
grey	2610507B11Rik	0
grey	2610524H06Rik	0
grey	2700029M09Rik	0
grey	2700049A03Rik	0
