Color	Gene	Number
turquoise	0610007P14Rik	1
turquoise	0610009B22Rik	1
turquoise	0610009L18Rik	1
pink	0610009O20Rik	8
blue	0610010F05Rik	2
lightyellow	0610010K14Rik	19
turquoise	0610011F06Rik	1
turquoise	0610012G03Rik	1
brown	0610030E20Rik	3
darkorange	0610037L13Rik	26
turquoise	0610040J01Rik	1
turquoise	1110001J03Rik	1
green	1110002E22Rik	5
turquoise	1110004E09Rik	1
turquoise	1110004F10Rik	1
turquoise	1110008F13Rik	1
blue	1110008L16Rik	2
turquoise	1110008P14Rik	1
turquoise	1110012L19Rik	1
salmon	1110017D15Rik	13
blue	1110032A03Rik	2
turquoise	1110032F04Rik	1
turquoise	1110034G24Rik	1
brown	1110037F02Rik	3
turquoise	1110038F14Rik	1
turquoise	1110051M20Rik	1
blue	1110059E24Rik	2
blue	1110059G10Rik	2
turquoise	1110065P20Rik	1
blue	1190002N15Rik	2
turquoise	1190003K10Rik	1
darkorange	1190005I06Rik	26
lightyellow	1190007I07Rik	19
yellow	1300017J02Rik	4
turquoise	1500009C09Rik	1
turquoise	1500009L16Rik	1
turquoise	1500011B03Rik	1
turquoise	1500011K16Rik	1
brown	1500015O10Rik	3
cyan	1520401A03Rik	14
turquoise	1600002H07Rik	1
turquoise	1600002K03Rik	1
turquoise	1600012H06Rik	1
blue	1600014C10Rik	2
turquoise	1600014C23Rik	1
brown	1600015I10Rik	3
turquoise	1600029O15Rik	1
brown	1700001C02Rik	3
turquoise	1700001C19Rik	1
brown	1700001J03Rik	3
brown	1700001J11Rik	3
brown	1700001K19Rik	3
turquoise	1700001L19Rik	1
turquoise	1700001O22Rik	1
brown	1700001P01Rik	3
turquoise	1700003E16Rik	1
yellow	1700003F12Rik	4
turquoise	1700003N22Rik	1
yellow	1700006E09Rik	4
turquoise	1700007B14Rik	1
blue	1700007E05Rik	2
turquoise	1700007G11Rik	1
turquoise	1700007K09Rik	1
turquoise	1700007K13Rik	1
turquoise	1700008O03Rik	1
blue	1700009N14Rik	2
turquoise	1700010B08Rik	1
turquoise	1700010I14Rik	1
turquoise	1700010N08Rik	1
turquoise	1700011E24Rik	1
turquoise	1700011H14Rik	1
orange	1700011I03Rik	25
turquoise	1700011L22Rik	1
turquoise	1700011M02Rik	1
turquoise	1700012B07Rik	1
brown	1700012B09Rik	3
brown	1700012L04Rik	3
midnightblue	1700013D24Rik	15
black	1700013F07Rik	7
turquoise	1700013H16Rik	1
purple	1700014D04Rik	10
yellow	1700015E13Rik	4
turquoise	1700015F17Rik	1
magenta	1700015G11Rik	9
brown	1700016C15Rik	3
brown	1700016D06Rik	3
turquoise	1700016H13Rik	1
turquoise	1700016K19Rik	1
blue	1700017B05Rik	2
turquoise	1700017D01Rik	1
blue	1700017N19Rik	2
turquoise	1700018B08Rik	1
blue	1700018C11Rik	2
turquoise	1700018F24Rik	1
turquoise	1700018M17Rik	1
turquoise	1700019A02Rik	1
yellow	1700019B03Rik	4
tan	1700019D03Rik	12
brown	1700019N19Rik	3
turquoise	1700019O17Rik	1
yellow	1700020A23Rik	4
brown	1700020D05Rik	3
lightyellow	1700020L24Rik	19
turquoise	1700020N01Rik	1
blue	1700021F05Rik	2
brown	1700021F07Rik	3
turquoise	1700022I11Rik	1
turquoise	1700023F06Rik	1
blue	1700024B05Rik	2
brown	1700024G13Rik	3
purple	1700024J04Rik	10
blue	1700024P16Rik	2
brown	1700025C18Rik	3
darkred	1700025G04Rik	21
brown	1700028B04Rik	3
turquoise	1700028J19Rik	1
blue	1700028K03Rik	2
turquoise	1700028P14Rik	1
brown	1700029F12Rik	3
yellow	1700029H14Rik	4
yellow	1700029I15Rik	4
brown	1700029J07Rik	3
turquoise	1700029P11Rik	1
turquoise	1700030C10Rik	1
darkred	1700030J22Rik	21
turquoise	1700030K09Rik	1
blue	1700031M16Rik	2
red	1700034E13Rik	6
turquoise	1700034I23Rik	1
yellow	1700034J05Rik	4
midnightblue	1700034O15Rik	15
turquoise	1700037C18Rik	1
lightyellow	1700037H04Rik	19
turquoise	1700039E15Rik	1
black	1700040L02Rik	7
turquoise	1700047I17rik2	1
turquoise	1700048O20Rik	1
brown	1700049E17rik2	3
brown	1700049G17Rik	3
cyan	1700056E22Rik	14
brown	1700057G04Rik	3
turquoise	1700061G19Rik	1
brown	1700063K16Rik	3
turquoise	1700064H15Rik	1
yellow	1700066B19Rik	4
blue	1700066M21Rik	2
turquoise	1700067K01Rik	1
blue	1700067P10Rik	2
turquoise	1700069L16Rik	1
brown	1700071K01Rik	3
brown	1700073E17Rik	3
turquoise	1700080E11Rik	1
blue	1700084J12Rik	2
turquoise	1700084M14Rik	1
brown	1700086D15Rik	3
greenyellow	1700086L19Rik	11
lightyellow	1700088E04Rik	19
red	1700091H14Rik	6
yellow	1700092M07Rik	4
turquoise	1700093K21Rik	1
blue	1700102P08Rik	2
brown	1700109H08Rik	3
blue	1700112E06Rik	2
turquoise	1700113H08Rik	1
turquoise	1700123I01Rik	1
turquoise	1700123K08Rik	1
turquoise	1700123L14Rik	1
turquoise	1700123O20Rik	1
turquoise	1700125H20Rik	1
brown	1700128F08Rik	3
red	1700129C05Rik	6
turquoise	1810009A15Rik	1
turquoise	1810010H24Rik	1
blue	1810011H11Rik	2
brown	1810011O10Rik	3
brown	1810013L24Rik	3
blue	1810018F18Rik	2
turquoise	1810022K09Rik	1
blue	1810024B03Rik	2
grey60	1810026J23Rik	17
darkgreen	1810030O07Rik	22
turquoise	1810032O08Rik	1
turquoise	1810037I17Rik	1
green	1810041L15Rik	5
turquoise	1810043G02Rik	1
turquoise	1810043H04Rik	1
turquoise	1810046K07Rik	1
cyan	1810049J17Rik	14
turquoise	1810055G02Rik	1
yellow	1810062G17Rik	4
salmon	2010001K21Rik	13
turquoise	2010003K11Rik	1
brown	2010005H15Rik	3
brown	2010010A06Rik	3
brown	2010106E10Rik	3
turquoise	2010107E04Rik	1
yellow	2010107G12Rik	4
turquoise	2010107G23Rik	1
turquoise	2010109A12Rik	1
