Color	Gene	Number
green	0610007P14Rik	5
green	0610009B22Rik	5
turquoise	0610009L18Rik	1
greenyellow	0610009O20Rik	11
darkred	0610010F05Rik	21
black	0610010K14Rik	7
turquoise	0610011F06Rik	1
turquoise	0610012G03Rik	1
salmon	0610030E20Rik	13
blue	0610037L13Rik	2
turquoise	0610040J01Rik	1
turquoise	1110001J03Rik	1
red	1110002E22Rik	6
turquoise	1110004E09Rik	1
green	1110004F10Rik	5
green	1110008F13Rik	5
green	1110008L16Rik	5
skyblue3	1110008P14Rik	37
green	1110012L19Rik	5
darkgreen	1110017D15Rik	22
turquoise	1110032A03Rik	1
bisque4	1110032F04Rik	47
turquoise	1110034G24Rik	1
brown	1110037F02Rik	3
turquoise	1110038F14Rik	1
turquoise	1110051M20Rik	1
green	1110059E24Rik	5
green	1110059G10Rik	5
turquoise	1110065P20Rik	1
salmon4	1190002N15Rik	52
turquoise	1190003K10Rik	1
turquoise	1190005I06Rik	1
turquoise	1190007I07Rik	1
brown4	1300017J02Rik	46
turquoise	1500009C09Rik	1
green	1500009L16Rik	5
turquoise	1500011B03Rik	1
turquoise	1500011K16Rik	1
cyan	1500015O10Rik	14
magenta	1520401A03Rik	9
blue	1600002H07Rik	2
turquoise	1600002K03Rik	1
grey60	1600012H06Rik	17
yellow	1600014C10Rik	4
turquoise	1600014C23Rik	1
turquoise	1600015I10Rik	1
red	1600029O15Rik	6
darkgreen	1700001C02Rik	22
brown	1700001C19Rik	3
turquoise	1700001J03Rik	1
purple	1700001J11Rik	10
purple	1700001K19Rik	10
maroon	1700001L19Rik	55
saddlebrown	1700001O22Rik	29
magenta	1700001P01Rik	9
darkmagenta	1700003E16Rik	34
magenta	1700003F12Rik	9
turquoise	1700003N22Rik	1
blue	1700006E09Rik	2
blue	1700007B14Rik	2
turquoise	1700007E05Rik	1
darkgreen	1700007G11Rik	22
blue	1700007K09Rik	2
darkgreen	1700007K13Rik	22
greenyellow	1700008O03Rik	11
pink	1700009N14Rik	8
turquoise	1700010B08Rik	1
turquoise	1700010I14Rik	1
blue	1700010N08Rik	2
cyan	1700011E24Rik	14
turquoise	1700011H14Rik	1
lightcyan	1700011I03Rik	16
brown	1700011L22Rik	3
turquoise	1700011M02Rik	1
darkgreen	1700012B09Rik	22
turquoise	1700012L04Rik	1
turquoise	1700012P22Rik	1
darkgreen	1700013F07Rik	22
turquoise	1700013H16Rik	1
lightgreen	1700014D04Rik	18
red	1700015E13Rik	6
blue	1700015F17Rik	2
brown	1700016C15Rik	3
magenta	1700016D06Rik	9
turquoise	1700016H13Rik	1
turquoise	1700016K19Rik	1
thistle1	1700017B05Rik	51
blue	1700017D01Rik	2
turquoise	1700017N19Rik	1
darkolivegreen	1700018B08Rik	33
darkgrey	1700018C11Rik	24
