Color	Gene	Number
lightsteelblue1	0610007P14Rik	41
blue	0610009B22Rik	2
blue	0610009L18Rik	2
lavenderblush3	0610009O20Rik	57
salmon4	0610010F05Rik	52
maroon	0610010K14Rik	55
blue	0610011F06Rik	2
blue	0610012G03Rik	2
black	0610030E20Rik	7
black	0610037L13Rik	7
lightgreen	0610040J01Rik	18
blue	1110001J03Rik	2
yellow	1110002E22Rik	4
grey60	1110004E09Rik	17
blue	1110004F10Rik	2
maroon	1110008F13Rik	55
blue	1110008L16Rik	2
brown4	1110008P14Rik	46
blue	1110012L19Rik	2
blue	1110017D15Rik	2
blue	1110032A03Rik	2
magenta	1110032F04Rik	9
blue	1110034G24Rik	2
green	1110037F02Rik	5
blue	1110038F14Rik	2
blue	1110051M20Rik	2
blue	1110059E24Rik	2
grey60	1110059G10Rik	17
blue	1110065P20Rik	2
steelblue	1190002N15Rik	30
turquoise	1190003K10Rik	1
blue	1190005I06Rik	2
blue	1190007I07Rik	2
tan	1300017J02Rik	12
blue	1500009C09Rik	2
grey60	1500009L16Rik	17
grey60	1500011B03Rik	17
blue	1500011K16Rik	2
darkorange2	1500015O10Rik	45
brown	1520401A03Rik	3
green	1600002H07Rik	5
blue	1600002K03Rik	2
tan	1600012H06Rik	12
darkorange2	1600014C10Rik	45
royalblue	1600014C23Rik	20
turquoise	1600015I10Rik	1
yellow	1600029O15Rik	4
red	1700001C02Rik	6
blue	1700001C19Rik	2
green	1700001J03Rik	5
brown	1700001J11Rik	3
brown	1700001K19Rik	3
magenta	1700001L19Rik	9
yellow	1700001O22Rik	4
brown	1700001P01Rik	3
magenta	1700003E16Rik	9
yellow	1700003F12Rik	4
turquoise	1700003N22Rik	1
turquoise	1700006E09Rik	1
blue	1700007B14Rik	2
brown	1700007E05Rik	3
blue	1700007G11Rik	2
blue	1700007K09Rik	2
blue	1700007K13Rik	2
black	1700008O03Rik	7
turquoise	1700009N14Rik	1
ivory	1700010B08Rik	43
blue	1700010I14Rik	2
turquoise	1700011E24Rik	1
turquoise	1700011H14Rik	1
green	1700011I03Rik	5
red	1700012B09Rik	6
turquoise	1700012L04Rik	1
turquoise	1700012P22Rik	1
yellow	1700013F07Rik	4
turquoise	1700013H16Rik	1
yellow	1700014D04Rik	4
black	1700015E13Rik	7
magenta	1700015F17Rik	9
turquoise	1700015G11Rik	1
brown	1700016C15Rik	3
brown	1700016D06Rik	3
turquoise	1700016H13Rik	1
yellow	1700016K19Rik	4
red	1700017B05Rik	6
turquoise	1700017D01Rik	1
greenyellow	1700017N19Rik	11
darkgreen	1700018B08Rik	22
turquoise	1700018C11Rik	1
turquoise	1700018M17Rik	1
brown	1700019A02Rik	3
cyan	1700019B03Rik	14
