Color	Gene	Number
brown	0610007P14Rik	3
brown	0610009B22Rik	3
pink	0610009L18Rik	8
blue	0610009O20Rik	2
red	0610010F05Rik	6
black	0610010K14Rik	7
black	0610011F06Rik	7
black	0610012G03Rik	7
salmon	0610030E20Rik	13
magenta	0610037L13Rik	9
purple	0610040J01Rik	10
steelblue	1110001J03Rik	30
greenyellow	1110002E22Rik	11
black	1110004E09Rik	7
black	1110004F10Rik	7
brown	1110008F13Rik	3
darkmagenta	1110008L16Rik	34
yellow	1110008P14Rik	4
brown	1110012L19Rik	3
magenta	1110017D15Rik	9
darkturquoise	1110032A03Rik	23
yellow	1110032F04Rik	4
brown	1110034G24Rik	3
turquoise	1110037F02Rik	1
black	1110038F14Rik	7
magenta	1110051M20Rik	9
brown	1110059E24Rik	3
green	1110059G10Rik	5
black	1110065P20Rik	7
green	1190002N15Rik	5
blue	1190003K10Rik	2
green	1190005I06Rik	5
turquoise	1190007I07Rik	1
turquoise	1300017J02Rik	1
black	1500009C09Rik	7
brown	1500009L16Rik	3
sienna3	1500011B03Rik	35
brown	1500011K16Rik	3
greenyellow	1500015O10Rik	11
lightgreen	1520401A03Rik	18
yellow	1600002H07Rik	4
magenta	1600002K03Rik	9
red	1600012H06Rik	6
yellow	1600014C10Rik	4
blue	1600014C23Rik	2
darkred	1600015I10Rik	21
greenyellow	1600029O15Rik	11
skyblue	1700001C02Rik	28
yellow	1700001C19Rik	4
turquoise	1700001F09Rik	1
green	1700001J03Rik	5
turquoise	1700001J11Rik	1
turquoise	1700001K19Rik	1
yellow	1700001L19Rik	4
darkmagenta	1700001O22Rik	34
lightgreen	1700001P01Rik	18
pink	1700003E16Rik	8
yellow	1700003F12Rik	4
brown	1700003N22Rik	3
turquoise	1700006E09Rik	1
green	1700007B14Rik	5
brown	1700007E05Rik	3
red	1700007G11Rik	6
brown	1700007K09Rik	3
pink	1700007K13Rik	8
turquoise	1700008O03Rik	1
green	1700009N14Rik	5
blue	1700010B08Rik	2
purple	1700010I14Rik	10
turquoise	1700010N08Rik	1
yellow	1700011E24Rik	4
purple	1700011H14Rik	10
yellow	1700011I03Rik	4
purple	1700011L22Rik	10
blue	1700011M02Rik	2
skyblue	1700012B09Rik	28
turquoise	1700012L04Rik	1
yellow	1700012P22Rik	4
tan	1700013D24Rik	12
blue	1700013F07Rik	2
turquoise	1700013H16Rik	1
turquoise	1700014D04Rik	1
turquoise	1700015E13Rik	1
blue	1700015F17Rik	2
brown	1700016C15Rik	3
turquoise	1700016D06Rik	1
yellow	1700016H13Rik	4
yellow	1700016K19Rik	4
yellow	1700017B05Rik	4
blue	1700017D01Rik	2
blue	1700018B08Rik	2
darkmagenta	1700018C11Rik	34
magenta	1700018F24Rik	9
blue	1700018M17Rik	2
green	1700019A02Rik	5
midnightblue	1700019B03Rik	15
greenyellow	1700019D03Rik	11
tan	1700019N19Rik	12
blue	1700019O17Rik	2
blue	1700020A23Rik	2
turquoise	1700020D05Rik	1
brown	1700020L24Rik	3
red	1700020N01Rik	6
black	1700021F05Rik	7
brown	1700021F07Rik	3
cyan	1700022I11Rik	14
pink	1700023F06Rik	8
blue	1700024B05Rik	2
skyblue	1700024G13Rik	28
greenyellow	1700024J04Rik	11
greenyellow	1700024P16Rik	11
blue	1700025B11Rik	2
blue	1700025C18Rik	2
turquoise	1700025G04Rik	1
tan	1700028B04Rik	12
yellow	1700028J19Rik	4
turquoise	1700028K03Rik	1
red	1700028P14Rik	6
turquoise	1700029F12Rik	1
blue	1700029H14Rik	2
lightgreen	1700029I15Rik	18
midnightblue	1700029J07Rik	15
pink	1700029P11Rik	8
blue	1700030C10Rik	2
blue	1700030J22Rik	2
blue	1700030K09Rik	2
blue	1700031F05Rik	2
yellow	1700034I23Rik	4
magenta	1700034J05Rik	9
blue	1700034O15Rik	2
brown	1700037C18Rik	3
purple	1700037H04Rik	10
black	1700039E15Rik	7
red	1700040L02Rik	6
yellow	1700047I17rik2	4
blue	1700048O20Rik	2
yellow	1700049E17rik2	4
white	1700049G17Rik	27
pink	1700056E22Rik	8
turquoise	1700057G04Rik	1
pink	1700061G19Rik	8
purple	1700064H15Rik	10
turquoise	1700066B19Rik	1
green	1700066M21Rik	5
brown	1700067K01Rik	3
saddlebrown	1700067P10Rik	29
turquoise	1700069L16Rik	1
blue	1700071K01Rik	2
blue	1700073E17Rik	2
blue	1700080E11Rik	2
green	1700084J12Rik	5
blue	1700086D15Rik	2
turquoise	1700086L19Rik	1
brown	1700088E04Rik	3
midnightblue	1700092M07Rik	15
brown	1700093K21Rik	3
cyan	1700102P08Rik	14
turquoise	1700109H08Rik	1
brown	1700112E06Rik	3
yellow	1700113H08Rik	4
purple	1700123I01Rik	10
turquoise	1700123K08Rik	1
black	1700123L14Rik	7
paleturquoise	1700123O20Rik	31
brown	1700125H20Rik	3
turquoise	1700128F08Rik	1
brown	1700129C05Rik	3
brown	1810009A15Rik	3
magenta	1810010H24Rik	9
turquoise	1810011H11Rik	1
lightcyan	1810011O10Rik	16
lightcyan	1810013L24Rik	16
cyan	1810018F18Rik	14
brown	1810022K09Rik	3
turquoise	1810024B03Rik	1
cyan	1810026J23Rik	14
darkred	1810030O07Rik	21
brown	1810032O08Rik	3
black	1810037I17Rik	7
yellow	1810041L15Rik	4
magenta	1810043G02Rik	9
black	1810043H04Rik	7
turquoise	1810046K07Rik	1
blue	1810049J17Rik	2
yellow	1810055G02Rik	4
yellow	1810062G17Rik	4
greenyellow	1810065E05Rik	11
lightyellow	2010001K21Rik	19
magenta	2010003K11Rik	9
blue	2010005H15Rik	2
lightgreen	2010010A06Rik	18
blue	2010106E10Rik	2
brown	2010107E04Rik	3
blue	2010107G12Rik	2
yellow	2010107G23Rik	4
