Color	Gene	Number
purple	0610007P14Rik	10
blue	0610009B22Rik	2
brown	0610009L18Rik	3
darkgreen	0610009O20Rik	22
darkseagreen4	0610010F05Rik	59
lightslateblue	0610010K14Rik	99
cyan	0610011F06Rik	14
plum	0610012G03Rik	67
darkgreen	0610030E20Rik	22
lightyellow	0610037L13Rik	19
coral3	0610040J01Rik	91
ivory	1110001J03Rik	43
midnightblue	1110002E22Rik	15
brown	1110004E09Rik	3
brown	1110004F10Rik	3
blue	1110008F13Rik	2
lightcyan1	1110008L16Rik	42
brown	1110008P14Rik	3
brown	1110012L19Rik	3
purple	1110017D15Rik	10
blue	1110032A03Rik	2
red	1110032F04Rik	6
mediumpurple3	1110034G24Rik	40
turquoise	1110037F02Rik	1
brown	1110038F14Rik	3
greenyellow	1110051M20Rik	11
lightcoral	1110059E24Rik	71
lightyellow	1110059G10Rik	19
ivory	1110065P20Rik	43
steelblue	1190002N15Rik	30
brown	1190003K10Rik	3
royalblue	1190005I06Rik	20
lightyellow	1190007I07Rik	19
black	1300017J02Rik	7
brown	1500009C09Rik	3
cyan	1500009L16Rik	14
brown	1500011B03Rik	3
blue	1500011K16Rik	2
turquoise	1500015O10Rik	1
turquoise	1520401A03Rik	1
blue	1600002H07Rik	2
brown	1600002K03Rik	3
purple	1600012H06Rik	10
blue	1600014C10Rik	2
blue	1600014C23Rik	2
turquoise	1600015I10Rik	1
red	1600029O15Rik	6
turquoise	1700001C02Rik	1
red	1700001C19Rik	6
blue	1700001J03Rik	2
skyblue2	1700001J11Rik	64
pink	1700001K19Rik	8
darkseagreen4	1700001L19Rik	59
ivory	1700001O22Rik	43
lightcyan	1700001P01Rik	16
black	1700003E16Rik	7
black	1700003F12Rik	7
pink	1700003N22Rik	8
saddlebrown	1700006E09Rik	29
purple	1700007B14Rik	10
brown	1700007E05Rik	3
purple	1700007G11Rik	10
darkred	1700007K09Rik	21
lavenderblush2	1700007K13Rik	86
red	1700008O03Rik	6
thistle3	1700010B08Rik	79
green	1700010I14Rik	5
tan	1700011E24Rik	12
lightcyan	1700011H14Rik	16
red	1700011I03Rik	6
sienna4	1700011M02Rik	95
turquoise	1700012B09Rik	1
white	1700012L04Rik	27
turquoise	1700013F07Rik	1
green	1700013H16Rik	5
darkred	1700014D04Rik	21
darkseagreen3	1700015E13Rik	88
blue	1700015F17Rik	2
brown	1700016C15Rik	3
plum1	1700016D06Rik	38
black	1700016H13Rik	7
lightcyan1	1700016K19Rik	42
indianred3	1700017B05Rik	101
blue	1700017D01Rik	2
turquoise	1700018B08Rik	1
darkviolet	1700018C11Rik	77
turquoise	1700018M17Rik	1
red	1700019A02Rik	6
black	1700019B03Rik	7
red	1700019D03Rik	6
turquoise	1700019N19Rik	1
brown2	1700019O17Rik	75
turquoise	1700020A23Rik	1
black	1700020D05Rik	7
brown	1700020L24Rik	3
turquoise	1700020N01Rik	1
brown	1700021F05Rik	3
salmon	1700021F07Rik	13
turquoise	1700022I11Rik	1
salmon4	1700023F06Rik	52
green	1700024B05Rik	5
lightcoral	1700024J04Rik	71
magenta	1700024P16Rik	9
darkolivegreen	1700025G04Rik	33
turquoise	1700028B04Rik	1
red	1700028J19Rik	6
mediumpurple4	1700028K03Rik	92
blue	1700028P14Rik	2
lightcyan	1700029F12Rik	16
brown2	1700029H14Rik	75
brown	1700029I15Rik	3
yellow	1700029J07Rik	4
red	1700030C10Rik	6
sienna3	1700030J22Rik	35
lightyellow	1700030K09Rik	19
purple	1700034I23Rik	10
magenta	1700034J05Rik	9
brown	1700037C18Rik	3
brown	1700037H04Rik	3
blue	1700039E15Rik	2
lightcyan	1700040L02Rik	16
lightcyan1	1700047I17rik2	42
lightcyan1	1700048O20Rik	42
orangered4	1700049E17rik1	39
magenta	1700049E17rik2	9
floralwhite	1700049G17Rik	44
turquoise	1700056E22Rik	1
green	1700057G04Rik	5
blue	1700061G19Rik	2
brown	1700064H15Rik	3
blue	1700066B19Rik	2
lightcyan	1700066M21Rik	16
red	1700067K01Rik	6
red	1700067P10Rik	6
paleturquoise	1700071K01Rik	31
turquoise	1700073E17Rik	1
tan	1700084J12Rik	12
yellow4	1700084M14Rik	65
salmon	1700086D15Rik	13
green	1700086L19Rik	5
brown	1700088E04Rik	3
skyblue3	1700092M07Rik	37
purple	1700093K21Rik	10
darkorange	1700102P08Rik	26
turquoise	1700109H08Rik	1
turquoise	1700112E06Rik	1
green	1700113H08Rik	5
green	1700123I01Rik	5
brown4	1700123K08Rik	46
brown	1700123L14Rik	3
blue	1700123O20Rik	2
turquoise	1700125H20Rik	1
lightcyan	1700128F08Rik	16
brown4	1700129C05Rik	46
brown	1810009A15Rik	3
midnightblue	1810010H24Rik	15
red	1810011H11Rik	6
yellow3	1810011O10Rik	94
mediumpurple4	1810013L24Rik	92
blue	1810018F18Rik	2
brown	1810022K09Rik	3
blue	1810024B03Rik	2
pink	1810026J23Rik	8
green	1810030O07Rik	5
blue	1810032O08Rik	2
brown	1810037I17Rik	3
darkorange2	1810041L15Rik	45
yellow	1810043G02Rik	4
brown	1810043H04Rik	3
tan	1810046K07Rik	12
plum2	1810049J17Rik	49
darkorange	1810055G02Rik	26
turquoise	1810062G17Rik	1
yellow	2010001K21Rik	4
turquoise	2010005H15Rik	1
darkslateblue	2010010A06Rik	48
black	2010106E10Rik	7
blue	2010107E04Rik	2
blue	2010107G12Rik	2
purple	2010107G23Rik	10
purple	2010109A12Rik	10
brown	2010109I03Rik	3
red	2010111I01Rik	6
lightgreen	2010300C02Rik	18
steelblue	2010315B03Rik	30
plum1	2200002D01Rik	38
pink	2210010C04Rik	8
brown	2210011C24Rik	3
blue	2210013O21Rik	2
thistle	2210016F16Rik	80
brown	2210016L21Rik	3
red	2210017I01Rik	6
greenyellow	2210404O09Rik	11
red	2210407C18Rik	6
darkgreen	2210408I21Rik	22
magenta4	2210409E12Rik	84
blue	2210418O10Rik	2
darkslateblue	2300002M23Rik	48
lightyellow	2300009A05Rik	19
orangered3	2310002L09Rik	68
mediumpurple2	2310003L06Rik	69
red	2310007B03Rik	6
brown	2310009B15Rik	3
ivory	2310011J03Rik	43
pink	2310022A10Rik	8
thistle1	2310022B05Rik	51
mediumpurple3	2310030G06Rik	40
brown	2310033P09Rik	3
brown	2310034G01Rik	3
blue	2310035C23Rik	2
brown	2310036O22Rik	3
purple	2310039H08Rik	10
magenta	2310046K23Rik	9
orangered3	2310050C09Rik	68
paleturquoise	2310057J18Rik	31
red	2310057M21Rik	6
orangered1	2310057N15Rik	97
palevioletred3	2310061I04Rik	53
darkgreen	2410002F23Rik	22
blue	2410004B18Rik	2
greenyellow	2410004P03Rik	11
brown	2410015M20Rik	3
turquoise	2410016O06Rik	1
orangered4	2410024N13Rik	39
turquoise	2410089E03Rik	1
skyblue2	2410131K14Rik	64
yellow	2410137M14Rik	4
black	2410141K09Rik	7
lightyellow	2510002D24Rik	19
midnightblue	2510009E07Rik	15
blue	2510039O18Rik	2
blue	2610001J05Rik	2
steelblue	2610002M06Rik	30
turquoise	2610005L07Rik	1
mediumpurple3	2610008E11Rik	40
cyan	2610020H08Rik	14
darkmagenta	2610021A01Rik	34
pink	2610028H24Rik	8
greenyellow	2610042L04Rik	11
steelblue	2610044O15rik8	30
steelblue	2610301B20Rik	30
brown	2610305D13Rik	3
cyan	2610318N02Rik	14
turquoise	2610507B11Rik	1
lightyellow	2610524H06Rik	19
turquoise	2610528A11Rik	1
grey60	2610528J11Rik	17
cyan	2700029M09Rik	14
navajowhite2	2700049A03Rik	54
brown	2700060E02Rik	3
mediumpurple3	2700062C07Rik	40
lightgreen	2700081O15Rik	18
brown	2700094K13Rik	3
blue	2700097O09Rik	2
green	2700099C18Rik	5
brown	2810004N23Rik	3
brown	2810006K23Rik	3
pink	2810021J22Rik	8
brown	2810025M15Rik	3
red	2810039B14Rik	6
mediumpurple4	2810047C21rik1	92
midnightblue	2810403A07Rik	15
black	2810408A11Rik	7
purple	2810417H13Rik	10
brown	2810428I15Rik	3
skyblue3	2810459M11Rik	37
mediumpurple3	2810474O19Rik	40
greenyellow	2900011O08Rik	11
darkorange2	2900026A02Rik	45
green	2900055J20Rik	5
orangered4	2900092C05Rik	39
pink	3000002C10Rik	8
brown	3010026O09Rik	3
brown	3100002H09Rik	3
darkorange	3110001I22Rik	26
grey60	3110002H16Rik	17
lightcyan1	3110009E18Rik	42
turquoise	3110021N24Rik	1
red	3110035E14Rik	6
lightyellow	3110040N11Rik	19
blue	3110043O21Rik	2
blue	3110052M02Rik	2
sienna3	3110053B16Rik	35
purple	3110062M04Rik	10
black	3110067C02Rik	7
tan	3110070M22Rik	12
yellow	3110079O15Rik	4
darkorange	3110082I17Rik	26
orange	3110082J24Rik	25
yellow	3300002I08Rik	4
black	3425401B19Rik	7
greenyellow	3632451O06Rik	11
blue	3830403N18Rik	2
cyan	3830406C13Rik	14
purple	3830408C21Rik	10
blue	4430402I18Rik	2
lightcoral	4833420G17Rik	71
yellow	4833423E24Rik	4
violet	4833427G06Rik	32
red	4833439L19Rik	6
darkslateblue	4921501E09Rik	48
yellow	4921504E06Rik	4
pink	4921507P07Rik	8
tan	4921509C19Rik	12
red	4921511H03Rik	6
turquoise	4921513D11Rik	1
yellow	4921513I03Rik	4
thistle	4921524J17Rik	80
saddlebrown	4921528I07Rik	29
violet	4921530L21Rik	32
mediumpurple2	4921536K21Rik	69
saddlebrown	4921539E11Rik	29
skyblue1	4930402H24Rik	66
blue	4930404H24Rik	2
black	4930404N11Rik	7
turquoise	4930408O17Rik	1
salmon	4930415F15Rik	13
red	4930415O20Rik	6
salmon2	4930426L09Rik	81
lightsteelblue	4930427A07Rik	70
red	4930430A15Rik	6
blue	4930430F08Rik	2
lightyellow	4930431P19Rik	19
saddlebrown	4930432E11Rik	29
sienna3	4930432K21Rik	35
red	4930442H23Rik	6
yellow4	4930444G20Rik	65
brown	4930444P10Rik	3
paleturquoise	4930447A16Rik	31
blue	4930447C04Rik	2
darkgrey	4930448K20Rik	24
turquoise	4930449A18Rik	1
brown	4930451G09Rik	3
cyan	4930451I11Rik	14
lavenderblush3	4930452B06Rik	57
blue	4930453N24Rik	2
tan	4930455H04Rik	12
brown	4930465K10Rik	3
black	4930467E23Rik	7
magenta	4930470P17Rik	9
blue	4930474N05Rik	2
tan	4930486L24Rik	12
blue	4930502E18Rik	2
brown2	4930503B20Rik	75
floralwhite	4930503L19Rik	44
black	4930505A04Rik	7
lightyellow	4930507D05Rik	19
green	4930512M02Rik	5
navajowhite1	4930515G13Rik	83
turquoise	4930515G16Rik	1
salmon	4930518I15Rik	13
brown	4930519F16Rik	3
red	4930519G04Rik	6
pink	4930519P11Rik	8
greenyellow	4930522L14Rik	11
magenta	4930523C07Rik	9
darkseagreen4	4930524B15Rik	59
blue	4930524J08Rik	2
brown	4930526A20Rik	3
palevioletred2	4930529C04Rik	82
darkolivegreen	4930533K18Rik	33
coral1	4930533O14Rik	60
mediumpurple2	4930535I16Rik	69
red	4930538K18Rik	6
darkgreen	4930539E08Rik	22
lightcyan	4930548H24Rik	16
green	4930550C14Rik	5
yellow	4930556J24Rik	4
saddlebrown	4930558K02Rik	29
salmon	4930562C15Rik	13
black	4930563I02Rik	7
black	4930563M21Rik	7
purple	4930578C19Rik	10
green	4930578G10Rik	5
blue	4930579G24Rik	2
black	4930590J08Rik	7
pink	4930595D18Rik	8
white	4930595M18Rik	27
purple	4931406B18Rik	10
orange	4931406C07Rik	25
darkolivegreen	4931406P16Rik	33
pink	4931409K22Rik	8
mediumpurple3	4931414P19Rik	40
turquoise	4931422A03Rik	1
blue	4931423N10Rik	2
greenyellow	4931428F04Rik	11
pink	4931428L18Rik	8
pink	4931429L15Rik	8
darkgreen	4931440F15Rik	22
midnightblue	4931440P22Rik	15
midnightblue	4932411E22Rik	15
brown	4932411N23Rik	3
turquoise	4932414N04Rik	1
yellow	4932415D10Rik	4
salmon4	4932416K20Rik	52
blue	4932431P20Rik	2
turquoise	4932438A13Rik	1
turquoise	4932438H23Rik	1
floralwhite	4932443I19Rik	44
black	4933402D24Rik	7
blue	4933402E13Rik	2
turquoise	4933402N03Rik	1
violet	4933402P03Rik	32
magenta	4933403O08Rik	9
black	4933405L10Rik	7
brown4	4933405O20Rik	46
violet	4933406J08Rik	32
darkslateblue	4933406M09Rik	48
brown	4933406P04Rik	3
purple	4933407L21Rik	10
blue	4933408B17Rik	2
black	4933408J17Rik	7
turquoise	4933411K16Rik	1
magenta	4933412A08Rik	9
yellow	4933413G19Rik	4
midnightblue	4933415A04Rik	15
blue	4933415F23Rik	2
brown4	4933416C03Rik	46
green	4933416E14Rik	5
salmon	4933416I08Rik	13
brown4	4933417G07Rik	46
red	4933424G06Rik	6
darkviolet	4933425L06Rik	77
pink	4933427D14Rik	8
blue	4933427G17Rik	2
blue	4933427G23Rik	2
brown	4933427I04Rik	3
pink	4933428G20Rik	8
turquoise	4933430I17Rik	1
blue	4933434E20Rik	2
brown4	5031410I06Rik	46
ivory	5031414D18Rik	43
black	5031439G07Rik	7
red	5033404E19Rik	6
pink	5330417C22Rik	8
lightblue4	5330438D12Rik	100
blue	5430403G16Rik	2
brown	5430416O09Rik	3
darkgrey	5430419D17Rik	24
turquoise	5430427O19Rik	1
brown	5530401A14Rik	3
darkgreen	5730409E04Rik	22
green	5730416F02Rik	5
turquoise	5730455P16Rik	1
lightblue4	5730480H06Rik	100
skyblue	5730507C01Rik	28
blue	5730508B09Rik	2
lightpink4	5730522E02Rik	56
yellow	5730559C18Rik	4
