Color	Gene	Number
grey	0610007P14Rik	0
turquoise	0610009B22Rik	1
brown	0610009L18Rik	3
grey	0610009O20Rik	0
grey	0610010F05Rik	0
grey	0610010K14Rik	0
grey	0610011F06Rik	0
grey	0610012G03Rik	0
green	0610030E20Rik	5
grey	0610037L13Rik	0
grey	1110001J03Rik	0
grey	1110004E09Rik	0
grey	1110004F10Rik	0
grey	1110008F13Rik	0
blue	1110008L16Rik	2
grey	1110008P14Rik	0
red	1110012L19Rik	6
grey	1110017D15Rik	0
grey	1110032A03Rik	0
yellow	1110032F04Rik	4
grey	1110034G24Rik	0
grey	1110037F02Rik	0
grey	1110038F14Rik	0
grey	1110051M20Rik	0
grey	1110059E24Rik	0
turquoise	1110059G10Rik	1
grey	1110065P20Rik	0
blue	1190002N15Rik	2
grey	1190007I07Rik	0
grey	1300017J02Rik	0
yellow	1500009C09Rik	4
green	1500009L16Rik	5
grey	1500011B03Rik	0
grey	1500011K16Rik	0
yellow	1600002H07Rik	4
blue	1600002K03Rik	2
grey	1600012H06Rik	0
grey	1600014C10Rik	0
grey	1600029O15Rik	0
grey	1700001C19Rik	0
turquoise	1700001J11Rik	1
brown	1700001K19Rik	3
grey	1700001L19Rik	0
turquoise	1700003E16Rik	1
brown	1700007E05Rik	3
blue	1700007G11Rik	2
turquoise	1700007K13Rik	1
red	1700008O03Rik	6
yellow	1700009N14Rik	4
blue	1700010I14Rik	2
turquoise	1700012B09Rik	1
grey	1700012L04Rik	0
grey	1700013F07Rik	0
grey	1700016D06Rik	0
grey	1700016K19Rik	0
grey	1700017B05Rik	0
turquoise	1700017D01Rik	1
brown	1700018C11Rik	3
yellow	1700019D03Rik	4
grey	1700021F05Rik	0
yellow	1700022I11Rik	4
brown	1700023F06Rik	3
turquoise	1700024J04Rik	1
brown	1700024P16Rik	3
blue	1700025G04Rik	2
grey	1700028B04Rik	0
grey	1700028J19Rik	0
yellow	1700028K03Rik	4
blue	1700028P14Rik	2
blue	1700029I15Rik	2
grey	1700029J07Rik	0
yellow	1700030J22Rik	4
grey	1700030K09Rik	0
grey	1700037C18Rik	0
grey	1700037H04Rik	0
yellow	1700040L02Rik	4
grey	1700047I17rik2	0
grey	1700048O20Rik	0
grey	1700049G17Rik	0
red	1700063K16Rik	6
brown	1700066B19Rik	3
grey	1700066M21Rik	0
grey	1700067K01Rik	0
turquoise	1700073E17Rik	1
turquoise	1700084J12Rik	1
green	1700086L19Rik	5
turquoise	1700088E04Rik	1
brown	1700102P08Rik	3
grey	1700109H08Rik	0
yellow	1700112E06Rik	4
brown	1700123L14Rik	3
grey	1700123O20Rik	0
grey	1700128F08Rik	0
grey	1810009A15Rik	0
yellow	1810011O10Rik	4
blue	1810013L24Rik	2
grey	1810022K09Rik	0
blue	1810024B03Rik	2
grey	1810026J23Rik	0
grey	1810030O07Rik	0
brown	1810032O08Rik	3
grey	1810037I17Rik	0
turquoise	1810041L15Rik	1
grey	1810043G02Rik	0
grey	1810043H04Rik	0
brown	1810046K07Rik	3
grey	1810055G02Rik	0
brown	1810062G17Rik	3
grey	2010107E04Rik	0
brown	2010107G12Rik	3
grey	2010107G23Rik	0
red	2010109A12Rik	6
grey	2010109I03Rik	0
grey	2010111I01Rik	0
brown	2010300C02Rik	3
grey	2010315B03Rik	0
grey	2200002D01Rik	0
brown	2210010C04Rik	3
blue	2210013O21Rik	2
grey	2210016F16Rik	0
grey	2210016L21Rik	0
grey	2210017I01Rik	0
brown	2210404O09Rik	3
blue	2210408I21Rik	2
grey	2210418O10Rik	0
grey	2300009A05Rik	0
grey	2310009B15Rik	0
grey	2310011J03Rik	0
black	2310022A10Rik	7
grey	2310022B05Rik	0
brown	2310030G06Rik	3
grey	2310033P09Rik	0
green	2310034G01Rik	5
pink	2310035C23Rik	8
grey	2310036O22Rik	0
grey	2310039H08Rik	0
turquoise	2310057M21Rik	1
grey	2310061I04Rik	0
grey	2410002F23Rik	0
blue	2410004B18Rik	2
turquoise	2410004P03Rik	1
grey	2410015M20Rik	0
turquoise	2410016O06Rik	1
blue	2410024N13Rik	2
turquoise	2410089E03Rik	1
grey	2410131K14Rik	0
