Color	Gene	Number
brown	0610007P14Rik	3
brown	0610009B22Rik	3
green	0610009L18Rik	5
greenyellow	0610009O20Rik	11
white	0610010F05Rik	27
blue	0610010K14Rik	2
blue	0610011F06Rik	2
blue	0610012G03Rik	2
red	0610030E20Rik	6
yellow	0610037L13Rik	4
salmon	0610040J01Rik	13
yellow	1110001J03Rik	4
red	1110002E22Rik	6
green	1110004E09Rik	5
brown	1110004F10Rik	3
darkgrey	1110008F13Rik	24
paleturquoise	1110008L16Rik	31
yellowgreen	1110008P14Rik	36
green	1110012L19Rik	5
lightcyan1	1110017D15Rik	42
blue	1110032A03Rik	2
yellow	1110032F04Rik	4
brown	1110034G24Rik	3
turquoise	1110037F02Rik	1
yellowgreen	1110038F14Rik	36
blue	1110051M20Rik	2
brown	1110059E24Rik	3
yellow	1110059G10Rik	4
yellow	1110065P20Rik	4
tan	1190002N15Rik	12
turquoise	1190003K10Rik	1
yellow	1190005I06Rik	4
yellow	1190007I07Rik	4
pink	1300017J02Rik	8
blue	1500009C09Rik	2
brown	1500009L16Rik	3
green	1500011B03Rik	5
yellow	1500011K16Rik	4
lightcyan	1500015O10Rik	16
blue	1520401A03Rik	2
blue	1600002H07Rik	2
green	1600002K03Rik	5
brown	1600012H06Rik	3
brown	1600014C10Rik	3
yellow	1600014C23Rik	4
turquoise	1600015I10Rik	1
pink	1600029O15Rik	8
lightcyan1	1700001C02Rik	42
red	1700001C19Rik	6
brown	1700001F09Rik	3
purple	1700001J03Rik	10
red	1700001J11Rik	6
pink	1700001K19Rik	8
lightcyan1	1700001L19Rik	42
saddlebrown	1700001O22Rik	29
saddlebrown	1700001P01Rik	29
violet	1700003E16Rik	32
midnightblue	1700003F12Rik	15
black	1700003N22Rik	7
red	1700006E09Rik	6
black	1700007B14Rik	7
brown	1700007E05Rik	3
green	1700007G11Rik	5
tan	1700007K09Rik	12
blue	1700007K13Rik	2
midnightblue	1700008O03Rik	15
black	1700010B08Rik	7
green	1700010I14Rik	5
black	1700011E24Rik	7
black	1700011H14Rik	7
blue	1700011I03Rik	2
purple	1700011L22Rik	10
greenyellow	1700011M02Rik	11
lightgreen	1700012A03Rik	18
darkslateblue	1700012B09Rik	48
yellow	1700012L04Rik	4
blue	1700012P22Rik	2
pink	1700013F07Rik	8
black	1700013H16Rik	7
blue	1700014D04Rik	2
turquoise	1700015E13Rik	1
green	1700015F17Rik	5
blue	1700016C15Rik	2
pink	1700016D06Rik	8
royalblue	1700016H13Rik	20
lightcyan1	1700016K19Rik	42
midnightblue	1700017B05Rik	15
red	1700017D01Rik	6
yellow	1700017N19Rik	4
black	1700018B08Rik	7
black	1700018C11Rik	7
red	1700018M17Rik	6
blue	1700019A02Rik	2
pink	1700019B03Rik	8
orange	1700019D03Rik	25
brown	1700019N19Rik	3
brown	1700019O17Rik	3
turquoise	1700020A23Rik	1
turquoise	1700020D05Rik	1
yellow	1700020L24Rik	4
black	1700020N01Rik	7
blue	1700021F05Rik	2
brown	1700021F07Rik	3
yellow	1700022I11Rik	4
blue	1700023F06Rik	2
black	1700024B05Rik	7
green	1700024G13Rik	5
turquoise	1700024J04Rik	1
green	1700024P16Rik	5
turquoise	1700025G04Rik	1
red	1700028B04Rik	6
blue	1700028J19Rik	2
greenyellow	1700028K03Rik	11
brown	1700028P14Rik	3
turquoise	1700029F12Rik	1
turquoise	1700029H14Rik	1
blue	1700029I15Rik	2
green	1700029J07Rik	5
purple	1700029P11Rik	10
red	1700030C10Rik	6
pink	1700030J22Rik	8
yellow	1700030K09Rik	4
darkolivegreen	1700031F05Rik	33
black	1700031M16Rik	7
turquoise	1700034E13Rik	1
greenyellow	1700034I23Rik	11
brown	1700034J05Rik	3
yellow	1700037C18Rik	4
lightcyan1	1700037H04Rik	42
green	1700039E15Rik	5
blue	1700040L02Rik	2
blue	1700047I17rik2	2
brown	1700048O20Rik	3
white	1700049E17rik2	27
turquoise	1700049G17Rik	1
darkgreen	1700049L16Rik	22
blue	1700056E22Rik	2
red	1700057G04Rik	6
lightyellow	1700061G19Rik	19
turquoise	1700064H15Rik	1
blue	1700066B19Rik	2
steelblue	1700066M21Rik	30
blue	1700067K01Rik	2
black	1700067P10Rik	7
black	1700069L16Rik	7
blue	1700071K01Rik	2
royalblue	1700073E17Rik	20
black	1700084J12Rik	7
black	1700086D15Rik	7
darkturquoise	1700086L19Rik	23
lightcyan1	1700088E04Rik	42
blue	1700092M07Rik	2
tan	1700093K21Rik	12
yellow	1700102P08Rik	4
red	1700109H08Rik	6
yellow	1700112E06Rik	4
turquoise	1700113H08Rik	1
green	1700123I01Rik	5
turquoise	1700123K08Rik	1
turquoise	1700123L14Rik	1
yellow	1700123O20Rik	4
turquoise	1700125H20Rik	1
turquoise	1700128F08Rik	1
green	1700129C05Rik	5
blue	1810009A15Rik	2
blue	1810010H24Rik	2
blue	1810011H11Rik	2
skyblue3	1810011O10Rik	37
white	1810013L24Rik	27
black	1810018F18Rik	7
green	1810022K09Rik	5
blue	1810024B03Rik	2
darkslateblue	1810026J23Rik	48
brown	1810030O07Rik	3
green	1810032O08Rik	5
yellow	1810037I17Rik	4
plum1	1810041L15Rik	38
lightsteelblue1	1810043G02Rik	41
yellow	1810043H04Rik	4
black	1810046K07Rik	7
blue	1810049J17Rik	2
blue	1810055G02Rik	2
green	1810062G17Rik	5
blue	2010001K21Rik	2
black	2010003K11Rik	7
violet	2010005H15Rik	32
black	2010010A06Rik	7
green	2010106E10Rik	5
brown	2010107E04Rik	3
purple	2010107G12Rik	10
yellow	2010107G23Rik	4
red	2010109A12Rik	6
turquoise	2010109I03Rik	1
magenta	2010111I01Rik	9
greenyellow	2010300C02Rik	11
tan	2010315B03Rik	12
green	2200002D01Rik	5
