Tissue	Assession
amygdala	GSM1860630
amygdala	GSM1860576
amygdala	GSM1860584
amygdala	GSM1860534
amygdala	GSM1860530
amygdala	GSM1860577
amygdala	GSM1860536
amygdala	GSM1860583
amygdala	GSM1860531
amygdala	GSM1860626
amygdala	GSM1860625
amygdala	GSM1860529
amygdala	GSM1860535
amygdala	GSM1860627
amygdala	GSM1860623
amygdala	GSM1860578
amygdala	GSM1860537
amygdala	GSM1860532
amygdala	GSM1860629
amygdala	GSM1860538
amygdala	GSM1860528
amygdala	GSM1860581
amygdala	GSM1860585
amygdala	GSM1860580
amygdala	GSM1860628
amygdala	GSM1860527
amygdala	GSM1860579
amygdala	GSM1860582
amygdala	GSM1860586
amygdala	GSM1860624
amygdala	GSM1860533
amygdala	GSM1860631
amygdala	GSM1860539
brainstem	GSM1321300
brainstem	GSM1605974
brainstem	GSM1605975
brainstem	GSM1605986
brainstem	GSM1605985
brainstem	GSM1605977
brainstem	GSM1605976
brainstem	GSM1321294
brainstem	GSM1605987
brainstem	GSM1321297
brainstem	GSM1605982
brainstem	GSM1605981
brainstem	GSM1321296
brainstem	GSM1605988
brainstem	GSM1605983
brainstem	GSM1300766
brainstem	GSM1605980
brainstem	GSM1321295
brainstem	GSM1300765
brainstem	GSM1605979
brainstem	GSM1605973
brainstem	GSM1321301
brainstem	GSM1321299
brainstem	GSM1300764
brainstem	GSM1321298
brainstem	GSM1605978
cerebellum	GSM2108676
cerebellum	GSM2070671
cerebellum	GSM1479353
cerebellum	GSM2192708
cerebellum	GSM1063329
cerebellum	GSM2214019
cerebellum	GSM2070677
cerebellum	GSM1645650
cerebellum	GSM1486413
cerebellum	GSM1000567
cerebellum	GSM2070660
cerebellum	GSM2070690
cerebellum	GSM2070685
cerebellum	GSM2070666
cerebellum	GSM1645636
cerebellum	GSM1063322
cerebellum	GSM2070722
cerebellum	GSM2070735
cerebellum	GSM1486412
cerebellum	GSM1063318
cerebellum	GSM1645662
cerebellum	GSM2070678
cerebellum	GSM2214022
cerebellum	GSM2070695
cerebellum	GSM2192710
cerebellum	GSM2070720
cerebellum	GSM2070664
cerebellum	GSM1645642
cerebellum	GSM1479344
cerebellum	GSM1645664
cerebellum	GSM2070715
cerebellum	GSM2214020
cerebellum	GSM2070684
cerebellum	GSM1645651
cerebellum	GSM1645659
cerebellum	GSM2070745
cerebellum	GSM2070729
cerebellum	GSM2298906
cerebellum	GSM2214017
cerebellum	GSM2070704
cerebellum	GSM2298911
cerebellum	GSM2070718
cerebellum	GSM2070659
cerebellum	GSM2070658
cerebellum	GSM2214025
cerebellum	GSM2070725
cerebellum	GSM2070739
cerebellum	GSM2070680
cerebellum	GSM2108679
cerebellum	GSM2070668
cerebellum	GSM2070723
cerebellum	GSM2070738
cerebellum	GSM2214024
cerebellum	GSM2070708
cerebellum	GSM2070752
cerebellum	GSM2070675
cerebellum	GSM2108687
cerebellum	GSM1063320
cerebellum	GSM1605990
cerebellum	GSM2298912
cerebellum	GSM2070742
cerebellum	GSM2070730
cerebellum	GSM1645646
cerebellum	GSM2298913
cerebellum	GSM2192711
cerebellum	GSM2070751
cerebellum	GSM2070740
cerebellum	GSM2070709
cerebellum	GSM1479350
cerebellum	GSM1486407
cerebellum	GSM2108685
cerebellum	GSM1321311
cerebellum	GSM2070674
cerebellum	GSM2070663
cerebellum	GSM2070716
cerebellum	GSM1605996
cerebellum	GSM1479346
cerebellum	GSM2070734
cerebellum	GSM1645632
cerebellum	GSM1605994
cerebellum	GSM2070682
cerebellum	GSM1063334
cerebellum	GSM1645654
cerebellum	GSM2070732
cerebellum	GSM2070705
cerebellum	GSM1605999
cerebellum	GSM1321316
cerebellum	GSM2214026
cerebellum	GSM2070699
cerebellum	GSM2070726
cerebellum	GSM2070698
cerebellum	GSM1645635
cerebellum	GSM2214023
cerebellum	GSM2070737
cerebellum	GSM2070728
cerebellum	GSM2070686
cerebellum	GSM1479348
cerebellum	GSM2298909
cerebellum	GSM1645634
cerebellum	GSM2214028
cerebellum	GSM1479347
cerebellum	GSM2108681
cerebellum	GSM1063330
cerebellum	GSM1605989
cerebellum	GSM1606001
cerebellum	GSM2070721
cerebellum	GSM2070710
cerebellum	GSM2214029
cerebellum	GSM1479345
cerebellum	GSM2070744
cerebellum	GSM2070672
cerebellum	GSM2070748
cerebellum	GSM2214015
cerebellum	GSM2214021
cerebellum	GSM2108682
cerebellum	GSM2108677
cerebellum	GSM2070719
cerebellum	GSM2070713
cerebellum	GSM1605993
cerebellum	GSM1321312
cerebellum	GSM2070665
cerebellum	GSM1645656
cerebellum	GSM1606002
cerebellum	GSM2070696
cerebellum	GSM2214016
cerebellum	GSM2070662
cerebellum	GSM1063338
cerebellum	GSM2298910
cerebellum	GSM1486406
cerebellum	GSM2070693
cerebellum	GSM2070669
