moduleSize	Zsummary.pres
blue	1000	7.7133180071046
yellow	946	7.129187662463
green	780	6.07409224534147
darkturquoise	208	4.58731010174438
lightgreen	280	4.58047374032784
salmon	354	4.19705418752655
orangered4	67	4.0477492015853
brown	1000	3.75274876443408
grey60	297	3.53426335486884
lightyellow	261	3.5307590381844
saddlebrown	116	3.47421258608891
brown4	46	3.38953807296794
purple	660	3.2833774384294
paleturquoise	96	3.15024352159806
skyblue	121	2.98323778733937
greenyellow	553	2.96385568177464
midnightblue	339	2.83428383514087
skyblue3	72	2.70115803367121
tan	505	2.65247262219372
pink	680	2.44008290784347
darkgreen	210	2.25240868496495
darkred	225	2.23669222364335
darkgrey	194	2.10499377114148
plum1	70	2.07437606067842
lightsteelblue1	66	2.00340071313428
mediumpurple3	66	1.89829016499048
darkmagenta	92	1.80582563896643
cyan	351	1.76291681456865
royalblue	229	1.63049777819397
ivory	56	1.63042554823405
sienna3	89	1.50775734369003
violet	95	1.45083751050377
darkorange	132	1.43397041174453
turquoise	1000	1.27968479892883
bisque4	41	1.17625759047736
yellowgreen	79	1.06394324779305
floralwhite	48	0.928352941275855
steelblue	99	0.808511508019315
darkorange2	47	0.791429946667053
gold	1000	0.605288860661993
lightcyan	301	0.414960694294362
white	132	0.1588371992964
darkslateblue	40	-0.0785744005056591
red	758	-0.0987030772889748
darkolivegreen	93	-0.206731906200715
lightcyan1	64	-0.409036120609353
orange	169	-1.46272753499475
black	713	-2.46163639756491
magenta	669	-2.58229035434693
